dataset,attack,defense,n_seeds,acc_mean,acc_std,bsr_mean,bsr_std,auroc_mean,auroc_std,tpr_mean,tpr_std,agg_mean,agg_std
fmnist,adaptive_ecf,hard_gate,3,0.8827,0.001,0.4123,0.3514,0.6823,0.4492,0.6667,0.4714,0.12,0.0082
fmnist,adaptive_ecf,round_zoned,3,0.8815,0.0021,0.434,0.4077,0.677,0.4568,0.6667,0.4714,0.5133,0.0801
fmnist,backdoor,hard_gate,3,0.8818,0.002,0.214,0.1479,1.0,0.0,1.0,0.0,0.12,0.0141
fmnist,backdoor,round_zoned,3,0.8815,0.0024,0.2977,0.2773,1.0,0.0,1.0,0.0,0.4167,0.0377
fmnist,label_flip,hard_gate,3,0.8817,0.0015,nan,nan,1.0,0.0,1.0,0.0,0.1167,0.0125
fmnist,label_flip,round_zoned,3,0.8802,0.0021,nan,nan,1.0,0.0,1.0,0.0,0.3933,0.0094
fmnist,min_max,hard_gate,3,0.8811,0.0019,nan,nan,1.0,0.0,1.0,0.0,0.1967,0.1034
fmnist,min_max,round_zoned,3,0.5872,0.347,nan,nan,0.6667,0.4714,0.6667,0.4714,0.3933,0.0047
fmnist,sign_flip,hard_gate,3,0.7536,0.069,nan,nan,0.7917,0.0192,0.0833,0.1179,0.13,0.0283
fmnist,sign_flip,round_zoned,3,0.7704,0.0708,nan,nan,0.8173,0.0075,0.0,0.0,0.4,0.0082
