device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.4734 | bsr=0.005 | agg=0.13s | det_auroc=0.828 | tpr@5=0.00
round   2 | acc=0.6757 | bsr=0.042 | agg=0.12s | det_auroc=0.938 | tpr@5=0.75
round   3 | acc=0.6811 | bsr=0.026 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7438 | bsr=0.036 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7407 | bsr=0.022 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7663 | bsr=0.034 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7655 | bsr=0.021 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7814 | bsr=0.025 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7900 | bsr=0.028 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7965 | bsr=0.025 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7918 | bsr=0.022 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8029 | bsr=0.022 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8138 | bsr=0.023 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8103 | bsr=0.021 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8241 | bsr=0.027 | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8210 | bsr=0.024 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8236 | bsr=0.022 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8298 | bsr=0.023 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8290 | bsr=0.014 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8374 | bsr=0.025 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8461 | bsr=0.015 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8420 | bsr=0.023 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8512 | bsr=0.015 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8496 | bsr=0.017 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8555 | bsr=0.015 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8508 | bsr=0.015 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8570 | bsr=0.018 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8569 | bsr=0.016 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8617 | bsr=0.016 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8571 | bsr=0.016 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8610 | bsr=0.013 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8613 | bsr=0.017 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8619 | bsr=0.013 | agg=0.10s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8635 | bsr=0.016 | agg=0.10s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8647 | bsr=0.015 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8688 | bsr=0.014 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.8645 | bsr=0.011 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
