device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0543 | bsr=0.000 | agg=0.15s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.1324 | bsr=0.010 | agg=0.11s | det_auroc=0.828 | tpr@5=0.00
round   3 | acc=0.3510 | bsr=0.425 | agg=0.12s | det_auroc=0.875 | tpr@5=0.25
round   4 | acc=0.3989 | bsr=0.484 | agg=0.12s | det_auroc=0.938 | tpr@5=0.50
round   5 | acc=0.4971 | bsr=0.421 | agg=0.12s | det_auroc=0.953 | tpr@5=0.50
round   6 | acc=0.6095 | bsr=0.319 | agg=0.12s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.6682 | bsr=0.234 | agg=0.12s | det_auroc=0.953 | tpr@5=0.50
round   8 | acc=0.6957 | bsr=0.152 | agg=0.12s | det_auroc=0.906 | tpr@5=0.25
round   9 | acc=0.6942 | bsr=0.118 | agg=0.12s | det_auroc=0.906 | tpr@5=0.00
round  10 | acc=0.6997 | bsr=0.106 | agg=0.12s | det_auroc=0.750 | tpr@5=0.00
round  11 | acc=0.6959 | bsr=0.092 | agg=0.13s | det_auroc=0.750 | tpr@5=0.00
round  12 | acc=0.7022 | bsr=0.092 | agg=0.11s | det_auroc=0.750 | tpr@5=0.00
round  13 | acc=0.7154 | bsr=0.095 | agg=0.12s | det_auroc=0.625 | tpr@5=0.00
round  14 | acc=0.7226 | bsr=0.094 | agg=0.12s | det_auroc=0.641 | tpr@5=0.00
round  15 | acc=0.7255 | bsr=0.091 | agg=0.12s | det_auroc=0.516 | tpr@5=0.00
round  16 | acc=0.7321 | bsr=0.088 | agg=0.12s | det_auroc=0.500 | tpr@5=0.00
round  17 | acc=0.7346 | bsr=0.092 | agg=0.13s | det_auroc=0.562 | tpr@5=0.00
round  18 | acc=0.7398 | bsr=0.097 | agg=0.11s | det_auroc=0.406 | tpr@5=0.00
round  19 | acc=0.7446 | bsr=0.097 | agg=0.12s | det_auroc=0.391 | tpr@5=0.00
round  20 | acc=0.7468 | bsr=0.105 | agg=0.12s | det_auroc=0.344 | tpr@5=0.00
round  21 | acc=0.7492 | bsr=0.108 | agg=0.12s | det_auroc=0.406 | tpr@5=0.00
round  22 | acc=0.7510 | bsr=0.109 | agg=0.12s | det_auroc=0.344 | tpr@5=0.00
round  23 | acc=0.7535 | bsr=0.109 | agg=0.12s | det_auroc=0.422 | tpr@5=0.00
round  24 | acc=0.7577 | bsr=0.111 | agg=0.11s | det_auroc=0.422 | tpr@5=0.00
round  25 | acc=0.7609 | bsr=0.117 | agg=0.12s | det_auroc=0.375 | tpr@5=0.00
round  26 | acc=0.7626 | bsr=0.116 | agg=0.11s | det_auroc=0.359 | tpr@5=0.00
round  27 | acc=0.7648 | bsr=0.123 | agg=0.12s | det_auroc=0.172 | tpr@5=0.00
round  28 | acc=0.7642 | bsr=0.128 | agg=0.11s | det_auroc=0.281 | tpr@5=0.00
round  29 | acc=0.7662 | bsr=0.129 | agg=0.12s | det_auroc=0.375 | tpr@5=0.00
round  30 | acc=0.7672 | bsr=0.141 | agg=0.13s | det_auroc=0.375 | tpr@5=0.00
round  31 | acc=0.7680 | bsr=0.141 | agg=0.12s | det_auroc=0.375 | tpr@5=0.00
round  32 | acc=0.7717 | bsr=0.145 | agg=0.11s | det_auroc=0.188 | tpr@5=0.00
round  33 | acc=0.7732 | bsr=0.154 | agg=0.12s | det_auroc=0.234 | tpr@5=0.00
round  34 | acc=0.7750 | bsr=0.158 | agg=0.12s | det_auroc=0.281 | tpr@5=0.00
round  35 | acc=0.7776 | bsr=0.165 | agg=0.12s | det_auroc=0.406 | tpr@5=0.00
round  36 | acc=0.7799 | bsr=0.172 | agg=0.12s | det_auroc=0.203 | tpr@5=0.00
round  37 | acc=0.7809 | bsr=0.179 | agg=0.15s | det_auroc=0.328 | tpr@5=0.00
round  38 | acc=0.7828 | bsr=0.184 | agg=0.12s | det_auroc=0.422 | tpr@5=0.00
round  39 | acc=0.7844 | bsr=0.186 | agg=0.12s | det_auroc=0.250 | tpr@5=0.00
round  40 | acc=0.7857 | bsr=0.192 | agg=0.11s | det_auroc=0.344 | tpr@5=0.00
round  41 | acc=0.7868 | bsr=0.199 | agg=0.11s | det_auroc=0.344 | tpr@5=0.00
round  42 | acc=0.7895 | bsr=0.207 | agg=0.12s | det_auroc=0.328 | tpr@5=0.00
round  43 | acc=0.7914 | bsr=0.221 | agg=0.14s | det_auroc=0.109 | tpr@5=0.00
