device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0538 | bsr=0.000 | agg=2.62s | det_auroc=0.047 | tpr@5=0.00
round   2 | acc=0.1364 | bsr=0.015 | agg=2.55s | det_auroc=0.016 | tpr@5=0.00
round   3 | acc=0.3442 | bsr=0.481 | agg=2.59s | det_auroc=0.062 | tpr@5=0.00
round   4 | acc=0.3786 | bsr=0.538 | agg=2.57s | det_auroc=0.219 | tpr@5=0.00
round   5 | acc=0.4631 | bsr=0.499 | agg=2.57s | det_auroc=0.281 | tpr@5=0.00
round   6 | acc=0.5771 | bsr=0.405 | agg=2.57s | det_auroc=0.219 | tpr@5=0.00
round   7 | acc=0.6487 | bsr=0.305 | agg=2.55s | det_auroc=0.141 | tpr@5=0.00
round   8 | acc=0.6908 | bsr=0.198 | agg=2.58s | det_auroc=0.125 | tpr@5=0.00
round   9 | acc=0.6911 | bsr=0.147 | agg=2.59s | det_auroc=0.344 | tpr@5=0.00
round  10 | acc=0.6986 | bsr=0.119 | agg=2.58s | det_auroc=0.953 | tpr@5=0.75
round  11 | acc=0.6941 | bsr=0.092 | agg=2.59s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.7010 | bsr=0.086 | agg=2.56s | det_auroc=0.984 | tpr@5=0.75
round  13 | acc=0.7106 | bsr=0.086 | agg=2.59s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7200 | bsr=0.084 | agg=2.59s | det_auroc=0.969 | tpr@5=0.50
round  15 | acc=0.7250 | bsr=0.080 | agg=2.55s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7315 | bsr=0.077 | agg=2.54s | det_auroc=0.984 | tpr@5=0.75
round  17 | acc=0.7341 | bsr=0.081 | agg=2.59s | det_auroc=0.969 | tpr@5=0.50
round  18 | acc=0.7386 | bsr=0.084 | agg=2.60s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7435 | bsr=0.084 | agg=2.59s | det_auroc=0.969 | tpr@5=0.50
round  20 | acc=0.7461 | bsr=0.089 | agg=2.59s | det_auroc=0.953 | tpr@5=0.25
round  21 | acc=0.7482 | bsr=0.092 | agg=2.58s | det_auroc=0.953 | tpr@5=0.50
round  22 | acc=0.7509 | bsr=0.092 | agg=2.58s | det_auroc=0.969 | tpr@5=0.50
round  23 | acc=0.7528 | bsr=0.094 | agg=2.57s | det_auroc=0.953 | tpr@5=0.25
round  24 | acc=0.7576 | bsr=0.095 | agg=2.58s | det_auroc=0.922 | tpr@5=0.25
round  25 | acc=0.7599 | bsr=0.100 | agg=2.59s | det_auroc=0.891 | tpr@5=0.25
round  26 | acc=0.7626 | bsr=0.100 | agg=2.57s | det_auroc=0.953 | tpr@5=0.50
round  27 | acc=0.7642 | bsr=0.105 | agg=2.57s | det_auroc=0.906 | tpr@5=0.00
round  28 | acc=0.7637 | bsr=0.107 | agg=2.61s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.7656 | bsr=0.110 | agg=2.54s | det_auroc=0.891 | tpr@5=0.25
round  30 | acc=0.7679 | bsr=0.118 | agg=2.58s | det_auroc=0.875 | tpr@5=0.00
round  31 | acc=0.7674 | bsr=0.117 | agg=2.58s | det_auroc=0.906 | tpr@5=0.25
round  32 | acc=0.7721 | bsr=0.120 | agg=2.60s | det_auroc=0.969 | tpr@5=0.50
round  33 | acc=0.7755 | bsr=0.125 | agg=2.59s | det_auroc=0.938 | tpr@5=0.25
round  34 | acc=0.7762 | bsr=0.127 | agg=2.61s | det_auroc=0.953 | tpr@5=0.25
round  35 | acc=0.7785 | bsr=0.133 | agg=2.55s | det_auroc=0.953 | tpr@5=0.50
round  36 | acc=0.7809 | bsr=0.137 | agg=2.55s | det_auroc=0.938 | tpr@5=0.75
round  37 | acc=0.7826 | bsr=0.145 | agg=2.57s | det_auroc=0.906 | tpr@5=0.50
round  38 | acc=0.7841 | bsr=0.150 | agg=2.60s | det_auroc=0.953 | tpr@5=0.75
round  39 | acc=0.7850 | bsr=0.152 | agg=2.55s | det_auroc=0.984 | tpr@5=0.75
round  40 | acc=0.7868 | bsr=0.157 | agg=2.57s | det_auroc=0.906 | tpr@5=0.00
