device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=adaptive_ecf
round   1 | acc=0.3737 | bsr=0.486 | agg=0.19s
round   2 | acc=0.6125 | bsr=0.020 | agg=0.18s
round   3 | acc=0.6750 | bsr=0.035 | agg=0.17s
round   4 | acc=0.7073 | bsr=0.039 | agg=0.18s
round   5 | acc=0.7388 | bsr=0.041 | agg=0.17s
round   6 | acc=0.7538 | bsr=0.032 | agg=0.18s
round   7 | acc=0.7632 | bsr=0.036 | agg=0.18s
round   8 | acc=0.7769 | bsr=0.046 | agg=0.18s
round   9 | acc=0.7845 | bsr=0.039 | agg=0.18s
round  10 | acc=0.7847 | bsr=0.038 | agg=0.18s
round  11 | acc=0.7953 | bsr=0.042 | agg=0.18s
round  12 | acc=0.8038 | bsr=0.044 | agg=0.19s
round  13 | acc=0.8067 | bsr=0.035 | agg=0.18s
round  14 | acc=0.8103 | bsr=0.045 | agg=0.18s
round  15 | acc=0.8192 | bsr=0.045 | agg=0.19s
round  16 | acc=0.8214 | bsr=0.042 | agg=0.18s
round  17 | acc=0.8243 | bsr=0.042 | agg=0.18s
round  18 | acc=0.8282 | bsr=0.042 | agg=0.19s
round  19 | acc=0.8320 | bsr=0.041 | agg=0.19s
round  20 | acc=0.8360 | bsr=0.042 | agg=0.19s
round  21 | acc=0.8387 | bsr=0.046 | agg=0.19s
round  22 | acc=0.8423 | bsr=0.041 | agg=0.19s
round  23 | acc=0.8449 | bsr=0.040 | agg=0.19s
round  24 | acc=0.8447 | bsr=0.040 | agg=0.19s
round  25 | acc=0.8469 | bsr=0.044 | agg=0.20s
round  26 | acc=0.8531 | bsr=0.041 | agg=0.19s
round  27 | acc=0.8545 | bsr=0.045 | agg=0.19s
round  28 | acc=0.8557 | bsr=0.034 | agg=0.19s
round  29 | acc=0.8594 | bsr=0.041 | agg=0.20s
round  30 | acc=0.8605 | bsr=0.038 | agg=0.20s
round  31 | acc=0.8592 | bsr=0.043 | agg=0.20s
round  32 | acc=0.8616 | bsr=0.037 | agg=0.20s
round  33 | acc=0.8621 | bsr=0.040 | agg=0.19s
round  34 | acc=0.8655 | bsr=0.044 | agg=0.19s
round  35 | acc=0.8657 | bsr=0.043 | agg=0.19s
round  36 | acc=0.8672 | bsr=0.052 | agg=0.20s
round  37 | acc=0.8680 | bsr=0.047 | agg=0.19s
round  38 | acc=0.8677 | bsr=0.049 | agg=0.19s
round  39 | acc=0.8696 | bsr=0.048 | agg=0.20s
round  40 | acc=0.8712 | bsr=0.051 | agg=0.19s
round  41 | acc=0.8692 | bsr=0.044 | agg=0.19s
round  42 | acc=0.8713 | bsr=0.048 | agg=0.19s
round  43 | acc=0.8726 | bsr=0.054 | agg=0.19s
round  44 | acc=0.8730 | bsr=0.048 | agg=0.19s
round  45 | acc=0.8768 | bsr=0.059 | agg=0.19s
round  46 | acc=0.8764 | bsr=0.059 | agg=0.19s
round  47 | acc=0.8756 | bsr=0.060 | agg=0.19s
round  48 | acc=0.8790 | bsr=0.073 | agg=0.19s
round  49 | acc=0.8780 | bsr=0.067 | agg=0.19s
round  50 | acc=0.8798 | bsr=0.078 | agg=0.19s
round  51 | acc=0.8800 | bsr=0.073 | agg=0.19s
round  52 | acc=0.8823 | bsr=0.086 | agg=0.19s
round  53 | acc=0.8800 | bsr=0.082 | agg=0.19s
round  54 | acc=0.8814 | bsr=0.087 | agg=0.19s
round  55 | acc=0.8809 | bsr=0.093 | agg=0.19s
round  56 | acc=0.8830 | bsr=0.076 | agg=0.19s
round  57 | acc=0.8829 | bsr=0.105 | agg=0.19s
round  58 | acc=0.8829 | bsr=0.090 | agg=0.19s
round  59 | acc=0.8810 | bsr=0.106 | agg=0.19s
round  60 | acc=0.8845 | bsr=0.110 | agg=0.19s
