device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0543 | bsr=0.000 | agg=0.19s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.1326 | bsr=0.010 | agg=0.15s | det_auroc=0.828 | tpr@5=0.00
round   3 | acc=0.3504 | bsr=0.426 | agg=0.15s | det_auroc=0.875 | tpr@5=0.25
round   4 | acc=0.3984 | bsr=0.484 | agg=0.16s | det_auroc=0.938 | tpr@5=0.50
round   5 | acc=0.4988 | bsr=0.421 | agg=0.16s | det_auroc=0.953 | tpr@5=0.50
round   6 | acc=0.6120 | bsr=0.318 | agg=0.15s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.6679 | bsr=0.234 | agg=0.16s | det_auroc=0.938 | tpr@5=0.25
round   8 | acc=0.6951 | bsr=0.154 | agg=0.15s | det_auroc=0.906 | tpr@5=0.25
round   9 | acc=0.6936 | bsr=0.121 | agg=0.15s | det_auroc=0.922 | tpr@5=0.00
round  10 | acc=0.6986 | bsr=0.111 | agg=0.15s | det_auroc=0.812 | tpr@5=0.00
round  11 | acc=0.6969 | bsr=0.095 | agg=0.15s | det_auroc=0.766 | tpr@5=0.00
round  12 | acc=0.7035 | bsr=0.094 | agg=0.16s | det_auroc=0.781 | tpr@5=0.00
round  13 | acc=0.7153 | bsr=0.097 | agg=0.15s | det_auroc=0.750 | tpr@5=0.00
round  14 | acc=0.7224 | bsr=0.097 | agg=0.14s | det_auroc=0.719 | tpr@5=0.00
round  15 | acc=0.7260 | bsr=0.095 | agg=0.16s | det_auroc=0.641 | tpr@5=0.00
round  16 | acc=0.7315 | bsr=0.094 | agg=0.16s | det_auroc=0.547 | tpr@5=0.00
round  17 | acc=0.7340 | bsr=0.097 | agg=0.16s | det_auroc=0.641 | tpr@5=0.00
round  18 | acc=0.7392 | bsr=0.102 | agg=0.16s | det_auroc=0.422 | tpr@5=0.00
round  19 | acc=0.7438 | bsr=0.103 | agg=0.15s | det_auroc=0.484 | tpr@5=0.00
round  20 | acc=0.7461 | bsr=0.110 | agg=0.14s | det_auroc=0.375 | tpr@5=0.00
round  21 | acc=0.7486 | bsr=0.114 | agg=0.17s | det_auroc=0.531 | tpr@5=0.00
round  22 | acc=0.7503 | bsr=0.115 | agg=0.16s | det_auroc=0.406 | tpr@5=0.00
round  23 | acc=0.7528 | bsr=0.116 | agg=0.15s | det_auroc=0.422 | tpr@5=0.00
round  24 | acc=0.7566 | bsr=0.119 | agg=0.15s | det_auroc=0.516 | tpr@5=0.00
round  25 | acc=0.7598 | bsr=0.125 | agg=0.16s | det_auroc=0.438 | tpr@5=0.00
round  26 | acc=0.7613 | bsr=0.125 | agg=0.16s | det_auroc=0.391 | tpr@5=0.00
round  27 | acc=0.7629 | bsr=0.131 | agg=0.15s | det_auroc=0.250 | tpr@5=0.00
round  28 | acc=0.7637 | bsr=0.135 | agg=0.16s | det_auroc=0.344 | tpr@5=0.00
round  29 | acc=0.7653 | bsr=0.138 | agg=0.15s | det_auroc=0.406 | tpr@5=0.00
round  30 | acc=0.7673 | bsr=0.152 | agg=0.16s | det_auroc=0.375 | tpr@5=0.00
