device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0538 | bsr=0.000 | agg=2.62s | det_auroc=0.047 | tpr@5=0.00
round   2 | acc=0.1364 | bsr=0.015 | agg=2.63s | det_auroc=0.016 | tpr@5=0.00
round   3 | acc=0.3442 | bsr=0.479 | agg=2.62s | det_auroc=0.031 | tpr@5=0.00
round   4 | acc=0.3789 | bsr=0.537 | agg=2.62s | det_auroc=0.203 | tpr@5=0.00
round   5 | acc=0.4635 | bsr=0.498 | agg=2.63s | det_auroc=0.297 | tpr@5=0.00
round   6 | acc=0.5785 | bsr=0.402 | agg=2.62s | det_auroc=0.219 | tpr@5=0.00
round   7 | acc=0.6482 | bsr=0.307 | agg=2.62s | det_auroc=0.141 | tpr@5=0.00
round   8 | acc=0.6926 | bsr=0.196 | agg=2.63s | det_auroc=0.109 | tpr@5=0.00
round   9 | acc=0.6902 | bsr=0.161 | agg=2.62s | det_auroc=0.344 | tpr@5=0.00
round  10 | acc=0.6977 | bsr=0.126 | agg=2.62s | det_auroc=0.953 | tpr@5=0.75
round  11 | acc=0.6943 | bsr=0.095 | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6985 | bsr=0.090 | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7105 | bsr=0.089 | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7201 | bsr=0.090 | agg=2.63s | det_auroc=0.969 | tpr@5=0.50
round  15 | acc=0.7246 | bsr=0.086 | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7312 | bsr=0.081 | agg=2.62s | det_auroc=0.984 | tpr@5=0.75
round  17 | acc=0.7333 | bsr=0.083 | agg=2.61s | det_auroc=0.969 | tpr@5=0.50
round  18 | acc=0.7393 | bsr=0.087 | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7435 | bsr=0.087 | agg=2.61s | det_auroc=0.984 | tpr@5=0.75
round  20 | acc=0.7463 | bsr=0.094 | agg=2.62s | det_auroc=0.953 | tpr@5=0.25
round  21 | acc=0.7484 | bsr=0.098 | agg=2.62s | det_auroc=0.953 | tpr@5=0.50
round  22 | acc=0.7494 | bsr=0.099 | agg=2.62s | det_auroc=0.969 | tpr@5=0.50
round  23 | acc=0.7535 | bsr=0.100 | agg=2.64s | det_auroc=0.953 | tpr@5=0.25
round  24 | acc=0.7567 | bsr=0.101 | agg=2.63s | det_auroc=0.922 | tpr@5=0.25
round  25 | acc=0.7599 | bsr=0.107 | agg=2.63s | det_auroc=0.859 | tpr@5=0.00
round  26 | acc=0.7609 | bsr=0.106 | agg=2.62s | det_auroc=0.969 | tpr@5=0.50
round  27 | acc=0.7637 | bsr=0.111 | agg=2.61s | det_auroc=0.906 | tpr@5=0.00
round  28 | acc=0.7636 | bsr=0.113 | agg=2.62s | det_auroc=0.984 | tpr@5=0.75
round  29 | acc=0.7648 | bsr=0.115 | agg=2.63s | det_auroc=0.906 | tpr@5=0.25
round  30 | acc=0.7671 | bsr=0.123 | agg=2.63s | det_auroc=0.875 | tpr@5=0.00
round  31 | acc=0.7669 | bsr=0.122 | agg=2.63s | det_auroc=0.922 | tpr@5=0.25
round  32 | acc=0.7703 | bsr=0.125 | agg=2.62s | det_auroc=0.969 | tpr@5=0.50
round  33 | acc=0.7733 | bsr=0.132 | agg=2.63s | det_auroc=0.938 | tpr@5=0.25
round  34 | acc=0.7756 | bsr=0.136 | agg=2.62s | det_auroc=0.984 | tpr@5=0.75
round  35 | acc=0.7775 | bsr=0.142 | agg=2.63s | det_auroc=0.953 | tpr@5=0.50
round  36 | acc=0.7796 | bsr=0.147 | agg=2.62s | det_auroc=0.953 | tpr@5=0.75
round  37 | acc=0.7813 | bsr=0.155 | agg=2.62s | det_auroc=0.906 | tpr@5=0.25
round  38 | acc=0.7833 | bsr=0.159 | agg=2.62s | det_auroc=0.953 | tpr@5=0.75
round  39 | acc=0.7845 | bsr=0.161 | agg=2.63s | det_auroc=0.984 | tpr@5=0.75
round  40 | acc=0.7848 | bsr=0.166 | agg=2.62s | det_auroc=0.922 | tpr@5=0.25
round  41 | acc=0.7859 | bsr=0.173 | agg=2.63s | det_auroc=0.969 | tpr@5=0.50
round  42 | acc=0.7874 | bsr=0.181 | agg=2.63s | det_auroc=0.953 | tpr@5=0.25
round  43 | acc=0.7895 | bsr=0.188 | agg=2.64s | det_auroc=0.938 | tpr@5=0.00
round  44 | acc=0.7906 | bsr=0.198 | agg=2.63s | det_auroc=0.953 | tpr@5=0.25
round  45 | acc=0.7927 | bsr=0.201 | agg=2.62s | det_auroc=0.953 | tpr@5=0.75
round  46 | acc=0.7946 | bsr=0.206 | agg=2.62s | det_auroc=0.969 | tpr@5=0.50
round  47 | acc=0.7964 | bsr=0.214 | agg=2.63s | det_auroc=0.969 | tpr@5=0.50
round  48 | acc=0.7968 | bsr=0.226 | agg=2.63s | det_auroc=0.984 | tpr@5=0.75
round  49 | acc=0.7991 | bsr=0.232 | agg=2.62s | det_auroc=0.969 | tpr@5=0.75
round  50 | acc=0.8000 | bsr=0.242 | agg=2.62s | det_auroc=0.953 | tpr@5=0.25
round  51 | acc=0.8017 | bsr=0.247 | agg=2.62s | det_auroc=0.953 | tpr@5=0.50
round  52 | acc=0.8032 | bsr=0.255 | agg=2.62s | det_auroc=0.953 | tpr@5=0.25
round  53 | acc=0.8036 | bsr=0.267 | agg=2.62s | det_auroc=0.922 | tpr@5=0.25
round  54 | acc=0.8037 | bsr=0.273 | agg=2.63s | det_auroc=0.922 | tpr@5=0.25
round  55 | acc=0.8052 | bsr=0.285 | agg=2.63s | det_auroc=0.938 | tpr@5=0.50
round  56 | acc=0.8065 | bsr=0.295 | agg=2.62s | det_auroc=0.953 | tpr@5=0.25
