device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0633 | bsr=0.000 | agg=0.15s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.1112 | bsr=0.000 | agg=0.15s | det_auroc=0.859 | tpr@5=0.00
round   3 | acc=0.3344 | bsr=0.050 | agg=0.15s | det_auroc=0.891 | tpr@5=0.25
round   4 | acc=0.4858 | bsr=0.148 | agg=0.15s | det_auroc=0.922 | tpr@5=0.50
round   5 | acc=0.6008 | bsr=0.139 | agg=0.16s | det_auroc=0.922 | tpr@5=0.50
round   6 | acc=0.6756 | bsr=0.099 | agg=0.16s | det_auroc=0.969 | tpr@5=0.50
round   7 | acc=0.6903 | bsr=0.082 | agg=0.16s | det_auroc=0.938 | tpr@5=0.50
round   8 | acc=0.6873 | bsr=0.073 | agg=0.16s | det_auroc=0.844 | tpr@5=0.25
round   9 | acc=0.6891 | bsr=0.070 | agg=0.17s | det_auroc=0.859 | tpr@5=0.00
round  10 | acc=0.6878 | bsr=0.066 | agg=0.16s | det_auroc=0.828 | tpr@5=0.00
round  11 | acc=0.6874 | bsr=0.050 | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6966 | bsr=0.045 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7072 | bsr=0.041 | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7185 | bsr=0.039 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7218 | bsr=0.038 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7277 | bsr=0.042 | agg=0.16s | det_auroc=0.828 | tpr@5=0.00
round  17 | acc=0.7317 | bsr=0.047 | agg=0.14s | det_auroc=0.844 | tpr@5=0.00
round  18 | acc=0.7303 | bsr=0.050 | agg=0.14s | det_auroc=0.828 | tpr@5=0.25
round  19 | acc=0.7346 | bsr=0.051 | agg=0.15s | det_auroc=0.891 | tpr@5=0.00
round  20 | acc=0.7386 | bsr=0.055 | agg=0.15s | det_auroc=0.844 | tpr@5=0.25
round  21 | acc=0.7409 | bsr=0.051 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.7430 | bsr=0.047 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.7472 | bsr=0.042 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7507 | bsr=0.042 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7532 | bsr=0.040 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.7518 | bsr=0.040 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.7548 | bsr=0.038 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.7577 | bsr=0.037 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.7583 | bsr=0.036 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.7610 | bsr=0.033 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.7640 | bsr=0.036 | agg=0.16s | det_auroc=0.969 | tpr@5=0.50
round  32 | acc=0.7663 | bsr=0.036 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.7714 | bsr=0.038 | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  34 | acc=0.7760 | bsr=0.041 | agg=0.16s | det_auroc=0.938 | tpr@5=0.00
round  35 | acc=0.7768 | bsr=0.042 | agg=0.18s | det_auroc=0.984 | tpr@5=0.75
round  36 | acc=0.7796 | bsr=0.045 | agg=0.15s | det_auroc=0.984 | tpr@5=0.75
round  37 | acc=0.7801 | bsr=0.044 | agg=0.15s | det_auroc=0.984 | tpr@5=0.75
