device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=trimmed_mean attack=backdoor
round   1 | acc=0.3782 | bsr=0.500 | agg=0.20s
round   2 | acc=0.6321 | bsr=0.025 | agg=0.20s
round   3 | acc=0.6808 | bsr=0.039 | agg=0.19s
round   4 | acc=0.7213 | bsr=0.038 | agg=0.19s
round   5 | acc=0.7434 | bsr=0.041 | agg=0.19s
round   6 | acc=0.7538 | bsr=0.035 | agg=0.19s
round   7 | acc=0.7652 | bsr=0.036 | agg=0.19s
round   8 | acc=0.7769 | bsr=0.052 | agg=0.20s
round   9 | acc=0.7847 | bsr=0.040 | agg=0.19s
round  10 | acc=0.7872 | bsr=0.040 | agg=0.19s
round  11 | acc=0.7983 | bsr=0.047 | agg=0.19s
round  12 | acc=0.8049 | bsr=0.048 | agg=0.19s
round  13 | acc=0.8084 | bsr=0.037 | agg=0.20s
round  14 | acc=0.8145 | bsr=0.051 | agg=0.19s
round  15 | acc=0.8202 | bsr=0.051 | agg=0.20s
round  16 | acc=0.8222 | bsr=0.053 | agg=0.20s
round  17 | acc=0.8274 | bsr=0.045 | agg=0.20s
round  18 | acc=0.8320 | bsr=0.051 | agg=0.20s
round  19 | acc=0.8354 | bsr=0.050 | agg=0.19s
round  20 | acc=0.8380 | bsr=0.048 | agg=0.20s
round  21 | acc=0.8407 | bsr=0.056 | agg=0.20s
round  22 | acc=0.8439 | bsr=0.053 | agg=0.20s
round  23 | acc=0.8461 | bsr=0.053 | agg=0.20s
round  24 | acc=0.8484 | bsr=0.058 | agg=0.20s
round  25 | acc=0.8490 | bsr=0.062 | agg=0.20s
round  26 | acc=0.8548 | bsr=0.062 | agg=0.21s
round  27 | acc=0.8542 | bsr=0.063 | agg=0.20s
round  28 | acc=0.8550 | bsr=0.058 | agg=0.20s
round  29 | acc=0.8585 | bsr=0.065 | agg=0.20s
round  30 | acc=0.8593 | bsr=0.065 | agg=0.20s
round  31 | acc=0.8611 | bsr=0.070 | agg=0.20s
round  32 | acc=0.8625 | bsr=0.070 | agg=0.20s
round  33 | acc=0.8643 | bsr=0.075 | agg=0.20s
round  34 | acc=0.8660 | bsr=0.085 | agg=0.20s
round  35 | acc=0.8656 | bsr=0.084 | agg=0.20s
round  36 | acc=0.8683 | bsr=0.095 | agg=0.20s
round  37 | acc=0.8682 | bsr=0.096 | agg=0.20s
round  38 | acc=0.8694 | bsr=0.102 | agg=0.20s
round  39 | acc=0.8696 | bsr=0.101 | agg=0.20s
round  40 | acc=0.8730 | bsr=0.105 | agg=0.20s
round  41 | acc=0.8699 | bsr=0.101 | agg=0.20s
round  42 | acc=0.8711 | bsr=0.112 | agg=0.21s
round  43 | acc=0.8724 | bsr=0.123 | agg=0.21s
round  44 | acc=0.8728 | bsr=0.116 | agg=0.21s
round  45 | acc=0.8760 | bsr=0.135 | agg=0.20s
round  46 | acc=0.8763 | bsr=0.135 | agg=0.20s
round  47 | acc=0.8761 | bsr=0.148 | agg=0.21s
round  48 | acc=0.8788 | bsr=0.167 | agg=0.21s
round  49 | acc=0.8788 | bsr=0.169 | agg=0.21s
round  50 | acc=0.8795 | bsr=0.189 | agg=0.20s
round  51 | acc=0.8779 | bsr=0.191 | agg=0.21s
round  52 | acc=0.8823 | bsr=0.219 | agg=0.20s
round  53 | acc=0.8796 | bsr=0.220 | agg=0.20s
round  54 | acc=0.8816 | bsr=0.241 | agg=0.21s
round  55 | acc=0.8810 | bsr=0.249 | agg=0.21s
round  56 | acc=0.8815 | bsr=0.249 | agg=0.21s
round  57 | acc=0.8823 | bsr=0.296 | agg=0.20s
round  58 | acc=0.8822 | bsr=0.282 | agg=0.20s
round  59 | acc=0.8828 | bsr=0.298 | agg=0.20s
round  60 | acc=0.8850 | bsr=0.332 | agg=0.20s
