device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=constrained_backdoor
round   1 | acc=0.0633 | bsr=0.000 | agg=0.13s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.1113 | bsr=0.000 | agg=0.11s | det_auroc=0.859 | tpr@5=0.00
round   3 | acc=0.3342 | bsr=0.050 | agg=0.13s | det_auroc=0.891 | tpr@5=0.25
round   4 | acc=0.4837 | bsr=0.149 | agg=0.12s | det_auroc=0.922 | tpr@5=0.50
round   5 | acc=0.6023 | bsr=0.140 | agg=0.12s | det_auroc=0.922 | tpr@5=0.50
round   6 | acc=0.6748 | bsr=0.098 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
round   7 | acc=0.6890 | bsr=0.081 | agg=0.12s | det_auroc=0.922 | tpr@5=0.50
round   8 | acc=0.6869 | bsr=0.074 | agg=0.12s | det_auroc=0.859 | tpr@5=0.25
round   9 | acc=0.6868 | bsr=0.071 | agg=0.12s | det_auroc=0.844 | tpr@5=0.00
round  10 | acc=0.6849 | bsr=0.065 | agg=0.13s | det_auroc=0.797 | tpr@5=0.00
round  11 | acc=0.6873 | bsr=0.049 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6966 | bsr=0.045 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7094 | bsr=0.042 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7190 | bsr=0.039 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7224 | bsr=0.038 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7275 | bsr=0.044 | agg=0.12s | det_auroc=0.844 | tpr@5=0.00
round  17 | acc=0.7344 | bsr=0.047 | agg=0.13s | det_auroc=0.844 | tpr@5=0.00
round  18 | acc=0.7335 | bsr=0.050 | agg=0.13s | det_auroc=0.812 | tpr@5=0.25
round  19 | acc=0.7364 | bsr=0.051 | agg=0.12s | det_auroc=0.875 | tpr@5=0.00
round  20 | acc=0.7403 | bsr=0.056 | agg=0.14s | det_auroc=0.828 | tpr@5=0.00
round  21 | acc=0.7427 | bsr=0.052 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.7442 | bsr=0.048 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.7492 | bsr=0.043 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7525 | bsr=0.042 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7544 | bsr=0.040 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.7537 | bsr=0.040 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.7556 | bsr=0.038 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.7582 | bsr=0.036 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.7591 | bsr=0.037 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.7616 | bsr=0.033 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.7646 | bsr=0.036 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
round  32 | acc=0.7669 | bsr=0.037 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.7732 | bsr=0.040 | agg=0.11s | det_auroc=0.984 | tpr@5=0.75
round  34 | acc=0.7759 | bsr=0.043 | agg=0.12s | det_auroc=0.938 | tpr@5=0.00
round  35 | acc=0.7775 | bsr=0.041 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.7824 | bsr=0.045 | agg=0.13s | det_auroc=0.984 | tpr@5=0.75
round  37 | acc=0.7828 | bsr=0.045 | agg=0.11s | det_auroc=0.984 | tpr@5=0.75
round  38 | acc=0.7834 | bsr=0.041 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.7834 | bsr=0.043 | agg=0.12s | det_auroc=0.984 | tpr@5=0.75
round  40 | acc=0.7862 | bsr=0.042 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.7875 | bsr=0.039 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.7869 | bsr=0.038 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.7886 | bsr=0.038 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.7894 | bsr=0.038 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.7934 | bsr=0.041 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.7956 | bsr=0.039 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.7951 | bsr=0.040 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.7959 | bsr=0.038 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.7959 | bsr=0.038 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.7974 | bsr=0.038 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.7982 | bsr=0.043 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.7995 | bsr=0.040 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.8018 | bsr=0.041 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
