device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=constrained_backdoor
round   1 | acc=0.0667 | bsr=0.000 | agg=0.04s | det_auroc=0.953 | tpr@5=0.25
round   2 | acc=0.1157 | bsr=0.000 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.3564 | bsr=0.033 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4476 | bsr=0.101 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   5 | acc=0.5521 | bsr=0.115 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   6 | acc=0.6554 | bsr=0.083 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   7 | acc=0.6729 | bsr=0.075 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6724 | bsr=0.062 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6757 | bsr=0.056 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6847 | bsr=0.050 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6967 | bsr=0.045 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  12 | acc=0.7038 | bsr=0.035 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7148 | bsr=0.036 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7266 | bsr=0.035 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  15 | acc=0.7290 | bsr=0.036 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7327 | bsr=0.036 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  17 | acc=0.7359 | bsr=0.033 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.7407 | bsr=0.034 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7444 | bsr=0.035 | agg=0.03s | det_auroc=0.938 | tpr@5=0.50
round  20 | acc=0.7452 | bsr=0.033 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  21 | acc=0.7469 | bsr=0.032 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  22 | acc=0.7488 | bsr=0.033 | agg=0.03s | det_auroc=0.953 | tpr@5=0.00
round  23 | acc=0.7486 | bsr=0.034 | agg=0.03s | det_auroc=0.906 | tpr@5=0.00
round  24 | acc=0.7542 | bsr=0.032 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  25 | acc=0.7566 | bsr=0.035 | agg=0.03s | det_auroc=0.836 | tpr@5=0.00
round  26 | acc=0.7591 | bsr=0.033 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  27 | acc=0.7529 | bsr=0.035 | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  28 | acc=0.7600 | bsr=0.034 | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  29 | acc=0.7586 | bsr=0.032 | agg=0.03s | det_auroc=0.969 | tpr@5=0.00
round  30 | acc=0.7595 | bsr=0.032 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  31 | acc=0.7666 | bsr=0.033 | agg=0.03s | det_auroc=0.852 | tpr@5=0.00
round  32 | acc=0.7688 | bsr=0.035 | agg=0.03s | det_auroc=0.945 | tpr@5=0.00
round  33 | acc=0.7683 | bsr=0.033 | agg=0.03s | det_auroc=0.906 | tpr@5=0.00
round  34 | acc=0.7701 | bsr=0.032 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  35 | acc=0.7727 | bsr=0.030 | agg=0.03s | det_auroc=0.938 | tpr@5=0.00
round  36 | acc=0.7734 | bsr=0.036 | agg=0.03s | det_auroc=0.828 | tpr@5=0.00
round  37 | acc=0.7785 | bsr=0.034 | agg=0.03s | det_auroc=0.906 | tpr@5=0.00
round  38 | acc=0.7751 | bsr=0.034 | agg=0.03s | det_auroc=0.969 | tpr@5=0.75
round  39 | acc=0.7766 | bsr=0.034 | agg=0.03s | det_auroc=0.969 | tpr@5=0.00
round  40 | acc=0.7765 | bsr=0.034 | agg=0.03s | det_auroc=0.906 | tpr@5=0.00
round  41 | acc=0.7789 | bsr=0.031 | agg=0.03s | det_auroc=0.922 | tpr@5=0.00
round  42 | acc=0.7851 | bsr=0.033 | agg=0.03s | det_auroc=0.922 | tpr@5=0.00
round  43 | acc=0.7849 | bsr=0.032 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  44 | acc=0.7801 | bsr=0.032 | agg=0.03s | det_auroc=0.859 | tpr@5=0.00
round  45 | acc=0.7859 | bsr=0.032 | agg=0.03s | det_auroc=0.922 | tpr@5=0.00
round  46 | acc=0.7783 | bsr=0.036 | agg=0.03s | det_auroc=0.906 | tpr@5=0.00
round  47 | acc=0.7863 | bsr=0.032 | agg=0.03s | det_auroc=0.859 | tpr@5=0.00
round  48 | acc=0.7877 | bsr=0.037 | agg=0.03s | det_auroc=0.922 | tpr@5=0.00
round  49 | acc=0.7896 | bsr=0.036 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  50 | acc=0.7904 | bsr=0.037 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  51 | acc=0.7899 | bsr=0.037 | agg=0.03s | det_auroc=0.734 | tpr@5=0.00
round  52 | acc=0.7920 | bsr=0.037 | agg=0.03s | det_auroc=0.883 | tpr@5=0.00
round  53 | acc=0.7948 | bsr=0.033 | agg=0.03s | det_auroc=0.891 | tpr@5=0.00
round  54 | acc=0.7948 | bsr=0.035 | agg=0.03s | det_auroc=0.766 | tpr@5=0.00
round  55 | acc=0.7957 | bsr=0.039 | agg=0.03s | det_auroc=0.797 | tpr@5=0.00
round  56 | acc=0.7959 | bsr=0.034 | agg=0.03s | det_auroc=0.938 | tpr@5=0.00
round  57 | acc=0.7965 | bsr=0.039 | agg=0.03s | det_auroc=0.797 | tpr@5=0.00
round  58 | acc=0.7998 | bsr=0.041 | agg=0.03s | det_auroc=0.766 | tpr@5=0.00
round  59 | acc=0.7990 | bsr=0.038 | agg=0.03s | det_auroc=0.969 | tpr@5=0.00
round  60 | acc=0.7958 | bsr=0.037 | agg=0.03s | det_auroc=0.883 | tpr@5=0.00
