device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=constrained_backdoor
round   1 | acc=0.3738 | bsr=0.486 | agg=0.19s
round   2 | acc=0.6092 | bsr=0.020 | agg=0.19s
round   3 | acc=0.6731 | bsr=0.037 | agg=0.19s
round   4 | acc=0.7091 | bsr=0.038 | agg=0.18s
round   5 | acc=0.7394 | bsr=0.039 | agg=0.18s
round   6 | acc=0.7549 | bsr=0.034 | agg=0.18s
round   7 | acc=0.7631 | bsr=0.035 | agg=0.19s
round   8 | acc=0.7750 | bsr=0.044 | agg=0.19s
round   9 | acc=0.7839 | bsr=0.039 | agg=0.19s
round  10 | acc=0.7840 | bsr=0.038 | agg=0.20s
round  11 | acc=0.7954 | bsr=0.043 | agg=0.19s
round  12 | acc=0.8027 | bsr=0.047 | agg=0.19s
round  13 | acc=0.8059 | bsr=0.036 | agg=0.18s
round  14 | acc=0.8104 | bsr=0.046 | agg=0.19s
round  15 | acc=0.8177 | bsr=0.046 | agg=0.19s
round  16 | acc=0.8197 | bsr=0.043 | agg=0.20s
round  17 | acc=0.8237 | bsr=0.042 | agg=0.19s
round  18 | acc=0.8290 | bsr=0.042 | agg=0.19s
round  19 | acc=0.8311 | bsr=0.043 | agg=0.20s
round  20 | acc=0.8354 | bsr=0.043 | agg=0.20s
round  21 | acc=0.8388 | bsr=0.047 | agg=0.20s
round  22 | acc=0.8423 | bsr=0.043 | agg=0.19s
round  23 | acc=0.8433 | bsr=0.039 | agg=0.19s
round  24 | acc=0.8437 | bsr=0.042 | agg=0.19s
round  25 | acc=0.8469 | bsr=0.044 | agg=0.19s
round  26 | acc=0.8532 | bsr=0.042 | agg=0.19s
round  27 | acc=0.8537 | bsr=0.045 | agg=0.20s
round  28 | acc=0.8555 | bsr=0.036 | agg=0.20s
round  29 | acc=0.8591 | bsr=0.041 | agg=0.20s
round  30 | acc=0.8606 | bsr=0.039 | agg=0.20s
round  31 | acc=0.8591 | bsr=0.045 | agg=0.20s
round  32 | acc=0.8624 | bsr=0.039 | agg=0.19s
round  33 | acc=0.8632 | bsr=0.042 | agg=0.19s
round  34 | acc=0.8653 | bsr=0.049 | agg=0.19s
round  35 | acc=0.8653 | bsr=0.045 | agg=0.20s
round  36 | acc=0.8671 | bsr=0.054 | agg=0.20s
round  37 | acc=0.8680 | bsr=0.049 | agg=0.19s
round  38 | acc=0.8681 | bsr=0.056 | agg=0.19s
round  39 | acc=0.8703 | bsr=0.051 | agg=0.19s
round  40 | acc=0.8704 | bsr=0.053 | agg=0.19s
round  41 | acc=0.8691 | bsr=0.048 | agg=0.19s
round  42 | acc=0.8704 | bsr=0.052 | agg=0.19s
round  43 | acc=0.8725 | bsr=0.060 | agg=0.20s
round  44 | acc=0.8742 | bsr=0.054 | agg=0.19s
round  45 | acc=0.8769 | bsr=0.066 | agg=0.19s
round  46 | acc=0.8759 | bsr=0.064 | agg=0.19s
round  47 | acc=0.8762 | bsr=0.068 | agg=0.20s
round  48 | acc=0.8779 | bsr=0.080 | agg=0.20s
round  49 | acc=0.8783 | bsr=0.074 | agg=0.20s
round  50 | acc=0.8795 | bsr=0.088 | agg=0.19s
round  51 | acc=0.8809 | bsr=0.083 | agg=0.20s
round  52 | acc=0.8818 | bsr=0.098 | agg=0.19s
round  53 | acc=0.8810 | bsr=0.095 | agg=0.19s
round  54 | acc=0.8809 | bsr=0.101 | agg=0.19s
round  55 | acc=0.8805 | bsr=0.108 | agg=0.21s
round  56 | acc=0.8811 | bsr=0.089 | agg=0.20s
round  57 | acc=0.8837 | bsr=0.118 | agg=0.19s
round  58 | acc=0.8814 | bsr=0.104 | agg=0.19s
round  59 | acc=0.8821 | bsr=0.119 | agg=0.19s
round  60 | acc=0.8839 | bsr=0.126 | agg=0.19s
