device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=gaussian
round   1 | acc=0.0657 | bsr=nan | agg=0.15s | det_auroc=0.297 | tpr@5=0.00
round   2 | acc=0.0913 | bsr=nan | agg=0.15s | det_auroc=0.594 | tpr@5=0.00
round   3 | acc=0.1491 | bsr=nan | agg=0.16s | det_auroc=0.812 | tpr@5=0.00
round   4 | acc=0.3745 | bsr=nan | agg=0.16s | det_auroc=0.797 | tpr@5=0.00
round   5 | acc=0.5374 | bsr=nan | agg=0.17s | det_auroc=0.812 | tpr@5=0.00
round   6 | acc=0.5800 | bsr=nan | agg=0.16s | det_auroc=0.812 | tpr@5=0.00
round   7 | acc=0.6254 | bsr=nan | agg=0.16s | det_auroc=0.812 | tpr@5=0.00
round   8 | acc=0.6296 | bsr=nan | agg=0.15s | det_auroc=0.750 | tpr@5=0.00
round   9 | acc=0.6531 | bsr=nan | agg=0.17s | det_auroc=0.516 | tpr@5=0.00
round  10 | acc=0.6569 | bsr=nan | agg=0.16s | det_auroc=0.078 | tpr@5=0.00
round  11 | acc=0.6656 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.6757 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.6806 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.6911 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.7041 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  16 | acc=0.7010 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.7129 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.7159 | bsr=nan | agg=0.16s | det_auroc=0.016 | tpr@5=0.00
round  19 | acc=0.7189 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.7172 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  21 | acc=0.7201 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  22 | acc=0.7233 | bsr=nan | agg=0.18s | det_auroc=0.000 | tpr@5=0.00
round  23 | acc=0.7286 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  24 | acc=0.7336 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  25 | acc=0.7366 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  26 | acc=0.7407 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  27 | acc=0.7442 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  28 | acc=0.7464 | bsr=nan | agg=0.13s | det_auroc=0.000 | tpr@5=0.00
round  29 | acc=0.7485 | bsr=nan | agg=0.18s | det_auroc=0.000 | tpr@5=0.00
round  30 | acc=0.7519 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  31 | acc=0.7539 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  32 | acc=0.7542 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  33 | acc=0.7532 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  34 | acc=0.7557 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  35 | acc=0.7587 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  36 | acc=0.7611 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  37 | acc=0.7608 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  38 | acc=0.7636 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  39 | acc=0.7667 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  40 | acc=0.7661 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  41 | acc=0.7663 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  42 | acc=0.7695 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  43 | acc=0.7705 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  44 | acc=0.7738 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  45 | acc=0.7781 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  46 | acc=0.7797 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  47 | acc=0.7821 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  48 | acc=0.7828 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  49 | acc=0.7851 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  50 | acc=0.7877 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  51 | acc=0.7873 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  52 | acc=0.7892 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  53 | acc=0.7900 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  54 | acc=0.7912 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  55 | acc=0.7920 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  56 | acc=0.7917 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  57 | acc=0.7921 | bsr=nan | agg=0.17s | det_auroc=0.000 | tpr@5=0.00
round  58 | acc=0.7947 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  59 | acc=0.7954 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  60 | acc=0.7968 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
