device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=gaussian
round   1 | acc=0.0704 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.1185 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.2710 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4397 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.6019 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.6612 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.6773 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6852 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6877 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6956 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7046 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.7049 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7194 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7143 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7250 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7263 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.7372 | bsr=nan | agg=0.04s | det_auroc=0.953 | tpr@5=0.00
round  18 | acc=0.7400 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7447 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.7452 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7498 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.7502 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  23 | acc=0.7500 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7515 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7546 | bsr=nan | agg=0.04s | det_auroc=0.953 | tpr@5=0.00
round  26 | acc=0.7533 | bsr=nan | agg=0.03s | det_auroc=0.953 | tpr@5=0.00
round  27 | acc=0.7583 | bsr=nan | agg=0.04s | det_auroc=0.961 | tpr@5=0.00
round  28 | acc=0.7597 | bsr=nan | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  29 | acc=0.7622 | bsr=nan | agg=0.04s | det_auroc=0.883 | tpr@5=0.00
round  30 | acc=0.7643 | bsr=nan | agg=0.03s | det_auroc=0.953 | tpr@5=0.00
round  31 | acc=0.7630 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  32 | acc=0.7701 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  33 | acc=0.7720 | bsr=nan | agg=0.04s | det_auroc=0.891 | tpr@5=0.00
round  34 | acc=0.7736 | bsr=nan | agg=0.04s | det_auroc=0.891 | tpr@5=0.00
round  35 | acc=0.7753 | bsr=nan | agg=0.04s | det_auroc=0.945 | tpr@5=0.00
round  36 | acc=0.7767 | bsr=nan | agg=0.04s | det_auroc=0.883 | tpr@5=0.00
round  37 | acc=0.7737 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.7767 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  39 | acc=0.7682 | bsr=nan | agg=0.04s | det_auroc=0.844 | tpr@5=0.00
round  40 | acc=0.7780 | bsr=nan | agg=0.04s | det_auroc=0.812 | tpr@5=0.00
round  41 | acc=0.7788 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  42 | acc=0.7804 | bsr=nan | agg=0.04s | det_auroc=0.953 | tpr@5=0.00
