device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.0707 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.0935 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.1776 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4184 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.5164 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.5338 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.5460 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6068 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6415 | bsr=nan | agg=0.19s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6578 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6815 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6951 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7079 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7140 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7197 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7295 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.7360 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.7390 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7443 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.7463 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7477 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.7503 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.7499 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7529 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7613 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.7633 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.7655 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.7666 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.7704 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.7732 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.7752 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.7772 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.7791 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.7806 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.7804 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.7824 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.7812 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.7833 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.7850 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.7855 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.7884 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.7902 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.7912 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.7916 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.7941 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.7959 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.7972 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.7988 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.7986 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.8020 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.8032 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.8028 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.8058 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.8058 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.8062 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.8089 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.8098 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.8113 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.8110 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.8142 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
