device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.0690 | bsr=nan | agg=2.63s | det_auroc=0.469 | tpr@5=0.00
round   2 | acc=0.0924 | bsr=nan | agg=2.62s | det_auroc=0.797 | tpr@5=0.50
round   3 | acc=0.1511 | bsr=nan | agg=2.63s | det_auroc=0.859 | tpr@5=0.75
round   4 | acc=0.3802 | bsr=nan | agg=2.62s | det_auroc=0.984 | tpr@5=0.75
round   5 | acc=0.4568 | bsr=nan | agg=2.61s | det_auroc=0.984 | tpr@5=0.75
round   6 | acc=0.4764 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.4800 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.5117 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.5828 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6238 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6655 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6791 | bsr=nan | agg=2.61s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.6932 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7003 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7063 | bsr=nan | agg=2.61s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7193 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.7311 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.7336 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7414 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.7414 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7440 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.7446 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.7439 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7458 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7534 | bsr=nan | agg=2.64s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.7559 | bsr=nan | agg=2.61s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.7590 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.7615 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.7635 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.7662 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.7675 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.7677 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.7730 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.7742 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.7748 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.7765 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.7755 | bsr=nan | agg=2.61s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.7769 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.7784 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.7788 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.7829 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.7839 | bsr=nan | agg=2.64s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.7855 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.7871 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.7903 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.7913 | bsr=nan | agg=2.61s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.7937 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.7954 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.7955 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.7984 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.7993 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
