device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.0678 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.1071 | bsr=nan | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.3179 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.5187 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.5809 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.6070 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.6419 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6600 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6637 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6820 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6911 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.7021 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7102 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7141 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7247 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7288 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.7357 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.7405 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7424 | bsr=nan | agg=0.15s | det_auroc=0.969 | tpr@5=0.50
round  20 | acc=0.7422 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  21 | acc=0.7439 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  22 | acc=0.7490 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.7536 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7530 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  25 | acc=0.7548 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.7592 | bsr=nan | agg=0.15s | det_auroc=0.984 | tpr@5=0.75
round  27 | acc=0.7623 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  28 | acc=0.7646 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  29 | acc=0.7659 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.7686 | bsr=nan | agg=0.18s | det_auroc=0.969 | tpr@5=0.75
round  31 | acc=0.7713 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.7700 | bsr=nan | agg=0.18s | det_auroc=0.984 | tpr@5=0.75
round  33 | acc=0.7709 | bsr=nan | agg=0.16s | det_auroc=0.969 | tpr@5=0.75
round  34 | acc=0.7725 | bsr=nan | agg=0.17s | det_auroc=0.984 | tpr@5=0.75
round  35 | acc=0.7765 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.7801 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.7806 | bsr=nan | agg=0.15s | det_auroc=0.969 | tpr@5=0.75
round  38 | acc=0.7833 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.7864 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  40 | acc=0.7859 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  41 | acc=0.7836 | bsr=nan | agg=0.15s | det_auroc=0.984 | tpr@5=0.75
round  42 | acc=0.7869 | bsr=nan | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  43 | acc=0.7883 | bsr=nan | agg=0.15s | det_auroc=0.984 | tpr@5=0.75
round  44 | acc=0.7902 | bsr=nan | agg=0.15s | det_auroc=0.969 | tpr@5=0.75
round  45 | acc=0.7933 | bsr=nan | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  46 | acc=0.7948 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.7972 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.7977 | bsr=nan | agg=0.15s | det_auroc=0.984 | tpr@5=0.75
round  49 | acc=0.7985 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.7999 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.7991 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.8009 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.8015 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.8024 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.8037 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.8035 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.8048 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.8070 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.8084 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.8079 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
