device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=trimmed_mean attack=label_flip
round   1 | acc=0.4386 | bsr=nan | agg=0.21s
round   2 | acc=0.6198 | bsr=nan | agg=0.20s
round   3 | acc=0.6630 | bsr=nan | agg=0.19s
round   4 | acc=0.7237 | bsr=nan | agg=0.20s
round   5 | acc=0.7234 | bsr=nan | agg=0.19s
round   6 | acc=0.7365 | bsr=nan | agg=0.20s
round   7 | acc=0.7640 | bsr=nan | agg=0.20s
round   8 | acc=0.7614 | bsr=nan | agg=0.20s
round   9 | acc=0.7778 | bsr=nan | agg=0.20s
round  10 | acc=0.7865 | bsr=nan | agg=0.21s
round  11 | acc=0.7896 | bsr=nan | agg=0.20s
round  12 | acc=0.7911 | bsr=nan | agg=0.20s
round  13 | acc=0.7956 | bsr=nan | agg=0.20s
round  14 | acc=0.8019 | bsr=nan | agg=0.20s
round  15 | acc=0.8123 | bsr=nan | agg=0.21s
round  16 | acc=0.8040 | bsr=nan | agg=0.21s
round  17 | acc=0.8240 | bsr=nan | agg=0.20s
round  18 | acc=0.8168 | bsr=nan | agg=0.20s
round  19 | acc=0.8269 | bsr=nan | agg=0.20s
round  20 | acc=0.8229 | bsr=nan | agg=0.20s
round  21 | acc=0.8335 | bsr=nan | agg=0.20s
round  22 | acc=0.8332 | bsr=nan | agg=0.20s
round  23 | acc=0.8397 | bsr=nan | agg=0.21s
round  24 | acc=0.8350 | bsr=nan | agg=0.20s
round  25 | acc=0.8456 | bsr=nan | agg=0.20s
round  26 | acc=0.8450 | bsr=nan | agg=0.21s
round  27 | acc=0.8422 | bsr=nan | agg=0.21s
round  28 | acc=0.8492 | bsr=nan | agg=0.21s
round  29 | acc=0.8473 | bsr=nan | agg=0.21s
round  30 | acc=0.8514 | bsr=nan | agg=0.21s
round  31 | acc=0.8495 | bsr=nan | agg=0.21s
round  32 | acc=0.8526 | bsr=nan | agg=0.20s
round  33 | acc=0.8577 | bsr=nan | agg=0.20s
round  34 | acc=0.8568 | bsr=nan | agg=0.19s
round  35 | acc=0.8559 | bsr=nan | agg=0.19s
round  36 | acc=0.8622 | bsr=nan | agg=0.19s
round  37 | acc=0.8601 | bsr=nan | agg=0.19s
round  38 | acc=0.8638 | bsr=nan | agg=0.19s
round  39 | acc=0.8637 | bsr=nan | agg=0.20s
round  40 | acc=0.8627 | bsr=nan | agg=0.19s
round  41 | acc=0.8633 | bsr=nan | agg=0.20s
round  42 | acc=0.8678 | bsr=nan | agg=0.20s
round  43 | acc=0.8661 | bsr=nan | agg=0.20s
round  44 | acc=0.8675 | bsr=nan | agg=0.21s
round  45 | acc=0.8692 | bsr=nan | agg=0.20s
round  46 | acc=0.8719 | bsr=nan | agg=0.21s
round  47 | acc=0.8680 | bsr=nan | agg=0.21s
round  48 | acc=0.8710 | bsr=nan | agg=0.21s
round  49 | acc=0.8697 | bsr=nan | agg=0.20s
round  50 | acc=0.8702 | bsr=nan | agg=0.21s
round  51 | acc=0.8713 | bsr=nan | agg=0.21s
round  52 | acc=0.8761 | bsr=nan | agg=0.20s
round  53 | acc=0.8767 | bsr=nan | agg=0.21s
round  54 | acc=0.8748 | bsr=nan | agg=0.20s
round  55 | acc=0.8742 | bsr=nan | agg=0.21s
round  56 | acc=0.8739 | bsr=nan | agg=0.21s
round  57 | acc=0.8776 | bsr=nan | agg=0.20s
round  58 | acc=0.8763 | bsr=nan | agg=0.20s
round  59 | acc=0.8779 | bsr=nan | agg=0.20s
round  60 | acc=0.8774 | bsr=nan | agg=0.21s
