device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=lie
round   1 | acc=0.3735 | bsr=nan | agg=0.78s | det_auroc=0.750 | tpr@5=0.00
round   2 | acc=0.6520 | bsr=nan | agg=0.79s | det_auroc=0.750 | tpr@5=0.00
round   3 | acc=0.6701 | bsr=nan | agg=0.79s | det_auroc=0.750 | tpr@5=0.00
round   4 | acc=0.7075 | bsr=nan | agg=0.77s | det_auroc=0.750 | tpr@5=0.00
round   5 | acc=0.7380 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round   6 | acc=0.7349 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round   7 | acc=0.7617 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round   8 | acc=0.7699 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round   9 | acc=0.7768 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  10 | acc=0.7880 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  11 | acc=0.7893 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  12 | acc=0.8045 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  13 | acc=0.8047 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  14 | acc=0.8067 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  15 | acc=0.8212 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  16 | acc=0.8231 | bsr=nan | agg=0.80s | det_auroc=0.812 | tpr@5=0.00
round  17 | acc=0.8294 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  18 | acc=0.8238 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  19 | acc=0.8359 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  20 | acc=0.8342 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  21 | acc=0.8438 | bsr=nan | agg=0.78s | det_auroc=0.812 | tpr@5=0.00
round  22 | acc=0.8434 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
round  23 | acc=0.8455 | bsr=nan | agg=0.79s | det_auroc=0.812 | tpr@5=0.00
round  24 | acc=0.8480 | bsr=nan | agg=0.77s | det_auroc=0.812 | tpr@5=0.00
