device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=min_max
round   1 | acc=0.0549 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.0745 | bsr=nan | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.1040 | bsr=nan | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.2327 | bsr=nan | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.4142 | bsr=nan | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.5552 | bsr=nan | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.5954 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6180 | bsr=nan | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6404 | bsr=nan | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6469 | bsr=nan | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6614 | bsr=nan | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6616 | bsr=nan | agg=0.12s | det_auroc=0.938 | tpr@5=0.00
round  13 | acc=0.6631 | bsr=nan | agg=0.13s | det_auroc=0.938 | tpr@5=0.00
round  14 | acc=0.6670 | bsr=nan | agg=0.12s | det_auroc=0.938 | tpr@5=0.00
round  15 | acc=0.6663 | bsr=nan | agg=0.12s | det_auroc=0.938 | tpr@5=0.00
round  16 | acc=0.6773 | bsr=nan | agg=0.13s | det_auroc=0.875 | tpr@5=0.00
round  17 | acc=0.6855 | bsr=nan | agg=0.14s | det_auroc=0.875 | tpr@5=0.00
round  18 | acc=0.6882 | bsr=nan | agg=0.12s | det_auroc=0.750 | tpr@5=0.00
round  19 | acc=0.6955 | bsr=nan | agg=0.12s | det_auroc=0.500 | tpr@5=0.00
round  20 | acc=0.6979 | bsr=nan | agg=0.13s | det_auroc=0.562 | tpr@5=0.00
round  21 | acc=0.7035 | bsr=nan | agg=0.15s | det_auroc=0.375 | tpr@5=0.00
round  22 | acc=0.7067 | bsr=nan | agg=0.13s | det_auroc=0.375 | tpr@5=0.00
round  23 | acc=0.7103 | bsr=nan | agg=0.13s | det_auroc=0.375 | tpr@5=0.00
round  24 | acc=0.7138 | bsr=nan | agg=0.13s | det_auroc=0.312 | tpr@5=0.00
round  25 | acc=0.7210 | bsr=nan | agg=0.13s | det_auroc=0.250 | tpr@5=0.00
round  26 | acc=0.7249 | bsr=nan | agg=0.12s | det_auroc=0.438 | tpr@5=0.00
round  27 | acc=0.7265 | bsr=nan | agg=0.12s | det_auroc=0.062 | tpr@5=0.00
round  28 | acc=0.7284 | bsr=nan | agg=0.13s | det_auroc=0.125 | tpr@5=0.00
round  29 | acc=0.7313 | bsr=nan | agg=0.12s | det_auroc=0.500 | tpr@5=0.00
round  30 | acc=0.7342 | bsr=nan | agg=0.12s | det_auroc=0.188 | tpr@5=0.00
round  31 | acc=0.7366 | bsr=nan | agg=0.13s | det_auroc=0.188 | tpr@5=0.00
round  32 | acc=0.7375 | bsr=nan | agg=0.12s | det_auroc=0.188 | tpr@5=0.00
round  33 | acc=0.7400 | bsr=nan | agg=0.13s | det_auroc=0.062 | tpr@5=0.00
round  34 | acc=0.7418 | bsr=nan | agg=0.13s | det_auroc=0.062 | tpr@5=0.00
round  35 | acc=0.7418 | bsr=nan | agg=0.13s | det_auroc=0.250 | tpr@5=0.00
round  36 | acc=0.7426 | bsr=nan | agg=0.13s | det_auroc=0.188 | tpr@5=0.00
round  37 | acc=0.7427 | bsr=nan | agg=0.12s | det_auroc=0.125 | tpr@5=0.00
round  38 | acc=0.7439 | bsr=nan | agg=0.12s | det_auroc=0.062 | tpr@5=0.00
round  39 | acc=0.7426 | bsr=nan | agg=0.15s | det_auroc=0.250 | tpr@5=0.00
round  40 | acc=0.7436 | bsr=nan | agg=0.13s | det_auroc=0.250 | tpr@5=0.00
round  41 | acc=0.7439 | bsr=nan | agg=0.12s | det_auroc=0.125 | tpr@5=0.00
round  42 | acc=0.7447 | bsr=nan | agg=0.13s | det_auroc=0.062 | tpr@5=0.00
round  43 | acc=0.7453 | bsr=nan | agg=0.12s | det_auroc=0.250 | tpr@5=0.00
round  44 | acc=0.7455 | bsr=nan | agg=0.13s | det_auroc=0.062 | tpr@5=0.00
round  45 | acc=0.7475 | bsr=nan | agg=0.13s | det_auroc=0.062 | tpr@5=0.00
round  46 | acc=0.7485 | bsr=nan | agg=0.13s | det_auroc=0.062 | tpr@5=0.00
round  47 | acc=0.7488 | bsr=nan | agg=0.12s | det_auroc=0.250 | tpr@5=0.00
round  48 | acc=0.7500 | bsr=nan | agg=0.13s | det_auroc=0.125 | tpr@5=0.00
round  49 | acc=0.7494 | bsr=nan | agg=0.12s | det_auroc=0.062 | tpr@5=0.00
round  50 | acc=0.7526 | bsr=nan | agg=0.12s | det_auroc=0.188 | tpr@5=0.00
round  51 | acc=0.7542 | bsr=nan | agg=0.12s | det_auroc=0.000 | tpr@5=0.00
round  52 | acc=0.7550 | bsr=nan | agg=0.13s | det_auroc=0.375 | tpr@5=0.00
round  53 | acc=0.7570 | bsr=nan | agg=0.12s | det_auroc=0.125 | tpr@5=0.00
round  54 | acc=0.7581 | bsr=nan | agg=0.14s | det_auroc=0.250 | tpr@5=0.00
round  55 | acc=0.7594 | bsr=nan | agg=0.13s | det_auroc=0.062 | tpr@5=0.00
round  56 | acc=0.7606 | bsr=nan | agg=0.12s | det_auroc=0.250 | tpr@5=0.00
round  57 | acc=0.7609 | bsr=nan | agg=0.13s | det_auroc=0.312 | tpr@5=0.00
round  58 | acc=0.7618 | bsr=nan | agg=0.12s | det_auroc=0.125 | tpr@5=0.00
round  59 | acc=0.7621 | bsr=nan | agg=0.13s | det_auroc=0.562 | tpr@5=0.00
round  60 | acc=0.7633 | bsr=nan | agg=0.12s | det_auroc=0.250 | tpr@5=0.00
