device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=min_max
round   1 | acc=0.0625 | bsr=nan | agg=2.58s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.0816 | bsr=nan | agg=2.54s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.1169 | bsr=nan | agg=2.55s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.2486 | bsr=nan | agg=2.55s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.4916 | bsr=nan | agg=2.57s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.5695 | bsr=nan | agg=2.55s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.5909 | bsr=nan | agg=2.59s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6044 | bsr=nan | agg=2.56s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6228 | bsr=nan | agg=2.56s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6287 | bsr=nan | agg=2.52s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6436 | bsr=nan | agg=2.55s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6490 | bsr=nan | agg=2.54s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.6590 | bsr=nan | agg=2.54s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.6722 | bsr=nan | agg=2.55s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.6750 | bsr=nan | agg=2.57s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.6854 | bsr=nan | agg=2.53s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.7019 | bsr=nan | agg=2.52s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.7084 | bsr=nan | agg=2.54s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7140 | bsr=nan | agg=2.57s | det_auroc=0.875 | tpr@5=0.00
round  20 | acc=0.7159 | bsr=nan | agg=2.54s | det_auroc=0.938 | tpr@5=0.00
round  21 | acc=0.7211 | bsr=nan | agg=2.54s | det_auroc=0.750 | tpr@5=0.00
round  22 | acc=0.7243 | bsr=nan | agg=2.58s | det_auroc=0.688 | tpr@5=0.00
round  23 | acc=0.7263 | bsr=nan | agg=2.57s | det_auroc=0.688 | tpr@5=0.00
round  24 | acc=0.7282 | bsr=nan | agg=2.54s | det_auroc=0.875 | tpr@5=0.00
round  25 | acc=0.7325 | bsr=nan | agg=2.58s | det_auroc=0.625 | tpr@5=0.00
round  26 | acc=0.7341 | bsr=nan | agg=2.56s | det_auroc=0.375 | tpr@5=0.00
round  27 | acc=0.7352 | bsr=nan | agg=2.54s | det_auroc=0.750 | tpr@5=0.00
round  28 | acc=0.7378 | bsr=nan | agg=2.55s | det_auroc=0.484 | tpr@5=0.00
round  29 | acc=0.7393 | bsr=nan | agg=2.57s | det_auroc=0.312 | tpr@5=0.00
round  30 | acc=0.7421 | bsr=nan | agg=2.55s | det_auroc=0.500 | tpr@5=0.00
round  31 | acc=0.7448 | bsr=nan | agg=2.56s | det_auroc=0.250 | tpr@5=0.00
round  32 | acc=0.7455 | bsr=nan | agg=2.55s | det_auroc=0.500 | tpr@5=0.00
round  33 | acc=0.7480 | bsr=nan | agg=2.59s | det_auroc=0.562 | tpr@5=0.00
round  34 | acc=0.7493 | bsr=nan | agg=2.54s | det_auroc=0.438 | tpr@5=0.00
round  35 | acc=0.7491 | bsr=nan | agg=2.57s | det_auroc=0.562 | tpr@5=0.00
round  36 | acc=0.7502 | bsr=nan | agg=2.57s | det_auroc=0.688 | tpr@5=0.00
round  37 | acc=0.7503 | bsr=nan | agg=2.54s | det_auroc=0.438 | tpr@5=0.00
round  38 | acc=0.7509 | bsr=nan | agg=2.55s | det_auroc=0.250 | tpr@5=0.00
round  39 | acc=0.7492 | bsr=nan | agg=2.56s | det_auroc=0.312 | tpr@5=0.00
round  40 | acc=0.7501 | bsr=nan | agg=2.56s | det_auroc=0.250 | tpr@5=0.00
round  41 | acc=0.7516 | bsr=nan | agg=2.56s | det_auroc=0.312 | tpr@5=0.00
round  42 | acc=0.7528 | bsr=nan | agg=2.57s | det_auroc=0.188 | tpr@5=0.00
round  43 | acc=0.7541 | bsr=nan | agg=2.54s | det_auroc=0.188 | tpr@5=0.00
round  44 | acc=0.7533 | bsr=nan | agg=2.55s | det_auroc=0.250 | tpr@5=0.00
round  45 | acc=0.7538 | bsr=nan | agg=2.54s | det_auroc=0.188 | tpr@5=0.00
round  46 | acc=0.7558 | bsr=nan | agg=2.55s | det_auroc=0.125 | tpr@5=0.00
round  47 | acc=0.7569 | bsr=nan | agg=2.56s | det_auroc=0.438 | tpr@5=0.00
round  48 | acc=0.7580 | bsr=nan | agg=2.55s | det_auroc=0.188 | tpr@5=0.00
round  49 | acc=0.7578 | bsr=nan | agg=2.55s | det_auroc=0.250 | tpr@5=0.00
round  50 | acc=0.7605 | bsr=nan | agg=2.58s | det_auroc=0.188 | tpr@5=0.00
round  51 | acc=0.7620 | bsr=nan | agg=2.56s | det_auroc=0.250 | tpr@5=0.00
round  52 | acc=0.7629 | bsr=nan | agg=2.55s | det_auroc=0.250 | tpr@5=0.00
round  53 | acc=0.7664 | bsr=nan | agg=2.55s | det_auroc=0.188 | tpr@5=0.00
round  54 | acc=0.7657 | bsr=nan | agg=2.57s | det_auroc=0.188 | tpr@5=0.00
round  55 | acc=0.7670 | bsr=nan | agg=2.57s | det_auroc=0.188 | tpr@5=0.00
round  56 | acc=0.7690 | bsr=nan | agg=2.56s | det_auroc=0.188 | tpr@5=0.00
round  57 | acc=0.7687 | bsr=nan | agg=2.55s | det_auroc=0.125 | tpr@5=0.00
round  58 | acc=0.7707 | bsr=nan | agg=2.56s | det_auroc=0.188 | tpr@5=0.00
round  59 | acc=0.7718 | bsr=nan | agg=2.59s | det_auroc=0.188 | tpr@5=0.00
round  60 | acc=0.7736 | bsr=nan | agg=2.56s | det_auroc=0.188 | tpr@5=0.00
