device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=min_max
round   1 | acc=0.3704 | bsr=nan | agg=0.19s
round   2 | acc=0.5246 | bsr=nan | agg=0.18s
round   3 | acc=0.6186 | bsr=nan | agg=0.17s
round   4 | acc=0.6674 | bsr=nan | agg=0.18s
round   5 | acc=0.6861 | bsr=nan | agg=0.17s
round   6 | acc=0.7016 | bsr=nan | agg=0.17s
round   7 | acc=0.7302 | bsr=nan | agg=0.17s
round   8 | acc=0.7297 | bsr=nan | agg=0.17s
round   9 | acc=0.7294 | bsr=nan | agg=0.17s
round  10 | acc=0.7446 | bsr=nan | agg=0.17s
round  11 | acc=0.7632 | bsr=nan | agg=0.17s
round  12 | acc=0.7627 | bsr=nan | agg=0.17s
round  13 | acc=0.7630 | bsr=nan | agg=0.17s
round  14 | acc=0.7618 | bsr=nan | agg=0.17s
round  15 | acc=0.7670 | bsr=nan | agg=0.17s
round  16 | acc=0.7671 | bsr=nan | agg=0.17s
round  17 | acc=0.7759 | bsr=nan | agg=0.17s
round  18 | acc=0.7769 | bsr=nan | agg=0.18s
round  19 | acc=0.7828 | bsr=nan | agg=0.17s
round  20 | acc=0.7860 | bsr=nan | agg=0.17s
round  21 | acc=0.7901 | bsr=nan | agg=0.17s
round  22 | acc=0.7883 | bsr=nan | agg=0.18s
round  23 | acc=0.7970 | bsr=nan | agg=0.17s
round  24 | acc=0.8038 | bsr=nan | agg=0.18s
round  25 | acc=0.8060 | bsr=nan | agg=0.18s
round  26 | acc=0.8100 | bsr=nan | agg=0.18s
round  27 | acc=0.8087 | bsr=nan | agg=0.18s
round  28 | acc=0.8101 | bsr=nan | agg=0.18s
round  29 | acc=0.8171 | bsr=nan | agg=0.18s
round  30 | acc=0.8171 | bsr=nan | agg=0.18s
round  31 | acc=0.8128 | bsr=nan | agg=0.18s
round  32 | acc=0.8080 | bsr=nan | agg=0.18s
round  33 | acc=0.8156 | bsr=nan | agg=0.18s
round  34 | acc=0.8166 | bsr=nan | agg=0.18s
round  35 | acc=0.8171 | bsr=nan | agg=0.18s
round  36 | acc=0.8218 | bsr=nan | agg=0.18s
round  37 | acc=0.8221 | bsr=nan | agg=0.18s
round  38 | acc=0.8245 | bsr=nan | agg=0.18s
round  39 | acc=0.8236 | bsr=nan | agg=0.19s
round  40 | acc=0.8258 | bsr=nan | agg=0.18s
round  41 | acc=0.8264 | bsr=nan | agg=0.18s
round  42 | acc=0.8320 | bsr=nan | agg=0.19s
round  43 | acc=0.8360 | bsr=nan | agg=0.18s
round  44 | acc=0.8359 | bsr=nan | agg=0.18s
round  45 | acc=0.8369 | bsr=nan | agg=0.18s
round  46 | acc=0.8411 | bsr=nan | agg=0.18s
round  47 | acc=0.8389 | bsr=nan | agg=0.19s
round  48 | acc=0.8406 | bsr=nan | agg=0.19s
round  49 | acc=0.8427 | bsr=nan | agg=0.20s
round  50 | acc=0.8440 | bsr=nan | agg=0.20s
round  51 | acc=0.8402 | bsr=nan | agg=0.20s
round  52 | acc=0.8419 | bsr=nan | agg=0.18s
round  53 | acc=0.8472 | bsr=nan | agg=0.20s
round  54 | acc=0.8438 | bsr=nan | agg=0.18s
round  55 | acc=0.8441 | bsr=nan | agg=0.18s
round  56 | acc=0.8448 | bsr=nan | agg=0.19s
round  57 | acc=0.8459 | bsr=nan | agg=0.19s
round  58 | acc=0.8477 | bsr=nan | agg=0.19s
round  59 | acc=0.8498 | bsr=nan | agg=0.19s
round  60 | acc=0.8512 | bsr=nan | agg=0.18s
