device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.0514 | bsr=nan | agg=2.63s | det_auroc=0.562 | tpr@5=0.00
round   2 | acc=0.1106 | bsr=nan | agg=2.61s | det_auroc=0.531 | tpr@5=0.25
round   3 | acc=0.3665 | bsr=nan | agg=2.60s | det_auroc=0.500 | tpr@5=0.25
round   4 | acc=0.4811 | bsr=nan | agg=2.62s | det_auroc=0.531 | tpr@5=0.25
round   5 | acc=0.6267 | bsr=nan | agg=2.61s | det_auroc=0.453 | tpr@5=0.00
round   6 | acc=0.6956 | bsr=nan | agg=2.62s | det_auroc=0.438 | tpr@5=0.00
round   7 | acc=0.7086 | bsr=nan | agg=2.61s | det_auroc=0.484 | tpr@5=0.00
round   8 | acc=0.7123 | bsr=nan | agg=2.62s | det_auroc=0.484 | tpr@5=0.00
round   9 | acc=0.7153 | bsr=nan | agg=2.62s | det_auroc=0.500 | tpr@5=0.00
round  10 | acc=0.7178 | bsr=nan | agg=2.61s | det_auroc=0.609 | tpr@5=0.00
round  11 | acc=0.7216 | bsr=nan | agg=2.60s | det_auroc=0.547 | tpr@5=0.00
round  12 | acc=0.7273 | bsr=nan | agg=2.62s | det_auroc=0.297 | tpr@5=0.00
round  13 | acc=0.7304 | bsr=nan | agg=2.62s | det_auroc=0.391 | tpr@5=0.00
round  14 | acc=0.7334 | bsr=nan | agg=2.62s | det_auroc=0.594 | tpr@5=0.00
round  15 | acc=0.7354 | bsr=nan | agg=2.62s | det_auroc=0.562 | tpr@5=0.00
round  16 | acc=0.7426 | bsr=nan | agg=2.60s | det_auroc=0.484 | tpr@5=0.00
round  17 | acc=0.7464 | bsr=nan | agg=2.62s | det_auroc=0.625 | tpr@5=0.00
round  18 | acc=0.7508 | bsr=nan | agg=2.62s | det_auroc=0.547 | tpr@5=0.00
round  19 | acc=0.7538 | bsr=nan | agg=2.61s | det_auroc=0.500 | tpr@5=0.00
round  20 | acc=0.7571 | bsr=nan | agg=2.62s | det_auroc=0.547 | tpr@5=0.00
round  21 | acc=0.7587 | bsr=nan | agg=2.62s | det_auroc=0.484 | tpr@5=0.00
round  22 | acc=0.7610 | bsr=nan | agg=2.61s | det_auroc=0.516 | tpr@5=0.00
round  23 | acc=0.7644 | bsr=nan | agg=2.62s | det_auroc=0.516 | tpr@5=0.00
round  24 | acc=0.7657 | bsr=nan | agg=2.61s | det_auroc=0.453 | tpr@5=0.00
round  25 | acc=0.7659 | bsr=nan | agg=2.61s | det_auroc=0.484 | tpr@5=0.00
round  26 | acc=0.7687 | bsr=nan | agg=2.63s | det_auroc=0.453 | tpr@5=0.00
round  27 | acc=0.7722 | bsr=nan | agg=2.62s | det_auroc=0.438 | tpr@5=0.00
round  28 | acc=0.7740 | bsr=nan | agg=2.61s | det_auroc=0.359 | tpr@5=0.00
round  29 | acc=0.7762 | bsr=nan | agg=2.60s | det_auroc=0.375 | tpr@5=0.00
round  30 | acc=0.7770 | bsr=nan | agg=2.61s | det_auroc=0.516 | tpr@5=0.00
round  31 | acc=0.7781 | bsr=nan | agg=2.62s | det_auroc=0.375 | tpr@5=0.00
round  32 | acc=0.7803 | bsr=nan | agg=2.62s | det_auroc=0.406 | tpr@5=0.00
round  33 | acc=0.7833 | bsr=nan | agg=2.62s | det_auroc=0.500 | tpr@5=0.00
round  34 | acc=0.7854 | bsr=nan | agg=2.61s | det_auroc=0.453 | tpr@5=0.00
round  35 | acc=0.7878 | bsr=nan | agg=2.62s | det_auroc=0.516 | tpr@5=0.00
round  36 | acc=0.7886 | bsr=nan | agg=2.62s | det_auroc=0.578 | tpr@5=0.00
round  37 | acc=0.7895 | bsr=nan | agg=2.62s | det_auroc=0.406 | tpr@5=0.00
round  38 | acc=0.7909 | bsr=nan | agg=2.62s | det_auroc=0.562 | tpr@5=0.00
round  39 | acc=0.7908 | bsr=nan | agg=2.61s | det_auroc=0.500 | tpr@5=0.00
round  40 | acc=0.7927 | bsr=nan | agg=2.61s | det_auroc=0.469 | tpr@5=0.00
round  41 | acc=0.7939 | bsr=nan | agg=2.61s | det_auroc=0.500 | tpr@5=0.00
round  42 | acc=0.7947 | bsr=nan | agg=2.61s | det_auroc=0.578 | tpr@5=0.00
round  43 | acc=0.7978 | bsr=nan | agg=2.61s | det_auroc=0.562 | tpr@5=0.00
