device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.0637 | bsr=nan | agg=0.16s | det_auroc=0.625 | tpr@5=0.00
round   2 | acc=0.1109 | bsr=nan | agg=0.16s | det_auroc=0.594 | tpr@5=0.00
round   3 | acc=0.3570 | bsr=nan | agg=0.17s | det_auroc=0.625 | tpr@5=0.00
round   4 | acc=0.4854 | bsr=nan | agg=0.14s | det_auroc=0.656 | tpr@5=0.00
round   5 | acc=0.5519 | bsr=nan | agg=0.16s | det_auroc=0.672 | tpr@5=0.00
round   6 | acc=0.6335 | bsr=nan | agg=0.16s | det_auroc=0.656 | tpr@5=0.00
round   7 | acc=0.6791 | bsr=nan | agg=0.16s | det_auroc=0.531 | tpr@5=0.00
round   8 | acc=0.6977 | bsr=nan | agg=0.16s | det_auroc=0.625 | tpr@5=0.00
round   9 | acc=0.6975 | bsr=nan | agg=0.16s | det_auroc=0.656 | tpr@5=0.25
round  10 | acc=0.7080 | bsr=nan | agg=0.15s | det_auroc=0.656 | tpr@5=0.25
round  11 | acc=0.7216 | bsr=nan | agg=0.16s | det_auroc=0.672 | tpr@5=0.00
round  12 | acc=0.7261 | bsr=nan | agg=0.16s | det_auroc=0.656 | tpr@5=0.00
round  13 | acc=0.7290 | bsr=nan | agg=0.15s | det_auroc=0.703 | tpr@5=0.00
round  14 | acc=0.7360 | bsr=nan | agg=0.15s | det_auroc=0.656 | tpr@5=0.00
round  15 | acc=0.7406 | bsr=nan | agg=0.16s | det_auroc=0.688 | tpr@5=0.00
round  16 | acc=0.7424 | bsr=nan | agg=0.15s | det_auroc=0.641 | tpr@5=0.00
round  17 | acc=0.7469 | bsr=nan | agg=0.17s | det_auroc=0.500 | tpr@5=0.00
round  18 | acc=0.7501 | bsr=nan | agg=0.14s | det_auroc=0.688 | tpr@5=0.00
round  19 | acc=0.7536 | bsr=nan | agg=0.17s | det_auroc=0.578 | tpr@5=0.00
round  20 | acc=0.7551 | bsr=nan | agg=0.14s | det_auroc=0.641 | tpr@5=0.00
round  21 | acc=0.7576 | bsr=nan | agg=0.14s | det_auroc=0.578 | tpr@5=0.00
round  22 | acc=0.7595 | bsr=nan | agg=0.17s | det_auroc=0.484 | tpr@5=0.00
round  23 | acc=0.7627 | bsr=nan | agg=0.16s | det_auroc=0.656 | tpr@5=0.00
round  24 | acc=0.7649 | bsr=nan | agg=0.16s | det_auroc=0.484 | tpr@5=0.00
round  25 | acc=0.7664 | bsr=nan | agg=0.15s | det_auroc=0.516 | tpr@5=0.00
round  26 | acc=0.7687 | bsr=nan | agg=0.15s | det_auroc=0.531 | tpr@5=0.00
round  27 | acc=0.7700 | bsr=nan | agg=0.13s | det_auroc=0.547 | tpr@5=0.00
round  28 | acc=0.7729 | bsr=nan | agg=0.15s | det_auroc=0.547 | tpr@5=0.00
round  29 | acc=0.7747 | bsr=nan | agg=0.15s | det_auroc=0.469 | tpr@5=0.00
round  30 | acc=0.7769 | bsr=nan | agg=0.16s | det_auroc=0.391 | tpr@5=0.00
round  31 | acc=0.7781 | bsr=nan | agg=0.15s | det_auroc=0.469 | tpr@5=0.00
round  32 | acc=0.7808 | bsr=nan | agg=0.16s | det_auroc=0.453 | tpr@5=0.00
round  33 | acc=0.7809 | bsr=nan | agg=0.15s | det_auroc=0.453 | tpr@5=0.00
round  34 | acc=0.7838 | bsr=nan | agg=0.16s | det_auroc=0.328 | tpr@5=0.00
round  35 | acc=0.7860 | bsr=nan | agg=0.15s | det_auroc=0.438 | tpr@5=0.00
round  36 | acc=0.7874 | bsr=nan | agg=0.15s | det_auroc=0.625 | tpr@5=0.00
round  37 | acc=0.7886 | bsr=nan | agg=0.15s | det_auroc=0.562 | tpr@5=0.00
round  38 | acc=0.7915 | bsr=nan | agg=0.14s | det_auroc=0.594 | tpr@5=0.00
round  39 | acc=0.7924 | bsr=nan | agg=0.16s | det_auroc=0.531 | tpr@5=0.00
round  40 | acc=0.7929 | bsr=nan | agg=0.15s | det_auroc=0.547 | tpr@5=0.00
round  41 | acc=0.7932 | bsr=nan | agg=0.16s | det_auroc=0.609 | tpr@5=0.00
round  42 | acc=0.7952 | bsr=nan | agg=0.15s | det_auroc=0.422 | tpr@5=0.00
round  43 | acc=0.7969 | bsr=nan | agg=0.15s | det_auroc=0.469 | tpr@5=0.00
round  44 | acc=0.8004 | bsr=nan | agg=0.15s | det_auroc=0.500 | tpr@5=0.00
round  45 | acc=0.8025 | bsr=nan | agg=0.15s | det_auroc=0.516 | tpr@5=0.00
round  46 | acc=0.8035 | bsr=nan | agg=0.16s | det_auroc=0.453 | tpr@5=0.00
round  47 | acc=0.8054 | bsr=nan | agg=0.15s | det_auroc=0.484 | tpr@5=0.00
round  48 | acc=0.8063 | bsr=nan | agg=0.15s | det_auroc=0.516 | tpr@5=0.00
round  49 | acc=0.8069 | bsr=nan | agg=0.17s | det_auroc=0.641 | tpr@5=0.00
