Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_transform.weight', 'vocab_projector.bias', 'vocab_layer_norm.weight', 'vocab_transform.bias', 'vocab_layer_norm.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=median attack=adaptive_ecf
round   1 | acc=0.5021 | bsr=0.997 | agg=0.26s
round   2 | acc=0.7234 | bsr=0.107 | agg=0.25s
round   3 | acc=0.7657 | bsr=0.267 | agg=0.28s
round   4 | acc=0.7388 | bsr=0.110 | agg=0.27s
round   5 | acc=0.7520 | bsr=0.415 | agg=0.27s
round   6 | acc=0.7446 | bsr=0.102 | agg=0.26s
round   7 | acc=0.7716 | bsr=0.344 | agg=0.26s
round   8 | acc=0.7860 | bsr=0.219 | agg=0.27s
round   9 | acc=0.7664 | bsr=0.130 | agg=0.27s
round  10 | acc=0.7899 | bsr=0.231 | agg=0.26s
round  11 | acc=0.7908 | bsr=0.234 | agg=0.27s
round  12 | acc=0.7895 | bsr=0.190 | agg=0.27s
round  13 | acc=0.7935 | bsr=0.214 | agg=0.26s
round  14 | acc=0.7931 | bsr=0.206 | agg=0.27s
round  15 | acc=0.7826 | bsr=0.144 | agg=0.28s
round  16 | acc=0.7955 | bsr=0.212 | agg=0.27s
round  17 | acc=0.7956 | bsr=0.271 | agg=0.27s
round  18 | acc=0.7948 | bsr=0.193 | agg=0.27s
round  19 | acc=0.7981 | bsr=0.223 | agg=0.27s
round  20 | acc=0.7962 | bsr=0.196 | agg=0.27s
round  21 | acc=0.7986 | bsr=0.221 | agg=0.26s
round  22 | acc=0.7909 | bsr=0.160 | agg=0.27s
round  23 | acc=0.7968 | bsr=0.283 | agg=0.27s
round  24 | acc=0.7989 | bsr=0.201 | agg=0.26s
round  25 | acc=0.8000 | bsr=0.254 | agg=0.27s
round  26 | acc=0.8004 | bsr=0.249 | agg=0.26s
round  27 | acc=0.7881 | bsr=0.147 | agg=0.27s
round  28 | acc=0.7920 | bsr=0.158 | agg=0.27s
round  29 | acc=0.8016 | bsr=0.224 | agg=0.26s
round  30 | acc=0.8004 | bsr=0.199 | agg=0.27s
