Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_transform.bias', 'vocab_projector.bias', 'vocab_transform.weight', 'vocab_layer_norm.weight', 'vocab_layer_norm.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.7299 | bsr=0.200 | agg=2.90s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.7416 | bsr=0.350 | agg=2.93s | det_auroc=0.625 | tpr@5=0.00
round   3 | acc=0.7083 | bsr=0.511 | agg=2.91s | det_auroc=0.609 | tpr@5=0.00
round   4 | acc=0.7363 | bsr=0.419 | agg=2.90s | det_auroc=0.500 | tpr@5=0.00
round   5 | acc=0.7461 | bsr=0.385 | agg=2.90s | det_auroc=0.484 | tpr@5=0.00
round   6 | acc=0.7590 | bsr=0.329 | agg=2.90s | det_auroc=0.453 | tpr@5=0.00
round   7 | acc=0.7716 | bsr=0.245 | agg=2.89s | det_auroc=0.547 | tpr@5=0.00
round   8 | acc=0.7749 | bsr=0.229 | agg=2.90s | det_auroc=0.453 | tpr@5=0.00
round   9 | acc=0.7728 | bsr=0.182 | agg=2.90s | det_auroc=0.500 | tpr@5=0.00
round  10 | acc=0.7705 | bsr=0.161 | agg=2.89s | det_auroc=0.500 | tpr@5=0.00
round  11 | acc=0.7679 | bsr=0.145 | agg=2.90s | det_auroc=0.500 | tpr@5=0.00
round  12 | acc=0.7664 | bsr=0.135 | agg=2.90s | det_auroc=0.500 | tpr@5=0.00
round  13 | acc=0.7649 | bsr=0.128 | agg=2.90s | det_auroc=0.469 | tpr@5=0.00
round  14 | acc=0.7713 | bsr=0.142 | agg=2.90s | det_auroc=0.500 | tpr@5=0.00
round  15 | acc=0.7762 | bsr=0.150 | agg=2.90s | det_auroc=0.500 | tpr@5=0.00
round  16 | acc=0.7686 | bsr=0.128 | agg=2.90s | det_auroc=0.531 | tpr@5=0.00
round  17 | acc=0.7716 | bsr=0.135 | agg=2.90s | det_auroc=0.453 | tpr@5=0.00
round  18 | acc=0.7703 | bsr=0.129 | agg=2.90s | det_auroc=0.484 | tpr@5=0.00
round  19 | acc=0.7709 | bsr=0.128 | agg=2.90s | det_auroc=0.516 | tpr@5=0.00
round  20 | acc=0.7696 | bsr=0.123 | agg=2.90s | det_auroc=0.484 | tpr@5=0.00
round  21 | acc=0.7712 | bsr=0.125 | agg=2.90s | det_auroc=0.484 | tpr@5=0.00
round  22 | acc=0.7678 | bsr=0.115 | agg=2.90s | det_auroc=0.500 | tpr@5=0.00
round  23 | acc=0.7758 | bsr=0.132 | agg=2.91s | det_auroc=0.484 | tpr@5=0.00
round  24 | acc=0.7719 | bsr=0.123 | agg=2.89s | det_auroc=0.547 | tpr@5=0.00
round  25 | acc=0.7782 | bsr=0.133 | agg=2.90s | det_auroc=0.469 | tpr@5=0.00
round  26 | acc=0.7803 | bsr=0.138 | agg=2.90s | det_auroc=0.484 | tpr@5=0.00
round  27 | acc=0.7780 | bsr=0.130 | agg=2.90s | det_auroc=0.531 | tpr@5=0.00
round  28 | acc=0.7740 | bsr=0.118 | agg=2.90s | det_auroc=0.484 | tpr@5=0.00
round  29 | acc=0.7722 | bsr=0.113 | agg=2.90s | det_auroc=0.484 | tpr@5=0.00
round  30 | acc=0.7774 | bsr=0.122 | agg=2.90s | det_auroc=0.469 | tpr@5=0.00
