Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_transform.weight', 'vocab_layer_norm.weight', 'vocab_projector.bias', 'vocab_layer_norm.bias', 'vocab_transform.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fedavg attack=backdoor
round   1 | acc=0.7570 | bsr=0.211 | agg=0.01s
round   2 | acc=0.7195 | bsr=0.080 | agg=0.01s
round   3 | acc=0.7574 | bsr=0.391 | agg=0.01s
round   4 | acc=0.5658 | bsr=0.004 | agg=0.01s
round   5 | acc=0.5000 | bsr=1.000 | agg=0.01s
round   6 | acc=0.5000 | bsr=0.000 | agg=0.01s
round   7 | acc=0.5000 | bsr=1.000 | agg=0.01s
round   8 | acc=0.5000 | bsr=0.000 | agg=0.01s
round   9 | acc=0.5000 | bsr=1.000 | agg=0.01s
round  10 | acc=0.5000 | bsr=0.000 | agg=0.01s
round  11 | acc=0.5000 | bsr=1.000 | agg=0.01s
round  12 | acc=0.5000 | bsr=0.000 | agg=0.01s
round  13 | acc=0.5000 | bsr=1.000 | agg=0.01s
round  14 | acc=0.5000 | bsr=0.000 | agg=0.01s
round  15 | acc=0.5000 | bsr=1.000 | agg=0.01s
round  16 | acc=0.5000 | bsr=0.000 | agg=0.01s
round  17 | acc=0.5000 | bsr=1.000 | agg=0.01s
round  18 | acc=0.5000 | bsr=0.000 | agg=0.01s
round  19 | acc=0.5000 | bsr=1.000 | agg=0.01s
round  20 | acc=0.5000 | bsr=0.000 | agg=0.01s
round  21 | acc=0.5000 | bsr=1.000 | agg=0.01s
round  22 | acc=0.5000 | bsr=0.000 | agg=0.01s
round  23 | acc=0.6404 | bsr=0.678 | agg=0.01s
round  24 | acc=0.5658 | bsr=0.006 | agg=0.01s
round  25 | acc=0.6988 | bsr=0.063 | agg=0.01s
round  26 | acc=0.7540 | bsr=0.122 | agg=0.01s
round  27 | acc=0.6292 | bsr=0.014 | agg=0.01s
round  28 | acc=0.6169 | bsr=0.789 | agg=0.01s
round  29 | acc=0.5000 | bsr=0.000 | agg=0.01s
round  30 | acc=0.5000 | bsr=1.000 | agg=0.01s
