Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_layer_norm.weight', 'vocab_transform.bias', 'vocab_transform.weight', 'vocab_projector.bias', 'vocab_layer_norm.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=median attack=constrained_backdoor
round   1 | acc=0.5003 | bsr=0.999 | agg=0.26s
round   2 | acc=0.7450 | bsr=0.156 | agg=0.25s
round   3 | acc=0.7607 | bsr=0.294 | agg=0.25s
round   4 | acc=0.7514 | bsr=0.138 | agg=0.27s
round   5 | acc=0.7594 | bsr=0.377 | agg=0.27s
round   6 | acc=0.7753 | bsr=0.182 | agg=0.27s
round   7 | acc=0.7806 | bsr=0.276 | agg=0.26s
round   8 | acc=0.7757 | bsr=0.331 | agg=0.27s
round   9 | acc=0.7647 | bsr=0.130 | agg=0.27s
round  10 | acc=0.7882 | bsr=0.208 | agg=0.27s
round  11 | acc=0.7898 | bsr=0.261 | agg=0.27s
round  12 | acc=0.7895 | bsr=0.273 | agg=0.28s
round  13 | acc=0.7912 | bsr=0.271 | agg=0.27s
round  14 | acc=0.7939 | bsr=0.255 | agg=0.27s
round  15 | acc=0.7858 | bsr=0.160 | agg=0.28s
round  16 | acc=0.7934 | bsr=0.200 | agg=0.28s
round  17 | acc=0.7916 | bsr=0.290 | agg=0.27s
round  18 | acc=0.7910 | bsr=0.304 | agg=0.27s
round  19 | acc=0.7960 | bsr=0.262 | agg=0.27s
round  20 | acc=0.7975 | bsr=0.239 | agg=0.27s
round  21 | acc=0.7927 | bsr=0.299 | agg=0.26s
round  22 | acc=0.7984 | bsr=0.233 | agg=0.27s
round  23 | acc=0.7985 | bsr=0.262 | agg=0.27s
round  24 | acc=0.7980 | bsr=0.266 | agg=0.27s
round  25 | acc=0.7818 | bsr=0.376 | agg=0.27s
round  26 | acc=0.7814 | bsr=0.378 | agg=0.27s
round  27 | acc=0.7988 | bsr=0.200 | agg=0.27s
round  28 | acc=0.7896 | bsr=0.153 | agg=0.27s
round  29 | acc=0.8019 | bsr=0.228 | agg=0.27s
round  30 | acc=0.7986 | bsr=0.284 | agg=0.27s
