Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_projector.bias', 'vocab_transform.bias', 'vocab_layer_norm.bias', 'vocab_transform.weight', 'vocab_layer_norm.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=gaussian
round   1 | acc=0.5000 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round   4 | acc=0.5004 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.5054 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round   6 | acc=0.5116 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round   7 | acc=0.5274 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round   8 | acc=0.5383 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round   9 | acc=0.5468 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round  10 | acc=0.5603 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round  11 | acc=0.5676 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.5867 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.6258 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.6234 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.6295 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round  16 | acc=0.6369 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.6415 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.6662 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  19 | acc=0.6720 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.6724 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round  21 | acc=0.6681 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  22 | acc=0.6579 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  23 | acc=0.6652 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  24 | acc=0.6720 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  25 | acc=0.6783 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  26 | acc=0.6868 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  27 | acc=0.7018 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  28 | acc=0.6948 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  29 | acc=0.7056 | bsr=nan | agg=2.84s | det_auroc=0.000 | tpr@5=0.00
round  30 | acc=0.7014 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
