Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_transform.bias', 'vocab_transform.weight', 'vocab_layer_norm.bias', 'vocab_projector.bias', 'vocab_layer_norm.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.5000 | bsr=nan | agg=2.88s | det_auroc=0.453 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=nan | agg=2.89s | det_auroc=0.734 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=nan | agg=2.88s | det_auroc=0.781 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=nan | agg=2.87s | det_auroc=0.750 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=nan | agg=2.86s | det_auroc=0.781 | tpr@5=0.00
round   6 | acc=0.5038 | bsr=nan | agg=2.86s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.5098 | bsr=nan | agg=2.87s | det_auroc=0.938 | tpr@5=0.75
round   8 | acc=0.5121 | bsr=nan | agg=2.85s | det_auroc=0.812 | tpr@5=0.00
round   9 | acc=0.5181 | bsr=nan | agg=2.85s | det_auroc=0.906 | tpr@5=0.50
round  10 | acc=0.5235 | bsr=nan | agg=2.86s | det_auroc=0.859 | tpr@5=0.00
round  11 | acc=0.5287 | bsr=nan | agg=2.85s | det_auroc=0.875 | tpr@5=0.00
round  12 | acc=0.5419 | bsr=nan | agg=2.85s | det_auroc=0.906 | tpr@5=0.25
round  13 | acc=0.5644 | bsr=nan | agg=2.85s | det_auroc=0.891 | tpr@5=0.25
round  14 | acc=0.5670 | bsr=nan | agg=2.85s | det_auroc=0.781 | tpr@5=0.00
round  15 | acc=0.5761 | bsr=nan | agg=2.85s | det_auroc=0.906 | tpr@5=0.50
round  16 | acc=0.5919 | bsr=nan | agg=2.85s | det_auroc=0.844 | tpr@5=0.25
round  17 | acc=0.5988 | bsr=nan | agg=2.84s | det_auroc=0.812 | tpr@5=0.25
round  18 | acc=0.6189 | bsr=nan | agg=2.84s | det_auroc=0.797 | tpr@5=0.25
round  19 | acc=0.6279 | bsr=nan | agg=2.84s | det_auroc=0.734 | tpr@5=0.25
round  20 | acc=0.6275 | bsr=nan | agg=2.84s | det_auroc=0.672 | tpr@5=0.25
round  21 | acc=0.6271 | bsr=nan | agg=2.84s | det_auroc=0.766 | tpr@5=0.00
round  22 | acc=0.6222 | bsr=nan | agg=2.85s | det_auroc=0.734 | tpr@5=0.00
round  23 | acc=0.6391 | bsr=nan | agg=2.85s | det_auroc=0.766 | tpr@5=0.25
round  24 | acc=0.6383 | bsr=nan | agg=2.84s | det_auroc=0.688 | tpr@5=0.25
round  25 | acc=0.6498 | bsr=nan | agg=2.84s | det_auroc=0.766 | tpr@5=0.00
round  26 | acc=0.6619 | bsr=nan | agg=2.84s | det_auroc=0.688 | tpr@5=0.25
round  27 | acc=0.6702 | bsr=nan | agg=2.84s | det_auroc=0.734 | tpr@5=0.00
round  28 | acc=0.6651 | bsr=nan | agg=2.84s | det_auroc=0.656 | tpr@5=0.00
round  29 | acc=0.6702 | bsr=nan | agg=2.85s | det_auroc=0.594 | tpr@5=0.00
round  30 | acc=0.6704 | bsr=nan | agg=2.85s | det_auroc=0.703 | tpr@5=0.00
