Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_transform.bias', 'vocab_projector.bias', 'vocab_layer_norm.bias', 'vocab_layer_norm.weight', 'vocab_transform.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fltrust attack=label_flip
round   1 | acc=0.5000 | bsr=nan | agg=0.06s | det_auroc=0.703 | tpr@5=0.00
round   2 | acc=0.6783 | bsr=nan | agg=0.04s | det_auroc=0.688 | tpr@5=0.00
round   3 | acc=0.6315 | bsr=nan | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round   4 | acc=0.6242 | bsr=nan | agg=0.04s | det_auroc=0.781 | tpr@5=0.00
round   5 | acc=0.7400 | bsr=nan | agg=0.04s | det_auroc=0.914 | tpr@5=0.00
round   6 | acc=0.6233 | bsr=nan | agg=0.04s | det_auroc=0.781 | tpr@5=0.00
round   7 | acc=0.7489 | bsr=nan | agg=0.04s | det_auroc=0.859 | tpr@5=0.00
round   8 | acc=0.7750 | bsr=nan | agg=0.04s | det_auroc=0.812 | tpr@5=0.00
round   9 | acc=0.7540 | bsr=nan | agg=0.04s | det_auroc=0.781 | tpr@5=0.00
round  10 | acc=0.6735 | bsr=nan | agg=0.04s | det_auroc=0.812 | tpr@5=0.00
round  11 | acc=0.7795 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round  12 | acc=0.7691 | bsr=nan | agg=0.04s | det_auroc=0.844 | tpr@5=0.00
round  13 | acc=0.7822 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round  14 | acc=0.6553 | bsr=nan | agg=0.04s | det_auroc=0.625 | tpr@5=0.00
round  15 | acc=0.7562 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  16 | acc=0.7876 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round  17 | acc=0.7694 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  18 | acc=0.7901 | bsr=nan | agg=0.04s | det_auroc=0.781 | tpr@5=0.00
round  19 | acc=0.7402 | bsr=nan | agg=0.04s | det_auroc=0.781 | tpr@5=0.00
round  20 | acc=0.7671 | bsr=nan | agg=0.04s | det_auroc=0.453 | tpr@5=0.00
round  21 | acc=0.7889 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round  22 | acc=0.7930 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.00
round  23 | acc=0.7470 | bsr=nan | agg=0.04s | det_auroc=0.781 | tpr@5=0.00
round  24 | acc=0.7096 | bsr=nan | agg=0.04s | det_auroc=0.406 | tpr@5=0.00
round  25 | acc=0.7930 | bsr=nan | agg=0.04s | det_auroc=0.578 | tpr@5=0.00
round  26 | acc=0.6651 | bsr=nan | agg=0.04s | det_auroc=0.789 | tpr@5=0.00
round  27 | acc=0.6454 | bsr=nan | agg=0.04s | det_auroc=0.078 | tpr@5=0.00
round  28 | acc=0.6759 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  29 | acc=0.7886 | bsr=nan | agg=0.04s | det_auroc=0.766 | tpr@5=0.00
round  30 | acc=0.7950 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
