Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_layer_norm.weight', 'vocab_transform.bias', 'vocab_layer_norm.bias', 'vocab_transform.weight', 'vocab_projector.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=median attack=label_flip
round   1 | acc=0.5000 | bsr=nan | agg=0.24s
round   2 | acc=0.5000 | bsr=nan | agg=0.24s
round   3 | acc=0.5000 | bsr=nan | agg=0.23s
round   4 | acc=0.5000 | bsr=nan | agg=0.25s
round   5 | acc=0.5032 | bsr=nan | agg=0.26s
round   6 | acc=0.5007 | bsr=nan | agg=0.24s
round   7 | acc=0.5016 | bsr=nan | agg=0.23s
round   8 | acc=0.5226 | bsr=nan | agg=0.26s
round   9 | acc=0.5067 | bsr=nan | agg=0.25s
round  10 | acc=0.5162 | bsr=nan | agg=0.24s
round  11 | acc=0.5288 | bsr=nan | agg=0.24s
round  12 | acc=0.5268 | bsr=nan | agg=0.26s
round  13 | acc=0.5348 | bsr=nan | agg=0.24s
round  14 | acc=0.5682 | bsr=nan | agg=0.25s
round  15 | acc=0.5991 | bsr=nan | agg=0.25s
round  16 | acc=0.5998 | bsr=nan | agg=0.25s
round  17 | acc=0.6097 | bsr=nan | agg=0.26s
round  18 | acc=0.6464 | bsr=nan | agg=0.25s
round  19 | acc=0.6255 | bsr=nan | agg=0.25s
round  20 | acc=0.6421 | bsr=nan | agg=0.25s
round  21 | acc=0.6532 | bsr=nan | agg=0.24s
round  22 | acc=0.6752 | bsr=nan | agg=0.24s
round  23 | acc=0.6680 | bsr=nan | agg=0.25s
round  24 | acc=0.6428 | bsr=nan | agg=0.25s
round  25 | acc=0.7025 | bsr=nan | agg=0.25s
round  26 | acc=0.6844 | bsr=nan | agg=0.25s
round  27 | acc=0.6951 | bsr=nan | agg=0.25s
round  28 | acc=0.6624 | bsr=nan | agg=0.25s
round  29 | acc=0.6788 | bsr=nan | agg=0.25s
round  30 | acc=0.7024 | bsr=nan | agg=0.25s
