Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_layer_norm.bias', 'vocab_transform.bias', 'vocab_transform.weight', 'vocab_layer_norm.weight', 'vocab_projector.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=trimmed_mean attack=label_flip
round   1 | acc=0.5000 | bsr=nan | agg=0.25s
round   2 | acc=0.7536 | bsr=nan | agg=0.25s
round   3 | acc=0.5000 | bsr=nan | agg=0.27s
round   4 | acc=0.7652 | bsr=nan | agg=0.25s
round   5 | acc=0.5000 | bsr=nan | agg=0.26s
round   6 | acc=0.7568 | bsr=nan | agg=0.25s
round   7 | acc=0.5032 | bsr=nan | agg=0.25s
round   8 | acc=0.6914 | bsr=nan | agg=0.25s
round   9 | acc=0.5110 | bsr=nan | agg=0.26s
round  10 | acc=0.6824 | bsr=nan | agg=0.25s
round  11 | acc=0.5240 | bsr=nan | agg=0.26s
round  12 | acc=0.7434 | bsr=nan | agg=0.26s
round  13 | acc=0.5255 | bsr=nan | agg=0.25s
round  14 | acc=0.7314 | bsr=nan | agg=0.25s
round  15 | acc=0.5356 | bsr=nan | agg=0.25s
round  16 | acc=0.7208 | bsr=nan | agg=0.26s
round  17 | acc=0.5559 | bsr=nan | agg=0.26s
round  18 | acc=0.7304 | bsr=nan | agg=0.26s
round  19 | acc=0.5490 | bsr=nan | agg=0.25s
round  20 | acc=0.7220 | bsr=nan | agg=0.26s
round  21 | acc=0.5945 | bsr=nan | agg=0.25s
round  22 | acc=0.7161 | bsr=nan | agg=0.26s
round  23 | acc=0.5921 | bsr=nan | agg=0.26s
round  24 | acc=0.7131 | bsr=nan | agg=0.25s
round  25 | acc=0.6114 | bsr=nan | agg=0.25s
round  26 | acc=0.7082 | bsr=nan | agg=0.25s
round  27 | acc=0.6175 | bsr=nan | agg=0.25s
round  28 | acc=0.7195 | bsr=nan | agg=0.25s
round  29 | acc=0.6042 | bsr=nan | agg=0.24s
round  30 | acc=0.7155 | bsr=nan | agg=0.25s
