Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_transform.bias', 'vocab_layer_norm.bias', 'vocab_projector.bias', 'vocab_transform.weight', 'vocab_layer_norm.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=lie
round   1 | acc=0.6012 | bsr=nan | agg=2.89s | det_auroc=0.250 | tpr@5=0.00
round   2 | acc=0.5932 | bsr=nan | agg=2.90s | det_auroc=0.125 | tpr@5=0.00
round   3 | acc=0.6199 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round   4 | acc=0.5674 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.5940 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round   6 | acc=0.5993 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round   7 | acc=0.6235 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round   8 | acc=0.6128 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round   9 | acc=0.6188 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  10 | acc=0.6191 | bsr=nan | agg=2.91s | det_auroc=0.000 | tpr@5=0.00
round  11 | acc=0.6174 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.6356 | bsr=nan | agg=2.91s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.6618 | bsr=nan | agg=2.92s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.6558 | bsr=nan | agg=2.91s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.6633 | bsr=nan | agg=2.91s | det_auroc=0.000 | tpr@5=0.00
round  16 | acc=0.6682 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.6658 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.6859 | bsr=nan | agg=2.91s | det_auroc=0.000 | tpr@5=0.00
round  19 | acc=0.6905 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.6889 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  21 | acc=0.6872 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  22 | acc=0.6779 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  23 | acc=0.6844 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  24 | acc=0.6916 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  25 | acc=0.6948 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  26 | acc=0.6996 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  27 | acc=0.7149 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  28 | acc=0.7113 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  29 | acc=0.7202 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
round  30 | acc=0.7159 | bsr=nan | agg=2.90s | det_auroc=0.000 | tpr@5=0.00
