Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_projector.bias', 'vocab_layer_norm.bias', 'vocab_transform.bias', 'vocab_layer_norm.weight', 'vocab_transform.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=lie
round   1 | acc=0.5019 | bsr=nan | agg=2.85s | det_auroc=0.188 | tpr@5=0.00
round   2 | acc=0.5087 | bsr=nan | agg=2.86s | det_auroc=0.188 | tpr@5=0.00
round   3 | acc=0.5146 | bsr=nan | agg=2.86s | det_auroc=0.250 | tpr@5=0.00
round   4 | acc=0.5310 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.5512 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round   6 | acc=0.5706 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round   7 | acc=0.5881 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round   8 | acc=0.5801 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round   9 | acc=0.5869 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  10 | acc=0.5973 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  11 | acc=0.5960 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.6106 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.6126 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.7188 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.6907 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  16 | acc=0.6731 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.6632 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.7485 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  19 | acc=0.7307 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.7132 | bsr=nan | agg=2.87s | det_auroc=0.000 | tpr@5=0.00
round  21 | acc=0.6969 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  22 | acc=0.7290 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  23 | acc=0.7134 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  24 | acc=0.7566 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  25 | acc=0.7474 | bsr=nan | agg=2.87s | det_auroc=0.000 | tpr@5=0.00
round  26 | acc=0.7383 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round  27 | acc=0.7261 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  28 | acc=0.7161 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
round  29 | acc=0.7180 | bsr=nan | agg=2.86s | det_auroc=0.000 | tpr@5=0.00
round  30 | acc=0.7197 | bsr=nan | agg=2.85s | det_auroc=0.000 | tpr@5=0.00
