Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_transform.weight', 'vocab_transform.bias', 'vocab_layer_norm.bias', 'vocab_layer_norm.weight', 'vocab_projector.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fedavg attack=lie
round   1 | acc=0.5421 | bsr=nan | agg=0.01s
round   2 | acc=0.7186 | bsr=nan | agg=0.01s
round   3 | acc=0.5079 | bsr=nan | agg=0.01s
round   4 | acc=0.5205 | bsr=nan | agg=0.01s
round   5 | acc=0.5004 | bsr=nan | agg=0.01s
round   6 | acc=0.5002 | bsr=nan | agg=0.01s
round   7 | acc=0.5000 | bsr=nan | agg=0.01s
round   8 | acc=0.5000 | bsr=nan | agg=0.01s
round   9 | acc=0.5000 | bsr=nan | agg=0.01s
round  10 | acc=0.5002 | bsr=nan | agg=0.01s
round  11 | acc=0.5000 | bsr=nan | agg=0.01s
round  12 | acc=0.5424 | bsr=nan | agg=0.01s
round  13 | acc=0.5000 | bsr=nan | agg=0.01s
round  14 | acc=0.5000 | bsr=nan | agg=0.01s
round  15 | acc=0.5000 | bsr=nan | agg=0.01s
round  16 | acc=0.5031 | bsr=nan | agg=0.01s
round  17 | acc=0.5000 | bsr=nan | agg=0.01s
round  18 | acc=0.5486 | bsr=nan | agg=0.01s
round  19 | acc=0.5000 | bsr=nan | agg=0.01s
round  20 | acc=0.5002 | bsr=nan | agg=0.01s
round  21 | acc=0.5000 | bsr=nan | agg=0.01s
round  22 | acc=0.5545 | bsr=nan | agg=0.01s
round  23 | acc=0.5000 | bsr=nan | agg=0.01s
round  24 | acc=0.5188 | bsr=nan | agg=0.01s
round  25 | acc=0.5000 | bsr=nan | agg=0.01s
round  26 | acc=0.5001 | bsr=nan | agg=0.01s
round  27 | acc=0.5000 | bsr=nan | agg=0.01s
round  28 | acc=0.5002 | bsr=nan | agg=0.01s
round  29 | acc=0.5000 | bsr=nan | agg=0.01s
round  30 | acc=0.5000 | bsr=nan | agg=0.01s
