Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_projector.bias', 'vocab_layer_norm.weight', 'vocab_transform.bias', 'vocab_layer_norm.bias', 'vocab_transform.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=multi_krum attack=lie
round   1 | acc=0.5000 | bsr=nan | agg=1.19s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.6064 | bsr=nan | agg=1.16s | det_auroc=0.875 | tpr@5=0.00
round   3 | acc=0.6838 | bsr=nan | agg=1.18s | det_auroc=0.812 | tpr@5=0.00
round   4 | acc=0.5658 | bsr=nan | agg=1.16s | det_auroc=0.812 | tpr@5=0.00
round   5 | acc=0.7462 | bsr=nan | agg=1.16s | det_auroc=0.812 | tpr@5=0.00
round   6 | acc=0.6673 | bsr=nan | agg=1.16s | det_auroc=0.812 | tpr@5=0.00
round   7 | acc=0.6662 | bsr=nan | agg=1.16s | det_auroc=0.812 | tpr@5=0.00
round   8 | acc=0.7511 | bsr=nan | agg=1.18s | det_auroc=0.812 | tpr@5=0.00
round   9 | acc=0.7386 | bsr=nan | agg=1.18s | det_auroc=0.812 | tpr@5=0.00
round  10 | acc=0.6399 | bsr=nan | agg=1.16s | det_auroc=0.812 | tpr@5=0.00
round  11 | acc=0.7648 | bsr=nan | agg=1.18s | det_auroc=0.875 | tpr@5=0.00
round  12 | acc=0.7015 | bsr=nan | agg=1.19s | det_auroc=0.812 | tpr@5=0.00
round  13 | acc=0.7511 | bsr=nan | agg=1.16s | det_auroc=0.812 | tpr@5=0.00
round  14 | acc=0.6670 | bsr=nan | agg=1.18s | det_auroc=0.875 | tpr@5=0.00
round  15 | acc=0.7516 | bsr=nan | agg=1.18s | det_auroc=0.812 | tpr@5=0.00
round  16 | acc=0.7368 | bsr=nan | agg=1.19s | det_auroc=0.812 | tpr@5=0.00
round  17 | acc=0.7017 | bsr=nan | agg=1.16s | det_auroc=0.875 | tpr@5=0.00
round  18 | acc=0.7570 | bsr=nan | agg=1.17s | det_auroc=0.875 | tpr@5=0.00
round  19 | acc=0.6908 | bsr=nan | agg=1.18s | det_auroc=0.812 | tpr@5=0.00
round  20 | acc=0.7620 | bsr=nan | agg=1.16s | det_auroc=0.812 | tpr@5=0.00
round  21 | acc=0.7695 | bsr=nan | agg=1.18s | det_auroc=0.812 | tpr@5=0.00
round  22 | acc=0.7685 | bsr=nan | agg=1.16s | det_auroc=0.812 | tpr@5=0.00
round  23 | acc=0.7497 | bsr=nan | agg=1.16s | det_auroc=0.812 | tpr@5=0.00
round  24 | acc=0.7023 | bsr=nan | agg=1.16s | det_auroc=0.875 | tpr@5=0.00
round  25 | acc=0.7682 | bsr=nan | agg=1.16s | det_auroc=0.750 | tpr@5=0.00
round  26 | acc=0.7775 | bsr=nan | agg=1.16s | det_auroc=0.812 | tpr@5=0.00
round  27 | acc=0.7400 | bsr=nan | agg=1.18s | det_auroc=0.812 | tpr@5=0.00
round  28 | acc=0.7396 | bsr=nan | agg=1.16s | det_auroc=0.875 | tpr@5=0.00
round  29 | acc=0.7264 | bsr=nan | agg=1.18s | det_auroc=0.812 | tpr@5=0.00
round  30 | acc=0.7408 | bsr=nan | agg=1.18s | det_auroc=0.812 | tpr@5=0.00
