Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_transform.weight', 'vocab_projector.bias', 'vocab_layer_norm.bias', 'vocab_layer_norm.weight', 'vocab_transform.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=min_max
round   1 | acc=0.5000 | bsr=nan | agg=2.84s | det_auroc=0.875 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=nan | agg=2.85s | det_auroc=0.750 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=nan | agg=2.85s | det_auroc=0.438 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=nan | agg=2.85s | det_auroc=0.500 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=nan | agg=2.86s | det_auroc=0.562 | tpr@5=0.00
round   6 | acc=0.5000 | bsr=nan | agg=2.85s | det_auroc=0.750 | tpr@5=0.00
round   7 | acc=0.5020 | bsr=nan | agg=2.86s | det_auroc=0.688 | tpr@5=0.00
round   8 | acc=0.5066 | bsr=nan | agg=2.85s | det_auroc=0.688 | tpr@5=0.00
round   9 | acc=0.5180 | bsr=nan | agg=2.86s | det_auroc=0.688 | tpr@5=0.00
round  10 | acc=0.5269 | bsr=nan | agg=2.86s | det_auroc=0.688 | tpr@5=0.00
round  11 | acc=0.5302 | bsr=nan | agg=2.86s | det_auroc=0.625 | tpr@5=0.00
round  12 | acc=0.5454 | bsr=nan | agg=2.84s | det_auroc=0.875 | tpr@5=0.00
round  13 | acc=0.5636 | bsr=nan | agg=2.86s | det_auroc=0.750 | tpr@5=0.00
round  14 | acc=0.5682 | bsr=nan | agg=2.85s | det_auroc=0.625 | tpr@5=0.00
round  15 | acc=0.5821 | bsr=nan | agg=2.85s | det_auroc=0.812 | tpr@5=0.00
round  16 | acc=0.5981 | bsr=nan | agg=2.85s | det_auroc=0.562 | tpr@5=0.00
round  17 | acc=0.6014 | bsr=nan | agg=2.85s | det_auroc=0.812 | tpr@5=0.00
round  18 | acc=0.6188 | bsr=nan | agg=2.84s | det_auroc=0.688 | tpr@5=0.00
round  19 | acc=0.6284 | bsr=nan | agg=2.84s | det_auroc=0.688 | tpr@5=0.00
round  20 | acc=0.6283 | bsr=nan | agg=2.85s | det_auroc=0.562 | tpr@5=0.00
round  21 | acc=0.6292 | bsr=nan | agg=2.84s | det_auroc=0.750 | tpr@5=0.00
round  22 | acc=0.6252 | bsr=nan | agg=2.85s | det_auroc=0.688 | tpr@5=0.00
round  23 | acc=0.6407 | bsr=nan | agg=2.84s | det_auroc=0.750 | tpr@5=0.00
round  24 | acc=0.6466 | bsr=nan | agg=2.84s | det_auroc=0.812 | tpr@5=0.00
round  25 | acc=0.6534 | bsr=nan | agg=2.84s | det_auroc=0.688 | tpr@5=0.00
round  26 | acc=0.6626 | bsr=nan | agg=2.85s | det_auroc=0.625 | tpr@5=0.00
round  27 | acc=0.6703 | bsr=nan | agg=2.84s | det_auroc=0.688 | tpr@5=0.00
round  28 | acc=0.6649 | bsr=nan | agg=2.85s | det_auroc=0.688 | tpr@5=0.00
round  29 | acc=0.6684 | bsr=nan | agg=2.86s | det_auroc=0.750 | tpr@5=0.00
round  30 | acc=0.6727 | bsr=nan | agg=2.85s | det_auroc=0.750 | tpr@5=0.00
