Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_layer_norm.weight', 'vocab_layer_norm.bias', 'vocab_transform.weight', 'vocab_transform.bias', 'vocab_projector.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=multi_krum attack=min_max
round   1 | acc=0.5188 | bsr=nan | agg=1.20s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.6693 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.5023 | bsr=nan | agg=1.19s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.5000 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.5000 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.5015 | bsr=nan | agg=1.20s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.5094 | bsr=nan | agg=1.20s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.5088 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.5000 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.5000 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.5000 | bsr=nan | agg=1.17s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.5002 | bsr=nan | agg=1.20s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.5000 | bsr=nan | agg=1.20s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.5000 | bsr=nan | agg=1.21s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.5000 | bsr=nan | agg=1.25s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.5020 | bsr=nan | agg=1.29s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.5000 | bsr=nan | agg=1.25s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.5000 | bsr=nan | agg=1.30s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.5000 | bsr=nan | agg=1.33s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.5001 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.5000 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.5556 | bsr=nan | agg=1.20s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.5006 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.5036 | bsr=nan | agg=1.20s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.5000 | bsr=nan | agg=1.20s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.5026 | bsr=nan | agg=1.20s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.5000 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.5188 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.5001 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.5005 | bsr=nan | agg=1.18s | det_auroc=1.000 | tpr@5=1.00
