Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_layer_norm.weight', 'vocab_layer_norm.bias', 'vocab_transform.weight', 'vocab_projector.bias', 'vocab_transform.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=multi_krum attack=sign_flip
round   1 | acc=0.5000 | bsr=nan | agg=1.17s | det_auroc=0.391 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=nan | agg=1.16s | det_auroc=0.547 | tpr@5=0.00
round   3 | acc=0.5133 | bsr=nan | agg=1.16s | det_auroc=0.594 | tpr@5=0.25
round   4 | acc=0.5004 | bsr=nan | agg=1.17s | det_auroc=0.484 | tpr@5=0.00
round   5 | acc=0.5673 | bsr=nan | agg=1.16s | det_auroc=0.625 | tpr@5=0.25
round   6 | acc=0.5256 | bsr=nan | agg=1.18s | det_auroc=0.516 | tpr@5=0.00
round   7 | acc=0.5820 | bsr=nan | agg=1.16s | det_auroc=0.625 | tpr@5=0.25
round   8 | acc=0.5691 | bsr=nan | agg=1.16s | det_auroc=0.531 | tpr@5=0.00
round   9 | acc=0.6533 | bsr=nan | agg=1.18s | det_auroc=0.609 | tpr@5=0.25
round  10 | acc=0.5965 | bsr=nan | agg=1.19s | det_auroc=0.484 | tpr@5=0.00
round  11 | acc=0.6169 | bsr=nan | agg=1.18s | det_auroc=0.594 | tpr@5=0.25
round  12 | acc=0.5997 | bsr=nan | agg=1.20s | det_auroc=0.578 | tpr@5=0.25
round  13 | acc=0.6264 | bsr=nan | agg=1.18s | det_auroc=0.609 | tpr@5=0.25
round  14 | acc=0.6176 | bsr=nan | agg=1.18s | det_auroc=0.594 | tpr@5=0.00
round  15 | acc=0.6477 | bsr=nan | agg=1.20s | det_auroc=0.625 | tpr@5=0.00
round  16 | acc=0.6102 | bsr=nan | agg=1.17s | det_auroc=0.547 | tpr@5=0.00
round  17 | acc=0.6364 | bsr=nan | agg=1.19s | det_auroc=0.656 | tpr@5=0.25
round  18 | acc=0.6204 | bsr=nan | agg=1.17s | det_auroc=0.578 | tpr@5=0.00
round  19 | acc=0.6505 | bsr=nan | agg=1.19s | det_auroc=0.625 | tpr@5=0.25
round  20 | acc=0.6135 | bsr=nan | agg=1.19s | det_auroc=0.594 | tpr@5=0.00
round  21 | acc=0.6445 | bsr=nan | agg=1.19s | det_auroc=0.672 | tpr@5=0.25
round  22 | acc=0.6193 | bsr=nan | agg=1.19s | det_auroc=0.609 | tpr@5=0.00
round  23 | acc=0.6460 | bsr=nan | agg=1.16s | det_auroc=0.656 | tpr@5=0.25
round  24 | acc=0.6710 | bsr=nan | agg=1.16s | det_auroc=0.672 | tpr@5=0.00
round  25 | acc=0.6633 | bsr=nan | agg=1.16s | det_auroc=0.609 | tpr@5=0.00
round  26 | acc=0.6418 | bsr=nan | agg=1.16s | det_auroc=0.594 | tpr@5=0.00
round  27 | acc=0.6290 | bsr=nan | agg=1.18s | det_auroc=0.625 | tpr@5=0.00
round  28 | acc=0.6432 | bsr=nan | agg=1.18s | det_auroc=0.672 | tpr@5=0.25
round  29 | acc=0.6385 | bsr=nan | agg=1.18s | det_auroc=0.656 | tpr@5=0.25
round  30 | acc=0.6422 | bsr=nan | agg=1.18s | det_auroc=0.641 | tpr@5=0.25
