Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_transform.weight', 'vocab_transform.bias', 'vocab_projector.bias', 'vocab_layer_norm.bias', 'vocab_layer_norm.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.7115 | bsr=nan | agg=3.45s | det_auroc=0.531 | tpr@5=0.00
round   2 | acc=0.7477 | bsr=nan | agg=3.49s | det_auroc=0.453 | tpr@5=0.00
round   3 | acc=0.7567 | bsr=nan | agg=3.47s | det_auroc=0.422 | tpr@5=0.00
round   4 | acc=0.7618 | bsr=nan | agg=2.85s | det_auroc=0.375 | tpr@5=0.00
round   5 | acc=0.7639 | bsr=nan | agg=3.50s | det_auroc=0.391 | tpr@5=0.00
round   6 | acc=0.7639 | bsr=nan | agg=3.48s | det_auroc=0.375 | tpr@5=0.00
round   7 | acc=0.7724 | bsr=nan | agg=3.45s | det_auroc=0.312 | tpr@5=0.00
round   8 | acc=0.7530 | bsr=nan | agg=3.50s | det_auroc=0.359 | tpr@5=0.00
round   9 | acc=0.7562 | bsr=nan | agg=3.45s | det_auroc=0.391 | tpr@5=0.00
round  10 | acc=0.7456 | bsr=nan | agg=3.16s | det_auroc=0.391 | tpr@5=0.00
round  11 | acc=0.7404 | bsr=nan | agg=3.10s | det_auroc=0.375 | tpr@5=0.00
round  12 | acc=0.7434 | bsr=nan | agg=3.49s | det_auroc=0.375 | tpr@5=0.00
round  13 | acc=0.7547 | bsr=nan | agg=3.01s | det_auroc=0.391 | tpr@5=0.00
round  14 | acc=0.7411 | bsr=nan | agg=3.48s | det_auroc=0.344 | tpr@5=0.00
round  15 | acc=0.7448 | bsr=nan | agg=2.97s | det_auroc=0.406 | tpr@5=0.00
round  16 | acc=0.7439 | bsr=nan | agg=3.47s | det_auroc=0.406 | tpr@5=0.00
round  17 | acc=0.7382 | bsr=nan | agg=3.21s | det_auroc=0.359 | tpr@5=0.00
round  18 | acc=0.7474 | bsr=nan | agg=3.18s | det_auroc=0.375 | tpr@5=0.00
round  19 | acc=0.7482 | bsr=nan | agg=3.42s | det_auroc=0.422 | tpr@5=0.00
round  20 | acc=0.7453 | bsr=nan | agg=3.14s | det_auroc=0.391 | tpr@5=0.00
round  21 | acc=0.7549 | bsr=nan | agg=3.01s | det_auroc=0.469 | tpr@5=0.00
round  22 | acc=0.7519 | bsr=nan | agg=3.17s | det_auroc=0.359 | tpr@5=0.00
round  23 | acc=0.7501 | bsr=nan | agg=3.31s | det_auroc=0.375 | tpr@5=0.00
round  24 | acc=0.7505 | bsr=nan | agg=3.47s | det_auroc=0.438 | tpr@5=0.00
round  25 | acc=0.7492 | bsr=nan | agg=3.39s | det_auroc=0.469 | tpr@5=0.00
round  26 | acc=0.7538 | bsr=nan | agg=3.47s | det_auroc=0.422 | tpr@5=0.00
round  27 | acc=0.7667 | bsr=nan | agg=3.12s | det_auroc=0.375 | tpr@5=0.00
round  28 | acc=0.7660 | bsr=nan | agg=3.47s | det_auroc=0.422 | tpr@5=0.00
round  29 | acc=0.7751 | bsr=nan | agg=3.45s | det_auroc=0.406 | tpr@5=0.00
round  30 | acc=0.7722 | bsr=nan | agg=3.49s | det_auroc=0.438 | tpr@5=0.00
