dataset,attack,defense,rounds,final_acc,final_bsr,peak_bsr,final_auroc,final_tpr,mean_agg_s,total_agg_s
imdb,adaptive_ecf,ecf_base,30,0.7788,0.1240,0.7410,0.4690,0.0000,2.8313,84.9400
imdb,adaptive_ecf,ecf_cand,30,0.7740,0.1200,0.1710,0.5000,0.0000,2.8747,86.2400
imdb,adaptive_ecf,fedavg,30,0.5000,1.0000,1.0000,nan,nan,0.0100,0.3000
imdb,adaptive_ecf,fltrust,30,0.7403,0.5100,1.0000,0.3120,0.0000,0.0403,1.2100
imdb,adaptive_ecf,median,30,0.8004,0.1990,0.9970,nan,nan,0.2670,8.0100
imdb,adaptive_ecf,multi_krum,30,0.7478,0.4970,0.8790,0.6090,0.0000,1.1807,35.4200
imdb,adaptive_ecf,trimmed_mean,30,0.7482,0.0820,1.0000,nan,nan,0.2683,8.0500
imdb,backdoor,ecf_base,30,0.7774,0.1220,0.5110,0.4690,0.0000,2.9007,87.0200
imdb,backdoor,ecf_cand,30,0.7743,0.1220,0.1690,0.4840,0.0000,2.8570,85.7100
imdb,backdoor,fedavg,30,0.5000,1.0000,1.0000,nan,nan,0.0100,0.3000
imdb,backdoor,fltrust,30,0.7123,0.5740,1.0000,0.3440,0.0000,0.0403,1.2100
imdb,backdoor,median,30,0.7986,0.2840,0.9990,nan,nan,0.2427,7.2800
imdb,backdoor,multi_krum,30,0.8006,0.1850,0.6940,0.3590,0.0000,1.1077,33.2300
imdb,backdoor,trimmed_mean,30,0.8005,0.2670,0.9990,nan,nan,0.2483,7.4500
imdb,constrained_backdoor,ecf_base,30,0.7774,0.1220,0.5110,0.4690,0.0000,2.8743,86.2300
imdb,constrained_backdoor,ecf_cand,30,0.7743,0.1220,0.1690,0.4840,0.0000,2.8317,84.9500
imdb,constrained_backdoor,fedavg,30,0.5000,1.0000,1.0000,nan,nan,0.0100,0.3000
imdb,constrained_backdoor,fltrust,30,0.7123,0.5740,1.0000,0.3440,0.0000,0.0427,1.2800
imdb,constrained_backdoor,median,30,0.7986,0.2840,0.9990,nan,nan,0.2687,8.0600
imdb,constrained_backdoor,multi_krum,30,0.8006,0.1850,0.6940,0.3590,0.0000,1.1920,35.7600
imdb,constrained_backdoor,trimmed_mean,30,0.8005,0.2670,0.9990,nan,nan,0.2723,8.1700
imdb,gaussian,ecf_base,30,0.7014,nan,nan,0.0000,0.0000,2.8443,85.3300
imdb,gaussian,ecf_cand,30,0.7174,nan,nan,0.0000,0.0000,2.8853,86.5600
imdb,gaussian,fedavg,30,0.6703,nan,nan,nan,nan,0.0100,0.3000
imdb,gaussian,fltrust,30,0.7914,nan,nan,0.6250,0.0000,0.0410,1.2300
imdb,gaussian,median,30,0.7808,nan,nan,nan,nan,0.2597,7.7900
imdb,gaussian,multi_krum,30,0.5005,nan,nan,1.0000,1.0000,1.1727,35.1800
imdb,gaussian,trimmed_mean,30,0.7929,nan,nan,nan,nan,0.2560,7.6800
imdb,label_flip,ecf_base,30,0.6704,nan,nan,0.7030,0.0000,2.8523,85.5700
imdb,label_flip,ecf_cand,30,0.6640,nan,nan,0.7340,0.0000,2.8997,86.9900
imdb,label_flip,fedavg,30,0.7504,nan,nan,nan,nan,0.0100,0.3000
imdb,label_flip,fltrust,30,0.7950,nan,nan,0.7500,0.0000,0.0407,1.2200
imdb,label_flip,median,30,0.7024,nan,nan,nan,nan,0.2473,7.4200
imdb,label_flip,multi_krum,30,0.6656,nan,nan,0.6880,0.0000,1.2130,36.3900
imdb,label_flip,trimmed_mean,30,0.7155,nan,nan,nan,nan,0.2537,7.6100
imdb,lie,ecf_base,30,0.7159,nan,nan,0.0000,0.0000,2.9017,87.0500
imdb,lie,ecf_cand,30,0.7197,nan,nan,0.0000,0.0000,2.8593,85.7800
imdb,lie,fedavg,30,0.5000,nan,nan,nan,nan,0.0100,0.3000
imdb,lie,fltrust,30,0.7878,nan,nan,0.5000,0.0000,0.0437,1.3100
imdb,lie,median,30,0.7645,nan,nan,nan,nan,0.2413,7.2400
imdb,lie,multi_krum,30,0.7408,nan,nan,0.8120,0.0000,1.1707,35.1200
imdb,lie,trimmed_mean,30,0.7913,nan,nan,nan,nan,0.2403,7.2100
imdb,min_max,ecf_base,30,0.6727,nan,nan,0.7500,0.0000,2.8493,85.4800
imdb,min_max,ecf_cand,30,0.6604,nan,nan,0.8750,0.0000,2.8733,86.2000
imdb,min_max,fedavg,30,0.5000,nan,nan,nan,nan,0.0100,0.3000
imdb,min_max,fltrust,30,0.7862,nan,nan,0.5000,0.0000,0.0413,1.2400
imdb,min_max,median,30,0.6008,nan,nan,nan,nan,0.2527,7.5800
imdb,min_max,multi_krum,30,0.5005,nan,nan,1.0000,1.0000,1.2043,36.1300
imdb,min_max,trimmed_mean,30,0.6865,nan,nan,nan,nan,0.2600,7.8000
imdb,sign_flip,ecf_base,30,0.6810,nan,nan,0.8590,0.0000,2.9037,87.1100
imdb,sign_flip,ecf_cand,30,0.6804,nan,nan,0.9060,0.0000,2.8560,85.6800
imdb,sign_flip,fedavg,30,0.7801,nan,nan,nan,nan,0.0100,0.3000
imdb,sign_flip,fltrust,30,0.7933,nan,nan,0.6880,0.0000,0.0420,1.2600
imdb,sign_flip,median,30,0.6322,nan,nan,nan,nan,0.2410,7.2300
imdb,sign_flip,multi_krum,30,0.6422,nan,nan,0.6410,0.2500,1.1760,35.2800
imdb,sign_flip,trimmed_mean,30,0.6923,nan,nan,nan,nan,0.2523,7.5700
imdb,spurious_feature,ecf_base,30,0.7722,nan,nan,0.4380,0.0000,3.3207,99.6200
