device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0648 | bsr=0.000 | agg=0.34s | det_auroc=0.889 | tpr@5=0.00
round   2 | acc=0.1093 | bsr=0.000 | agg=0.41s | det_auroc=0.806 | tpr@5=0.00
round   3 | acc=0.3191 | bsr=0.004 | agg=0.40s | det_auroc=0.917 | tpr@5=0.50
round   4 | acc=0.5109 | bsr=0.034 | agg=0.41s | det_auroc=0.917 | tpr@5=0.50
round   5 | acc=0.6269 | bsr=0.026 | agg=0.40s | det_auroc=nan | tpr@5=nan
round   6 | acc=0.6764 | bsr=0.023 | agg=0.41s | det_auroc=0.895 | tpr@5=0.00
round   7 | acc=0.6882 | bsr=0.026 | agg=0.39s | det_auroc=0.972 | tpr@5=0.50
round   8 | acc=0.6877 | bsr=0.026 | agg=0.40s | det_auroc=0.842 | tpr@5=0.00
round   9 | acc=0.6942 | bsr=0.028 | agg=0.40s | det_auroc=nan | tpr@5=nan
round  10 | acc=0.6917 | bsr=0.026 | agg=0.40s | det_auroc=nan | tpr@5=nan
round  11 | acc=0.7124 | bsr=0.026 | agg=0.40s | det_auroc=nan | tpr@5=nan
round  12 | acc=0.7144 | bsr=0.026 | agg=0.41s | det_auroc=nan | tpr@5=nan
round  13 | acc=0.7288 | bsr=0.027 | agg=0.40s | det_auroc=0.895 | tpr@5=0.00
round  14 | acc=0.7344 | bsr=0.026 | agg=0.41s | det_auroc=nan | tpr@5=nan
round  15 | acc=0.7359 | bsr=0.026 | agg=0.41s | det_auroc=nan | tpr@5=nan
round  16 | acc=0.7440 | bsr=0.026 | agg=0.41s | det_auroc=nan | tpr@5=nan
round  17 | acc=0.7472 | bsr=0.028 | agg=0.40s | det_auroc=0.895 | tpr@5=0.00
round  18 | acc=0.7502 | bsr=0.027 | agg=0.40s | det_auroc=nan | tpr@5=nan
round  19 | acc=0.7515 | bsr=0.029 | agg=0.48s | det_auroc=0.842 | tpr@5=0.00
