device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=adaptive_ecf
round   1 | acc=0.0665 | bsr=0.000 | agg=0.03s | det_auroc=0.889 | tpr@5=0.00
round   2 | acc=0.1195 | bsr=0.000 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.3230 | bsr=0.003 | agg=0.03s | det_auroc=0.972 | tpr@5=0.50
round   4 | acc=0.4415 | bsr=0.024 | agg=0.04s | det_auroc=0.972 | tpr@5=0.50
round   5 | acc=0.5796 | bsr=0.021 | agg=0.04s | det_auroc=nan | tpr@5=nan
round   6 | acc=0.6471 | bsr=0.019 | agg=0.03s | det_auroc=0.947 | tpr@5=0.00
round   7 | acc=0.6558 | bsr=0.023 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6726 | bsr=0.020 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6697 | bsr=0.020 | agg=0.04s | det_auroc=nan | tpr@5=nan
round  10 | acc=0.6892 | bsr=0.022 | agg=0.04s | det_auroc=nan | tpr@5=nan
round  11 | acc=0.6856 | bsr=0.022 | agg=0.04s | det_auroc=nan | tpr@5=nan
round  12 | acc=0.6956 | bsr=0.024 | agg=0.04s | det_auroc=nan | tpr@5=nan
round  13 | acc=0.7078 | bsr=0.024 | agg=0.03s | det_auroc=0.974 | tpr@5=0.00
round  14 | acc=0.7137 | bsr=0.025 | agg=0.03s | det_auroc=nan | tpr@5=nan
round  15 | acc=0.7257 | bsr=0.026 | agg=0.04s | det_auroc=nan | tpr@5=nan
round  16 | acc=0.7339 | bsr=0.026 | agg=0.04s | det_auroc=nan | tpr@5=nan
round  17 | acc=0.7383 | bsr=0.026 | agg=0.03s | det_auroc=0.947 | tpr@5=0.00
round  18 | acc=0.7432 | bsr=0.027 | agg=0.04s | det_auroc=nan | tpr@5=nan
round  19 | acc=0.7434 | bsr=0.029 | agg=0.04s | det_auroc=0.842 | tpr@5=0.00
round  20 | acc=0.7467 | bsr=0.027 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7496 | bsr=0.028 | agg=0.03s | det_auroc=0.947 | tpr@5=0.00
round  22 | acc=0.7540 | bsr=0.027 | agg=0.03s | det_auroc=0.974 | tpr@5=0.00
