device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=adaptive_ecf
round   1 | acc=0.5092 | bsr=0.017 | agg=0.83s | det_auroc=0.694 | tpr@5=0.00
round   2 | acc=0.6453 | bsr=0.027 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.6646 | bsr=0.014 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7018 | bsr=0.040 | agg=0.85s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7362 | bsr=0.026 | agg=0.84s | det_auroc=nan | tpr@5=nan
round   6 | acc=0.7527 | bsr=0.022 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7651 | bsr=0.024 | agg=0.83s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7750 | bsr=0.022 | agg=0.84s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7736 | bsr=0.019 | agg=0.85s | det_auroc=nan | tpr@5=nan
round  10 | acc=0.7871 | bsr=0.016 | agg=0.83s | det_auroc=nan | tpr@5=nan
round  11 | acc=0.7957 | bsr=0.018 | agg=0.82s | det_auroc=nan | tpr@5=nan
round  12 | acc=0.8041 | bsr=0.019 | agg=0.82s | det_auroc=nan | tpr@5=nan
round  13 | acc=0.8019 | bsr=0.024 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8158 | bsr=0.016 | agg=0.82s | det_auroc=nan | tpr@5=nan
round  15 | acc=0.8207 | bsr=0.011 | agg=0.81s | det_auroc=nan | tpr@5=nan
round  16 | acc=0.8216 | bsr=0.023 | agg=0.81s | det_auroc=nan | tpr@5=nan
round  17 | acc=0.8297 | bsr=0.018 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8358 | bsr=0.017 | agg=0.81s | det_auroc=nan | tpr@5=nan
round  19 | acc=0.8380 | bsr=0.016 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8432 | bsr=0.012 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8424 | bsr=0.019 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8487 | bsr=0.019 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8444 | bsr=0.010 | agg=0.82s | det_auroc=0.972 | tpr@5=0.50
round  24 | acc=0.8529 | bsr=0.018 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8532 | bsr=0.012 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8563 | bsr=0.015 | agg=0.80s | det_auroc=nan | tpr@5=nan
round  27 | acc=0.8587 | bsr=0.014 | agg=0.83s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8597 | bsr=0.010 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8449 | bsr=0.007 | agg=0.80s | det_auroc=0.947 | tpr@5=0.00
round  30 | acc=0.8622 | bsr=0.015 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8609 | bsr=0.014 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8633 | bsr=0.012 | agg=0.82s | det_auroc=nan | tpr@5=nan
round  33 | acc=0.8647 | bsr=0.012 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8649 | bsr=0.011 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8676 | bsr=0.012 | agg=0.87s | det_auroc=0.895 | tpr@5=0.00
round  36 | acc=0.8687 | bsr=0.011 | agg=0.82s | det_auroc=nan | tpr@5=nan
round  37 | acc=0.8685 | bsr=0.012 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.8700 | bsr=0.013 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.8705 | bsr=0.010 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.8707 | bsr=0.011 | agg=0.81s | det_auroc=0.947 | tpr@5=0.00
round  41 | acc=0.8704 | bsr=0.014 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.8687 | bsr=0.011 | agg=0.80s | det_auroc=nan | tpr@5=nan
round  43 | acc=0.8753 | bsr=0.014 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.8730 | bsr=0.011 | agg=0.80s | det_auroc=nan | tpr@5=nan
round  45 | acc=0.8765 | bsr=0.012 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.8754 | bsr=0.012 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.8742 | bsr=0.012 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.8753 | bsr=0.012 | agg=0.79s | det_auroc=nan | tpr@5=nan
round  49 | acc=0.8792 | bsr=0.014 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.8774 | bsr=0.010 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.8768 | bsr=0.011 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.8789 | bsr=0.012 | agg=0.79s | det_auroc=nan | tpr@5=nan
round  53 | acc=0.8790 | bsr=0.011 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.8806 | bsr=0.012 | agg=0.80s | det_auroc=0.980 | tpr@5=0.67
round  55 | acc=0.8773 | bsr=0.009 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.8814 | bsr=0.011 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.8811 | bsr=0.014 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.8818 | bsr=0.009 | agg=0.80s | det_auroc=nan | tpr@5=nan
round  59 | acc=0.8831 | bsr=0.010 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.8829 | bsr=0.011 | agg=0.79s | det_auroc=0.972 | tpr@5=0.50
