device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0635 | bsr=0.000 | agg=0.16s | det_auroc=0.889 | tpr@5=0.00
round   2 | acc=0.1102 | bsr=0.000 | agg=0.16s | det_auroc=0.778 | tpr@5=0.00
round   3 | acc=0.3482 | bsr=0.012 | agg=0.16s | det_auroc=0.917 | tpr@5=0.50
round   4 | acc=0.4957 | bsr=0.055 | agg=0.16s | det_auroc=0.944 | tpr@5=0.50
round   5 | acc=0.6157 | bsr=0.034 | agg=0.16s | det_auroc=nan | tpr@5=nan
round   6 | acc=0.6754 | bsr=0.035 | agg=0.16s | det_auroc=0.895 | tpr@5=0.00
round   7 | acc=0.6933 | bsr=0.034 | agg=0.16s | det_auroc=0.972 | tpr@5=0.50
round   8 | acc=0.6899 | bsr=0.029 | agg=0.16s | det_auroc=0.895 | tpr@5=0.00
round   9 | acc=0.6962 | bsr=0.029 | agg=0.17s | det_auroc=nan | tpr@5=nan
round  10 | acc=0.7006 | bsr=0.027 | agg=0.16s | det_auroc=nan | tpr@5=nan
round  11 | acc=0.7083 | bsr=0.029 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  12 | acc=0.7166 | bsr=0.026 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  13 | acc=0.7278 | bsr=0.026 | agg=0.16s | det_auroc=0.895 | tpr@5=0.00
round  14 | acc=0.7350 | bsr=0.027 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  15 | acc=0.7365 | bsr=0.027 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  16 | acc=0.7442 | bsr=0.027 | agg=0.16s | det_auroc=nan | tpr@5=nan
round  17 | acc=0.7472 | bsr=0.028 | agg=0.15s | det_auroc=0.895 | tpr@5=0.00
round  18 | acc=0.7506 | bsr=0.028 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  19 | acc=0.7513 | bsr=0.029 | agg=0.15s | det_auroc=0.789 | tpr@5=0.00
round  20 | acc=0.7543 | bsr=0.030 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7554 | bsr=0.031 | agg=0.17s | det_auroc=0.842 | tpr@5=0.00
round  22 | acc=0.7581 | bsr=0.031 | agg=0.16s | det_auroc=0.947 | tpr@5=0.00
round  23 | acc=0.7605 | bsr=0.031 | agg=0.16s | det_auroc=0.889 | tpr@5=0.00
round  24 | acc=0.7628 | bsr=0.032 | agg=0.15s | det_auroc=0.861 | tpr@5=0.50
round  25 | acc=0.7644 | bsr=0.032 | agg=0.14s | det_auroc=0.972 | tpr@5=0.50
round  26 | acc=0.7663 | bsr=0.032 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  27 | acc=0.7689 | bsr=0.031 | agg=0.17s | det_auroc=0.895 | tpr@5=0.00
round  28 | acc=0.7695 | bsr=0.031 | agg=0.16s | det_auroc=0.789 | tpr@5=0.00
round  29 | acc=0.7718 | bsr=0.031 | agg=0.15s | det_auroc=0.842 | tpr@5=0.00
round  30 | acc=0.7727 | bsr=0.032 | agg=0.16s | det_auroc=0.667 | tpr@5=0.00
round  31 | acc=0.7762 | bsr=0.033 | agg=0.14s | det_auroc=0.895 | tpr@5=0.00
round  32 | acc=0.7776 | bsr=0.032 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  33 | acc=0.7789 | bsr=0.033 | agg=0.14s | det_auroc=0.765 | tpr@5=0.00
round  34 | acc=0.7796 | bsr=0.036 | agg=0.15s | det_auroc=0.737 | tpr@5=0.00
round  35 | acc=0.7810 | bsr=0.035 | agg=0.14s | det_auroc=0.947 | tpr@5=0.00
round  36 | acc=0.7827 | bsr=0.035 | agg=0.16s | det_auroc=nan | tpr@5=nan
round  37 | acc=0.7850 | bsr=0.035 | agg=0.15s | det_auroc=0.947 | tpr@5=0.00
round  38 | acc=0.7857 | bsr=0.032 | agg=0.15s | det_auroc=0.947 | tpr@5=0.00
round  39 | acc=0.7882 | bsr=0.033 | agg=0.15s | det_auroc=0.611 | tpr@5=0.00
round  40 | acc=0.7891 | bsr=0.032 | agg=0.16s | det_auroc=0.895 | tpr@5=0.00
round  41 | acc=0.7905 | bsr=0.031 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.7931 | bsr=0.029 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  43 | acc=0.7944 | bsr=0.030 | agg=0.16s | det_auroc=0.842 | tpr@5=0.00
round  44 | acc=0.7959 | bsr=0.030 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  45 | acc=0.7989 | bsr=0.029 | agg=0.14s | det_auroc=0.842 | tpr@5=0.00
round  46 | acc=0.8006 | bsr=0.029 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.8019 | bsr=0.029 | agg=0.13s | det_auroc=0.842 | tpr@5=0.00
round  48 | acc=0.8040 | bsr=0.026 | agg=0.16s | det_auroc=nan | tpr@5=nan
round  49 | acc=0.8058 | bsr=0.028 | agg=0.17s | det_auroc=0.833 | tpr@5=0.00
round  50 | acc=0.8068 | bsr=0.030 | agg=0.15s | det_auroc=0.632 | tpr@5=0.00
round  51 | acc=0.8058 | bsr=0.030 | agg=0.16s | det_auroc=0.947 | tpr@5=0.00
round  52 | acc=0.8081 | bsr=0.028 | agg=0.16s | det_auroc=nan | tpr@5=nan
round  53 | acc=0.8100 | bsr=0.028 | agg=0.17s | det_auroc=0.895 | tpr@5=0.00
round  54 | acc=0.8122 | bsr=0.031 | agg=0.15s | det_auroc=0.745 | tpr@5=0.00
round  55 | acc=0.8137 | bsr=0.030 | agg=0.15s | det_auroc=0.789 | tpr@5=0.00
round  56 | acc=0.8138 | bsr=0.029 | agg=0.16s | det_auroc=0.947 | tpr@5=0.00
round  57 | acc=0.8152 | bsr=0.030 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.8163 | bsr=0.029 | agg=0.16s | det_auroc=nan | tpr@5=nan
round  59 | acc=0.8181 | bsr=0.029 | agg=0.14s | det_auroc=0.895 | tpr@5=0.00
round  60 | acc=0.8185 | bsr=0.030 | agg=0.15s | det_auroc=0.778 | tpr@5=0.00
