device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0635 | bsr=0.000 | agg=0.17s | det_auroc=0.889 | tpr@5=0.00
round   2 | acc=0.1114 | bsr=0.000 | agg=0.15s | det_auroc=0.806 | tpr@5=0.00
round   3 | acc=0.3500 | bsr=0.013 | agg=0.16s | det_auroc=0.917 | tpr@5=0.50
round   4 | acc=0.4951 | bsr=0.056 | agg=0.15s | det_auroc=0.944 | tpr@5=0.50
round   5 | acc=0.6184 | bsr=0.035 | agg=0.17s | det_auroc=nan | tpr@5=nan
round   6 | acc=0.6761 | bsr=0.036 | agg=0.14s | det_auroc=0.895 | tpr@5=0.00
round   7 | acc=0.6935 | bsr=0.035 | agg=0.16s | det_auroc=0.972 | tpr@5=0.50
round   8 | acc=0.6897 | bsr=0.030 | agg=0.19s | det_auroc=0.895 | tpr@5=0.00
round   9 | acc=0.6961 | bsr=0.029 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  10 | acc=0.6998 | bsr=0.027 | agg=0.14s | det_auroc=nan | tpr@5=nan
round  11 | acc=0.7069 | bsr=0.028 | agg=0.14s | det_auroc=nan | tpr@5=nan
round  12 | acc=0.7114 | bsr=0.026 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  13 | acc=0.7234 | bsr=0.029 | agg=0.16s | det_auroc=0.895 | tpr@5=0.00
round  14 | acc=0.7323 | bsr=0.027 | agg=0.16s | det_auroc=nan | tpr@5=nan
round  15 | acc=0.7391 | bsr=0.028 | agg=0.16s | det_auroc=nan | tpr@5=nan
round  16 | acc=0.7447 | bsr=0.027 | agg=0.16s | det_auroc=nan | tpr@5=nan
round  17 | acc=0.7485 | bsr=0.028 | agg=0.16s | det_auroc=0.895 | tpr@5=0.00
round  18 | acc=0.7514 | bsr=0.029 | agg=0.16s | det_auroc=nan | tpr@5=nan
round  19 | acc=0.7515 | bsr=0.030 | agg=0.15s | det_auroc=0.842 | tpr@5=0.00
round  20 | acc=0.7546 | bsr=0.030 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7559 | bsr=0.031 | agg=0.13s | det_auroc=0.842 | tpr@5=0.00
round  22 | acc=0.7591 | bsr=0.032 | agg=0.16s | det_auroc=0.895 | tpr@5=0.00
round  23 | acc=0.7585 | bsr=0.031 | agg=0.16s | det_auroc=0.889 | tpr@5=0.50
round  24 | acc=0.7636 | bsr=0.033 | agg=0.15s | det_auroc=0.778 | tpr@5=0.50
round  25 | acc=0.7631 | bsr=0.032 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.7662 | bsr=0.031 | agg=0.17s | det_auroc=nan | tpr@5=nan
round  27 | acc=0.7697 | bsr=0.030 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.7715 | bsr=0.029 | agg=0.16s | det_auroc=0.947 | tpr@5=0.00
round  29 | acc=0.7729 | bsr=0.029 | agg=0.15s | det_auroc=0.737 | tpr@5=0.00
round  30 | acc=0.7740 | bsr=0.029 | agg=0.14s | det_auroc=0.806 | tpr@5=0.00
round  31 | acc=0.7752 | bsr=0.032 | agg=0.16s | det_auroc=0.842 | tpr@5=0.00
round  32 | acc=0.7773 | bsr=0.031 | agg=0.15s | det_auroc=nan | tpr@5=nan
round  33 | acc=0.7788 | bsr=0.032 | agg=0.14s | det_auroc=0.745 | tpr@5=0.00
round  34 | acc=0.7805 | bsr=0.033 | agg=0.16s | det_auroc=0.789 | tpr@5=0.00
round  35 | acc=0.7811 | bsr=0.033 | agg=0.16s | det_auroc=0.947 | tpr@5=0.00
round  36 | acc=0.7835 | bsr=0.032 | agg=0.14s | det_auroc=nan | tpr@5=nan
round  37 | acc=0.7851 | bsr=0.033 | agg=0.15s | det_auroc=0.947 | tpr@5=0.00
round  38 | acc=0.7855 | bsr=0.031 | agg=0.15s | det_auroc=0.947 | tpr@5=0.00
