device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0635 | bsr=0.000 | agg=0.13s | det_auroc=0.902 | tpr@5=0.00
round   2 | acc=0.1120 | bsr=0.000 | agg=0.11s | det_auroc=0.859 | tpr@5=0.25
round   3 | acc=0.3374 | bsr=0.019 | agg=0.13s | det_auroc=0.922 | tpr@5=0.33
round   4 | acc=0.4956 | bsr=0.066 | agg=0.12s | det_auroc=0.961 | tpr@5=0.67
round   5 | acc=0.6205 | bsr=0.054 | agg=0.12s | det_auroc=0.944 | tpr@5=0.50
round   6 | acc=0.6823 | bsr=0.042 | agg=0.13s | det_auroc=0.980 | tpr@5=0.67
round   7 | acc=0.6925 | bsr=0.037 | agg=0.12s | det_auroc=0.972 | tpr@5=0.50
round   8 | acc=0.6837 | bsr=0.035 | agg=0.12s | det_auroc=0.824 | tpr@5=0.00
round   9 | acc=0.6923 | bsr=0.037 | agg=0.13s | det_auroc=0.806 | tpr@5=0.00
round  10 | acc=0.6963 | bsr=0.037 | agg=0.12s | det_auroc=0.833 | tpr@5=0.50
round  11 | acc=0.7029 | bsr=0.047 | agg=0.12s | det_auroc=0.722 | tpr@5=0.00
round  12 | acc=0.7068 | bsr=0.039 | agg=0.12s | det_auroc=0.972 | tpr@5=0.50
round  13 | acc=0.7225 | bsr=0.040 | agg=0.11s | det_auroc=0.861 | tpr@5=0.00
round  14 | acc=0.7280 | bsr=0.039 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7329 | bsr=0.040 | agg=0.12s | det_auroc=0.889 | tpr@5=0.50
round  16 | acc=0.7405 | bsr=0.037 | agg=0.12s | det_auroc=0.947 | tpr@5=0.00
round  17 | acc=0.7410 | bsr=0.039 | agg=0.12s | det_auroc=0.882 | tpr@5=0.33
round  18 | acc=0.7455 | bsr=0.039 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7474 | bsr=0.042 | agg=0.12s | det_auroc=0.882 | tpr@5=0.00
