device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=backdoor
round   1 | acc=0.0662 | bsr=0.000 | agg=0.05s | det_auroc=0.961 | tpr@5=0.33
round   2 | acc=0.1130 | bsr=0.000 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.3288 | bsr=0.011 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4391 | bsr=0.059 | agg=0.04s | det_auroc=0.980 | tpr@5=0.67
round   5 | acc=0.5772 | bsr=0.050 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.6461 | bsr=0.051 | agg=0.04s | det_auroc=0.980 | tpr@5=0.67
round   7 | acc=0.6585 | bsr=0.036 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6734 | bsr=0.029 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6780 | bsr=0.030 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6854 | bsr=0.029 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6829 | bsr=0.028 | agg=0.04s | det_auroc=0.972 | tpr@5=0.50
round  12 | acc=0.6935 | bsr=0.029 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7085 | bsr=0.028 | agg=0.04s | det_auroc=0.972 | tpr@5=0.00
round  14 | acc=0.7139 | bsr=0.029 | agg=0.04s | det_auroc=0.974 | tpr@5=0.00
round  15 | acc=0.7254 | bsr=0.029 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7339 | bsr=0.028 | agg=0.04s | det_auroc=0.974 | tpr@5=0.00
round  17 | acc=0.7368 | bsr=0.028 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.7414 | bsr=0.028 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7430 | bsr=0.030 | agg=0.04s | det_auroc=0.980 | tpr@5=0.67
round  20 | acc=0.7453 | bsr=0.029 | agg=0.04s | det_auroc=0.980 | tpr@5=0.67
round  21 | acc=0.7487 | bsr=0.030 | agg=0.04s | det_auroc=0.971 | tpr@5=0.00
round  22 | acc=0.7540 | bsr=0.028 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.7533 | bsr=0.030 | agg=0.04s | det_auroc=0.922 | tpr@5=0.00
round  24 | acc=0.7550 | bsr=0.027 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7570 | bsr=0.027 | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  26 | acc=0.7604 | bsr=0.026 | agg=0.04s | det_auroc=0.921 | tpr@5=0.00
round  27 | acc=0.7511 | bsr=0.029 | agg=0.04s | det_auroc=0.889 | tpr@5=0.00
round  28 | acc=0.7567 | bsr=0.027 | agg=0.04s | det_auroc=0.922 | tpr@5=0.00
round  29 | acc=0.7586 | bsr=0.026 | agg=0.04s | det_auroc=0.972 | tpr@5=0.00
round  30 | acc=0.7576 | bsr=0.026 | agg=0.04s | det_auroc=0.941 | tpr@5=0.00
