device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0631 | bsr=0.000 | agg=0.51s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.1093 | bsr=0.000 | agg=0.48s | det_auroc=0.859 | tpr@5=0.00
round   3 | acc=0.3248 | bsr=0.035 | agg=0.50s | det_auroc=0.891 | tpr@5=0.25
round   4 | acc=0.4955 | bsr=0.124 | agg=0.48s | det_auroc=0.906 | tpr@5=0.50
round   5 | acc=0.6047 | bsr=0.128 | agg=0.48s | det_auroc=0.922 | tpr@5=0.50
round   6 | acc=0.6765 | bsr=0.096 | agg=0.44s | det_auroc=0.969 | tpr@5=0.50
round   7 | acc=0.6891 | bsr=0.080 | agg=0.48s | det_auroc=0.953 | tpr@5=0.50
round   8 | acc=0.6871 | bsr=0.073 | agg=0.44s | det_auroc=0.859 | tpr@5=0.25
round   9 | acc=0.6816 | bsr=0.077 | agg=0.48s | det_auroc=0.875 | tpr@5=0.00
round  10 | acc=0.6840 | bsr=0.068 | agg=0.51s | det_auroc=0.844 | tpr@5=0.00
round  11 | acc=0.6804 | bsr=0.052 | agg=0.52s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6928 | bsr=0.047 | agg=0.44s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7051 | bsr=0.043 | agg=0.46s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7151 | bsr=0.041 | agg=0.47s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7187 | bsr=0.039 | agg=0.50s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7216 | bsr=0.044 | agg=0.48s | det_auroc=0.844 | tpr@5=0.00
round  17 | acc=0.7286 | bsr=0.048 | agg=0.46s | det_auroc=0.844 | tpr@5=0.00
round  18 | acc=0.7267 | bsr=0.050 | agg=0.47s | det_auroc=0.844 | tpr@5=0.25
round  19 | acc=0.7318 | bsr=0.051 | agg=0.47s | det_auroc=0.906 | tpr@5=0.25
round  20 | acc=0.7349 | bsr=0.054 | agg=0.48s | det_auroc=0.844 | tpr@5=0.00
round  21 | acc=0.7392 | bsr=0.052 | agg=0.47s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.7407 | bsr=0.049 | agg=0.49s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.7435 | bsr=0.045 | agg=0.50s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7467 | bsr=0.044 | agg=0.48s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7493 | bsr=0.043 | agg=0.38s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.7485 | bsr=0.045 | agg=0.47s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.7502 | bsr=0.043 | agg=0.53s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.7549 | bsr=0.040 | agg=0.45s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.7545 | bsr=0.042 | agg=0.46s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.7587 | bsr=0.037 | agg=0.47s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.7622 | bsr=0.038 | agg=0.49s | det_auroc=0.969 | tpr@5=0.50
round  32 | acc=0.7649 | bsr=0.038 | agg=0.47s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.7706 | bsr=0.041 | agg=0.47s | det_auroc=0.969 | tpr@5=0.50
round  34 | acc=0.7751 | bsr=0.045 | agg=0.50s | det_auroc=0.938 | tpr@5=0.00
round  35 | acc=0.7769 | bsr=0.043 | agg=0.46s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.7810 | bsr=0.043 | agg=0.47s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.7801 | bsr=0.042 | agg=0.46s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.7795 | bsr=0.041 | agg=0.44s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.7806 | bsr=0.042 | agg=0.46s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.7844 | bsr=0.041 | agg=0.51s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.7854 | bsr=0.038 | agg=0.51s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.7849 | bsr=0.041 | agg=0.46s | det_auroc=0.984 | tpr@5=0.75
round  43 | acc=0.7874 | bsr=0.041 | agg=0.47s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.7898 | bsr=0.041 | agg=0.50s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.7924 | bsr=0.042 | agg=0.48s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.7946 | bsr=0.041 | agg=0.48s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.7963 | bsr=0.044 | agg=0.43s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.7970 | bsr=0.042 | agg=0.49s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.7969 | bsr=0.041 | agg=0.44s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.7983 | bsr=0.040 | agg=0.47s | det_auroc=1.000 | tpr@5=1.00
