dataset,attack,defense,rounds,final_acc,final_bsr,peak_bsr,final_auroc,final_tpr,mean_agg_s,total_agg_s
p02,adaptive_ecf,ecf_cand_hg,60,0.8191,0.0310,0.0540,0.6390,0.0000,0.1287,7.7200
p02,adaptive_ecf,ecf_cand_rg,60,0.8200,0.0310,0.0560,0.6670,0.0000,0.1313,7.8800
p02,adaptive_ecf,ecf_cand_rz,60,0.8199,0.0300,0.0340,0.7780,0.0000,0.4498,26.9900
p02,adaptive_ecf,fltrust,60,0.8007,0.0240,0.0290,0.9440,0.0000,0.0335,2.0100
p02,adaptive_ecf,multi_krum,60,0.8829,0.0110,0.0400,0.9720,0.5000,0.8112,48.6700
p02,backdoor,ecf_cand_hg,60,0.8185,0.0300,0.0550,0.7780,0.0000,0.1542,9.2500
p02,backdoor,ecf_cand_rg,60,0.8196,0.0300,0.0560,0.8060,0.0000,0.1520,9.1200
p02,backdoor,ecf_cand_rz,60,0.8193,0.0290,0.0360,0.7220,0.0000,0.3973,23.8400
p02,backdoor,fltrust,60,0.8007,0.0240,0.0290,0.9440,0.0000,0.0405,2.4300
p02,backdoor,multi_krum,60,0.8832,0.0110,0.0390,1.0000,1.0000,0.8148,48.8900
p05,adaptive_ecf,ecf_cand_hg,60,0.8166,0.0460,0.0620,1.0000,1.0000,0.1188,7.1300
p05,adaptive_ecf,ecf_cand_rg,60,0.8170,0.0480,0.0660,1.0000,1.0000,0.1190,7.1400
p05,adaptive_ecf,ecf_cand_rz,60,0.8164,0.0430,0.0540,1.0000,1.0000,0.4685,28.1100
p05,adaptive_ecf,fltrust,60,0.7993,0.0260,0.0580,0.9410,0.0000,0.0315,1.8900
p05,adaptive_ecf,multi_krum,60,0.8832,0.0770,0.2280,0.4310,0.0000,0.8127,48.7600
p05,backdoor,ecf_cand_hg,60,0.8148,0.0420,0.0620,1.0000,1.0000,0.2378,14.2700
p05,backdoor,ecf_cand_rg,60,0.8166,0.0420,0.0630,1.0000,1.0000,0.1550,9.3000
p05,backdoor,ecf_cand_rz,60,0.8158,0.0440,0.0530,1.0000,1.0000,0.4640,27.8400
p05,backdoor,fltrust,60,0.7989,0.0260,0.0590,0.9410,0.0000,0.0380,2.2800
p05,backdoor,multi_krum,60,0.8827,0.0130,0.2280,1.0000,1.0000,0.8075,48.4500
p10,adaptive_ecf,ecf_cand_hg,60,0.8086,0.0390,0.1500,1.0000,1.0000,0.3988,23.9300
p10,adaptive_ecf,ecf_cand_rg,60,0.8084,0.0390,0.1990,1.0000,1.0000,0.4002,24.0100
p10,adaptive_ecf,ecf_cand_rz,60,0.8085,0.0380,0.1340,1.0000,1.0000,0.4772,28.6300
p10,adaptive_ecf,fltrust,60,0.7960,0.0360,0.1140,0.9060,0.0000,0.0402,2.4100
p10,adaptive_ecf,multi_krum,60,0.8832,0.6590,0.6590,0.0160,0.0000,0.8147,48.8800
p10,backdoor,ecf_cand_hg,60,0.8083,0.0390,0.1480,1.0000,1.0000,0.1482,8.8900
p10,backdoor,ecf_cand_rg,60,0.8075,0.0380,0.1600,1.0000,1.0000,0.1548,9.2900
p10,backdoor,ecf_cand_rz,60,0.8084,0.0350,0.1280,1.0000,1.0000,0.4718,28.3100
p10,backdoor,fltrust,60,0.7955,0.0340,0.1150,0.9380,0.0000,0.0408,2.4500
p10,backdoor,multi_krum,60,0.8835,0.0140,0.2280,1.0000,1.0000,0.8077,48.4600
