round   1 | acc=0.0545 | bsr=0.000 | agg=0.55s | det_auroc=0.781 | tpr@5=0.00
round   2 | acc=0.1325 | bsr=0.011 | agg=0.55s | det_auroc=0.766 | tpr@5=0.00
round   3 | acc=0.3497 | bsr=0.437 | agg=0.51s | det_auroc=0.797 | tpr@5=0.00
round   4 | acc=0.3979 | bsr=0.486 | agg=0.50s | det_auroc=0.922 | tpr@5=0.50
round   5 | acc=0.5033 | bsr=0.424 | agg=0.42s | det_auroc=0.969 | tpr@5=0.50
round   6 | acc=0.6112 | bsr=0.320 | agg=0.54s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.6676 | bsr=0.235 | agg=0.53s | det_auroc=0.984 | tpr@5=0.75
round   8 | acc=0.6944 | bsr=0.155 | agg=0.55s | det_auroc=0.922 | tpr@5=0.25
round   9 | acc=0.6932 | bsr=0.124 | agg=0.46s | det_auroc=0.906 | tpr@5=0.00
round  10 | acc=0.6977 | bsr=0.112 | agg=0.50s | det_auroc=0.750 | tpr@5=0.00
round  11 | acc=0.6965 | bsr=0.096 | agg=0.56s | det_auroc=0.672 | tpr@5=0.00
round  12 | acc=0.7025 | bsr=0.095 | agg=0.52s | det_auroc=0.734 | tpr@5=0.00
round  13 | acc=0.7126 | bsr=0.099 | agg=0.49s | det_auroc=0.547 | tpr@5=0.00
round  14 | acc=0.7213 | bsr=0.098 | agg=0.50s | det_auroc=0.578 | tpr@5=0.00
round  15 | acc=0.7247 | bsr=0.095 | agg=0.52s | det_auroc=0.484 | tpr@5=0.00
round  16 | acc=0.7308 | bsr=0.094 | agg=0.45s | det_auroc=0.422 | tpr@5=0.00
round  17 | acc=0.7331 | bsr=0.097 | agg=0.51s | det_auroc=0.500 | tpr@5=0.00
round  18 | acc=0.7395 | bsr=0.103 | agg=0.50s | det_auroc=0.406 | tpr@5=0.00
round  19 | acc=0.7441 | bsr=0.104 | agg=0.53s | det_auroc=0.344 | tpr@5=0.00
round  20 | acc=0.7464 | bsr=0.112 | agg=0.53s | det_auroc=0.281 | tpr@5=0.00
round  21 | acc=0.7488 | bsr=0.115 | agg=0.54s | det_auroc=0.344 | tpr@5=0.00
round  22 | acc=0.7495 | bsr=0.115 | agg=0.54s | det_auroc=0.328 | tpr@5=0.00
round  23 | acc=0.7528 | bsr=0.116 | agg=0.52s | det_auroc=0.234 | tpr@5=0.00
round  24 | acc=0.7570 | bsr=0.119 | agg=0.48s | det_auroc=0.375 | tpr@5=0.00
round  25 | acc=0.7606 | bsr=0.126 | agg=0.53s | det_auroc=0.234 | tpr@5=0.00
round  26 | acc=0.7611 | bsr=0.125 | agg=0.45s | det_auroc=0.266 | tpr@5=0.00
round  27 | acc=0.7633 | bsr=0.131 | agg=0.52s | det_auroc=0.188 | tpr@5=0.00
round  28 | acc=0.7636 | bsr=0.136 | agg=0.48s | det_auroc=0.266 | tpr@5=0.00
round  29 | acc=0.7657 | bsr=0.138 | agg=0.48s | det_auroc=0.266 | tpr@5=0.00
round  30 | acc=0.7667 | bsr=0.152 | agg=0.52s | det_auroc=0.250 | tpr@5=0.00
round  31 | acc=0.7673 | bsr=0.152 | agg=0.52s | det_auroc=0.266 | tpr@5=0.00
round  32 | acc=0.7712 | bsr=0.157 | agg=0.53s | det_auroc=0.125 | tpr@5=0.00
