round   1 | acc=0.5217 | bsr=0.338 | agg=0.02s
round   2 | acc=0.6467 | bsr=0.075 | agg=0.01s
round   3 | acc=0.7205 | bsr=0.177 | agg=0.02s
round   4 | acc=0.7356 | bsr=0.222 | agg=0.02s
round   5 | acc=0.7601 | bsr=0.354 | agg=0.02s
round   6 | acc=0.7657 | bsr=0.478 | agg=0.02s
round   7 | acc=0.7819 | bsr=0.633 | agg=0.03s
round   8 | acc=0.7882 | bsr=0.786 | agg=0.02s
round   9 | acc=0.7948 | bsr=0.808 | agg=0.02s
round  10 | acc=0.8100 | bsr=0.823 | agg=0.02s
round  11 | acc=0.8121 | bsr=0.872 | agg=0.02s
round  12 | acc=0.8177 | bsr=0.892 | agg=0.02s
round  13 | acc=0.8203 | bsr=0.884 | agg=0.02s
round  14 | acc=0.8220 | bsr=0.912 | agg=0.02s
round  15 | acc=0.8331 | bsr=0.920 | agg=0.03s
round  16 | acc=0.8341 | bsr=0.919 | agg=0.02s
round  17 | acc=0.8383 | bsr=0.925 | agg=0.02s
round  18 | acc=0.8442 | bsr=0.923 | agg=0.02s
round  19 | acc=0.8456 | bsr=0.932 | agg=0.02s
round  20 | acc=0.8484 | bsr=0.938 | agg=0.02s
round  21 | acc=0.8495 | bsr=0.947 | agg=0.02s
round  22 | acc=0.8520 | bsr=0.947 | agg=0.02s
round  23 | acc=0.8540 | bsr=0.943 | agg=0.02s
round  24 | acc=0.8526 | bsr=0.951 | agg=0.03s
round  25 | acc=0.8583 | bsr=0.953 | agg=0.03s
round  26 | acc=0.8599 | bsr=0.960 | agg=0.03s
round  27 | acc=0.8605 | bsr=0.964 | agg=0.02s
round  28 | acc=0.8620 | bsr=0.962 | agg=0.02s
round  29 | acc=0.8629 | bsr=0.966 | agg=0.02s
round  30 | acc=0.8651 | bsr=0.966 | agg=0.02s
round  31 | acc=0.8664 | bsr=0.967 | agg=0.02s
round  32 | acc=0.8688 | bsr=0.973 | agg=0.02s
round  33 | acc=0.8668 | bsr=0.966 | agg=0.02s
round  34 | acc=0.8697 | bsr=0.975 | agg=0.01s
round  35 | acc=0.8723 | bsr=0.975 | agg=0.02s
round  36 | acc=0.8726 | bsr=0.978 | agg=0.02s
round  37 | acc=0.8735 | bsr=0.979 | agg=0.02s
round  38 | acc=0.8727 | bsr=0.981 | agg=0.02s
round  39 | acc=0.8760 | bsr=0.981 | agg=0.02s
round  40 | acc=0.8774 | bsr=0.982 | agg=0.01s
round  41 | acc=0.8747 | bsr=0.981 | agg=0.02s
round  42 | acc=0.8785 | bsr=0.984 | agg=0.01s
round  43 | acc=0.8788 | bsr=0.986 | agg=0.02s
round  44 | acc=0.8801 | bsr=0.986 | agg=0.03s
round  45 | acc=0.8814 | bsr=0.991 | agg=0.02s
round  46 | acc=0.8810 | bsr=0.989 | agg=0.02s
round  47 | acc=0.8792 | bsr=0.988 | agg=0.02s
round  48 | acc=0.8822 | bsr=0.992 | agg=0.02s
round  49 | acc=0.8830 | bsr=0.992 | agg=0.02s
round  50 | acc=0.8843 | bsr=0.995 | agg=0.02s
round  51 | acc=0.8842 | bsr=0.993 | agg=0.02s
round  52 | acc=0.8831 | bsr=0.995 | agg=0.02s
round  53 | acc=0.8847 | bsr=0.995 | agg=0.02s
round  54 | acc=0.8843 | bsr=0.995 | agg=0.02s
round  55 | acc=0.8841 | bsr=0.995 | agg=0.02s
round  56 | acc=0.8868 | bsr=0.993 | agg=0.02s
round  57 | acc=0.8859 | bsr=0.996 | agg=0.02s
round  58 | acc=0.8848 | bsr=0.994 | agg=0.02s
round  59 | acc=0.8845 | bsr=0.995 | agg=0.02s
round  60 | acc=0.8889 | bsr=0.996 | agg=0.02s
