round   1 | acc=0.4589 | bsr=0.228 | agg=1.13s | det_auroc=0.656 | tpr@5=0.00
round   2 | acc=0.6162 | bsr=0.043 | agg=1.15s | det_auroc=0.938 | tpr@5=0.50
round   3 | acc=0.6922 | bsr=0.026 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7206 | bsr=0.027 | agg=1.16s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7521 | bsr=0.029 | agg=1.15s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7562 | bsr=0.021 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7714 | bsr=0.023 | agg=1.15s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7783 | bsr=0.029 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7879 | bsr=0.024 | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7956 | bsr=0.021 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.8002 | bsr=0.024 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8048 | bsr=0.026 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8088 | bsr=0.019 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8107 | bsr=0.024 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8213 | bsr=0.023 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8243 | bsr=0.020 | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8241 | bsr=0.021 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8341 | bsr=0.019 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8340 | bsr=0.018 | agg=1.15s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8386 | bsr=0.018 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8388 | bsr=0.017 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8413 | bsr=0.018 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8465 | bsr=0.017 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8460 | bsr=0.017 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8486 | bsr=0.017 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8545 | bsr=0.017 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8566 | bsr=0.017 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8538 | bsr=0.011 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8567 | bsr=0.015 | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8574 | bsr=0.014 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8583 | bsr=0.018 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8599 | bsr=0.011 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8605 | bsr=0.014 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8644 | bsr=0.015 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8637 | bsr=0.012 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8660 | bsr=0.016 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.8666 | bsr=0.014 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.8669 | bsr=0.014 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.8678 | bsr=0.014 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.8698 | bsr=0.016 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.8673 | bsr=0.009 | agg=1.16s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.8717 | bsr=0.012 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.8713 | bsr=0.014 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.8719 | bsr=0.011 | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.8746 | bsr=0.014 | agg=1.15s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.8746 | bsr=0.010 | agg=1.15s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.8725 | bsr=0.011 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.8786 | bsr=0.013 | agg=1.16s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.8767 | bsr=0.013 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.8788 | bsr=0.014 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.8798 | bsr=0.011 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.8796 | bsr=0.017 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.8829 | bsr=0.013 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.8796 | bsr=0.013 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.8808 | bsr=0.014 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.8804 | bsr=0.010 | agg=1.16s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.8839 | bsr=0.015 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.8834 | bsr=0.011 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.8808 | bsr=0.013 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.8833 | bsr=0.014 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
