round   1 | acc=0.3793 | bsr=0.497 | agg=0.13s
round   2 | acc=0.6345 | bsr=0.025 | agg=0.13s
round   3 | acc=0.6758 | bsr=0.039 | agg=0.13s
round   4 | acc=0.7186 | bsr=0.037 | agg=0.13s
round   5 | acc=0.7407 | bsr=0.043 | agg=0.13s
round   6 | acc=0.7541 | bsr=0.035 | agg=0.13s
round   7 | acc=0.7641 | bsr=0.035 | agg=0.13s
round   8 | acc=0.7777 | bsr=0.049 | agg=0.13s
round   9 | acc=0.7842 | bsr=0.041 | agg=0.12s
round  10 | acc=0.7883 | bsr=0.038 | agg=0.13s
round  11 | acc=0.7974 | bsr=0.046 | agg=0.12s
round  12 | acc=0.8049 | bsr=0.046 | agg=0.13s
round  13 | acc=0.8094 | bsr=0.037 | agg=0.13s
round  14 | acc=0.8137 | bsr=0.050 | agg=0.13s
round  15 | acc=0.8207 | bsr=0.050 | agg=0.13s
round  16 | acc=0.8229 | bsr=0.052 | agg=0.13s
round  17 | acc=0.8275 | bsr=0.046 | agg=0.13s
round  18 | acc=0.8317 | bsr=0.050 | agg=0.13s
round  19 | acc=0.8361 | bsr=0.049 | agg=0.13s
round  20 | acc=0.8379 | bsr=0.048 | agg=0.13s
round  21 | acc=0.8406 | bsr=0.055 | agg=0.13s
round  22 | acc=0.8436 | bsr=0.051 | agg=0.12s
round  23 | acc=0.8461 | bsr=0.052 | agg=0.12s
round  24 | acc=0.8485 | bsr=0.057 | agg=0.12s
round  25 | acc=0.8495 | bsr=0.061 | agg=0.12s
round  26 | acc=0.8552 | bsr=0.060 | agg=0.12s
round  27 | acc=0.8535 | bsr=0.063 | agg=0.12s
round  28 | acc=0.8555 | bsr=0.057 | agg=0.13s
round  29 | acc=0.8581 | bsr=0.065 | agg=0.13s
round  30 | acc=0.8597 | bsr=0.065 | agg=0.14s
round  31 | acc=0.8604 | bsr=0.069 | agg=0.12s
round  32 | acc=0.8611 | bsr=0.070 | agg=0.12s
round  33 | acc=0.8632 | bsr=0.074 | agg=0.12s
round  34 | acc=0.8659 | bsr=0.085 | agg=0.13s
round  35 | acc=0.8660 | bsr=0.086 | agg=0.12s
round  36 | acc=0.8677 | bsr=0.094 | agg=0.13s
round  37 | acc=0.8682 | bsr=0.097 | agg=0.12s
round  38 | acc=0.8696 | bsr=0.102 | agg=0.12s
round  39 | acc=0.8693 | bsr=0.103 | agg=0.12s
round  40 | acc=0.8728 | bsr=0.106 | agg=0.12s
round  41 | acc=0.8693 | bsr=0.103 | agg=0.12s
round  42 | acc=0.8707 | bsr=0.112 | agg=0.12s
round  43 | acc=0.8725 | bsr=0.124 | agg=0.12s
round  44 | acc=0.8731 | bsr=0.116 | agg=0.13s
round  45 | acc=0.8759 | bsr=0.137 | agg=0.12s
round  46 | acc=0.8759 | bsr=0.135 | agg=0.13s
round  47 | acc=0.8763 | bsr=0.149 | agg=0.12s
round  48 | acc=0.8784 | bsr=0.168 | agg=0.13s
round  49 | acc=0.8784 | bsr=0.168 | agg=0.12s
round  50 | acc=0.8797 | bsr=0.192 | agg=0.13s
round  51 | acc=0.8783 | bsr=0.192 | agg=0.12s
round  52 | acc=0.8822 | bsr=0.217 | agg=0.12s
round  53 | acc=0.8801 | bsr=0.223 | agg=0.12s
round  54 | acc=0.8810 | bsr=0.241 | agg=0.12s
round  55 | acc=0.8816 | bsr=0.252 | agg=0.12s
round  56 | acc=0.8806 | bsr=0.250 | agg=0.13s
round  57 | acc=0.8825 | bsr=0.299 | agg=0.12s
round  58 | acc=0.8823 | bsr=0.287 | agg=0.12s
round  59 | acc=0.8826 | bsr=0.299 | agg=0.12s
round  60 | acc=0.8843 | bsr=0.338 | agg=0.13s
