round   1 | acc=0.0581 | bsr=nan | agg=0.22s | det_auroc=0.203 | tpr@5=0.00
round   2 | acc=0.0860 | bsr=nan | agg=0.14s | det_auroc=0.656 | tpr@5=0.00
round   3 | acc=0.1895 | bsr=nan | agg=0.13s | det_auroc=0.688 | tpr@5=0.00
round   4 | acc=0.3792 | bsr=nan | agg=0.13s | det_auroc=0.859 | tpr@5=0.00
round   5 | acc=0.5416 | bsr=nan | agg=0.15s | det_auroc=0.875 | tpr@5=0.00
round   6 | acc=0.6020 | bsr=nan | agg=0.14s | det_auroc=0.875 | tpr@5=0.00
round   7 | acc=0.6285 | bsr=nan | agg=0.13s | det_auroc=0.812 | tpr@5=0.00
round   8 | acc=0.6559 | bsr=nan | agg=0.15s | det_auroc=0.844 | tpr@5=0.00
round   9 | acc=0.6599 | bsr=nan | agg=0.16s | det_auroc=0.562 | tpr@5=0.00
round  10 | acc=0.6666 | bsr=nan | agg=0.16s | det_auroc=0.250 | tpr@5=0.00
round  11 | acc=0.6788 | bsr=nan | agg=0.12s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.6859 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.6924 | bsr=nan | agg=0.13s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.6950 | bsr=nan | agg=0.13s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.6987 | bsr=nan | agg=0.13s | det_auroc=0.000 | tpr@5=0.00
round  16 | acc=0.7098 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.7178 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.7228 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  19 | acc=0.7299 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.7329 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  21 | acc=0.7352 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  22 | acc=0.7382 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  23 | acc=0.7382 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  24 | acc=0.7403 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  25 | acc=0.7443 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  26 | acc=0.7485 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  27 | acc=0.7486 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  28 | acc=0.7517 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  29 | acc=0.7551 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  30 | acc=0.7581 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  31 | acc=0.7604 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  32 | acc=0.7591 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  33 | acc=0.7623 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  34 | acc=0.7641 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  35 | acc=0.7614 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  36 | acc=0.7633 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  37 | acc=0.7636 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  38 | acc=0.7646 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  39 | acc=0.7648 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  40 | acc=0.7655 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  41 | acc=0.7666 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  42 | acc=0.7687 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  43 | acc=0.7714 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  44 | acc=0.7721 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  45 | acc=0.7753 | bsr=nan | agg=0.16s | det_auroc=0.000 | tpr@5=0.00
round  46 | acc=0.7778 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  47 | acc=0.7808 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  48 | acc=0.7820 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  49 | acc=0.7821 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  50 | acc=0.7857 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  51 | acc=0.7879 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  52 | acc=0.7890 | bsr=nan | agg=0.13s | det_auroc=0.000 | tpr@5=0.00
round  53 | acc=0.7911 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  54 | acc=0.7907 | bsr=nan | agg=0.13s | det_auroc=0.000 | tpr@5=0.00
round  55 | acc=0.7919 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  56 | acc=0.7942 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  57 | acc=0.7933 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  58 | acc=0.7953 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
round  59 | acc=0.7953 | bsr=nan | agg=0.15s | det_auroc=0.000 | tpr@5=0.00
round  60 | acc=0.7980 | bsr=nan | agg=0.14s | det_auroc=0.000 | tpr@5=0.00
