round   1 | acc=0.0580 | bsr=nan | agg=0.51s | det_auroc=0.156 | tpr@5=0.00
round   2 | acc=0.0860 | bsr=nan | agg=0.44s | det_auroc=0.484 | tpr@5=0.00
round   3 | acc=0.1905 | bsr=nan | agg=0.48s | det_auroc=0.609 | tpr@5=0.00
round   4 | acc=0.3805 | bsr=nan | agg=0.54s | det_auroc=0.688 | tpr@5=0.00
round   5 | acc=0.5427 | bsr=nan | agg=0.52s | det_auroc=0.875 | tpr@5=0.00
round   6 | acc=0.6012 | bsr=nan | agg=0.53s | det_auroc=0.875 | tpr@5=0.00
round   7 | acc=0.6280 | bsr=nan | agg=0.45s | det_auroc=0.812 | tpr@5=0.00
round   8 | acc=0.6534 | bsr=nan | agg=0.52s | det_auroc=0.625 | tpr@5=0.00
round   9 | acc=0.6576 | bsr=nan | agg=0.41s | det_auroc=0.531 | tpr@5=0.00
round  10 | acc=0.6665 | bsr=nan | agg=0.50s | det_auroc=0.188 | tpr@5=0.00
round  11 | acc=0.6808 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.6862 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.6935 | bsr=nan | agg=0.52s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.6962 | bsr=nan | agg=0.50s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.6994 | bsr=nan | agg=0.42s | det_auroc=0.000 | tpr@5=0.00
round  16 | acc=0.7115 | bsr=nan | agg=0.48s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.7183 | bsr=nan | agg=0.47s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.7224 | bsr=nan | agg=0.43s | det_auroc=0.000 | tpr@5=0.00
round  19 | acc=0.7295 | bsr=nan | agg=0.49s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.7322 | bsr=nan | agg=0.53s | det_auroc=0.000 | tpr@5=0.00
round  21 | acc=0.7344 | bsr=nan | agg=0.50s | det_auroc=0.000 | tpr@5=0.00
round  22 | acc=0.7379 | bsr=nan | agg=0.53s | det_auroc=0.000 | tpr@5=0.00
round  23 | acc=0.7377 | bsr=nan | agg=0.54s | det_auroc=0.000 | tpr@5=0.00
round  24 | acc=0.7402 | bsr=nan | agg=0.44s | det_auroc=0.000 | tpr@5=0.00
round  25 | acc=0.7444 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  26 | acc=0.7488 | bsr=nan | agg=0.46s | det_auroc=0.000 | tpr@5=0.00
round  27 | acc=0.7487 | bsr=nan | agg=0.47s | det_auroc=0.000 | tpr@5=0.00
round  28 | acc=0.7516 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  29 | acc=0.7542 | bsr=nan | agg=0.52s | det_auroc=0.000 | tpr@5=0.00
round  30 | acc=0.7572 | bsr=nan | agg=0.52s | det_auroc=0.000 | tpr@5=0.00
round  31 | acc=0.7591 | bsr=nan | agg=0.40s | det_auroc=0.000 | tpr@5=0.00
round  32 | acc=0.7592 | bsr=nan | agg=0.49s | det_auroc=0.000 | tpr@5=0.00
round  33 | acc=0.7616 | bsr=nan | agg=0.44s | det_auroc=0.000 | tpr@5=0.00
round  34 | acc=0.7636 | bsr=nan | agg=0.46s | det_auroc=0.000 | tpr@5=0.00
round  35 | acc=0.7616 | bsr=nan | agg=0.52s | det_auroc=0.000 | tpr@5=0.00
round  36 | acc=0.7628 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  37 | acc=0.7627 | bsr=nan | agg=0.50s | det_auroc=0.000 | tpr@5=0.00
round  38 | acc=0.7642 | bsr=nan | agg=0.50s | det_auroc=0.000 | tpr@5=0.00
round  39 | acc=0.7643 | bsr=nan | agg=0.50s | det_auroc=0.000 | tpr@5=0.00
round  40 | acc=0.7653 | bsr=nan | agg=0.44s | det_auroc=0.000 | tpr@5=0.00
round  41 | acc=0.7670 | bsr=nan | agg=0.52s | det_auroc=0.000 | tpr@5=0.00
round  42 | acc=0.7689 | bsr=nan | agg=0.50s | det_auroc=0.000 | tpr@5=0.00
round  43 | acc=0.7707 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  44 | acc=0.7722 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  45 | acc=0.7748 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  46 | acc=0.7782 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  47 | acc=0.7807 | bsr=nan | agg=0.52s | det_auroc=0.000 | tpr@5=0.00
round  48 | acc=0.7819 | bsr=nan | agg=0.53s | det_auroc=0.000 | tpr@5=0.00
round  49 | acc=0.7818 | bsr=nan | agg=0.49s | det_auroc=0.000 | tpr@5=0.00
round  50 | acc=0.7850 | bsr=nan | agg=0.52s | det_auroc=0.000 | tpr@5=0.00
round  51 | acc=0.7874 | bsr=nan | agg=0.45s | det_auroc=0.000 | tpr@5=0.00
round  52 | acc=0.7882 | bsr=nan | agg=0.45s | det_auroc=0.000 | tpr@5=0.00
round  53 | acc=0.7903 | bsr=nan | agg=0.43s | det_auroc=0.000 | tpr@5=0.00
round  54 | acc=0.7898 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  55 | acc=0.7915 | bsr=nan | agg=0.49s | det_auroc=0.000 | tpr@5=0.00
round  56 | acc=0.7929 | bsr=nan | agg=0.44s | det_auroc=0.000 | tpr@5=0.00
round  57 | acc=0.7929 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  58 | acc=0.7943 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  59 | acc=0.7948 | bsr=nan | agg=0.53s | det_auroc=0.000 | tpr@5=0.00
round  60 | acc=0.7965 | bsr=nan | agg=0.53s | det_auroc=0.000 | tpr@5=0.00
