round   1 | acc=0.0703 | bsr=nan | agg=0.06s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.1190 | bsr=nan | agg=0.06s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.2707 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4398 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.6027 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.6610 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.6768 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6844 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6866 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6957 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7038 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.7039 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7192 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7155 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7248 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7267 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.7356 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.7388 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7444 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.7447 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7483 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.7509 | bsr=nan | agg=0.04s | det_auroc=0.953 | tpr@5=0.00
round  23 | acc=0.7488 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7507 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7532 | bsr=nan | agg=0.05s | det_auroc=0.961 | tpr@5=0.00
round  26 | acc=0.7529 | bsr=nan | agg=0.04s | det_auroc=0.945 | tpr@5=0.00
round  27 | acc=0.7580 | bsr=nan | agg=0.04s | det_auroc=0.961 | tpr@5=0.00
round  28 | acc=0.7590 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  29 | acc=0.7621 | bsr=nan | agg=0.04s | det_auroc=0.859 | tpr@5=0.00
round  30 | acc=0.7637 | bsr=nan | agg=0.04s | det_auroc=0.945 | tpr@5=0.00
round  31 | acc=0.7628 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  32 | acc=0.7698 | bsr=nan | agg=0.04s | det_auroc=0.836 | tpr@5=0.00
round  33 | acc=0.7715 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  34 | acc=0.7740 | bsr=nan | agg=0.04s | det_auroc=0.945 | tpr@5=0.00
round  35 | acc=0.7752 | bsr=nan | agg=0.04s | det_auroc=0.891 | tpr@5=0.00
round  36 | acc=0.7766 | bsr=nan | agg=0.04s | det_auroc=0.836 | tpr@5=0.00
