round   1 | acc=0.4366 | bsr=nan | agg=0.14s
round   2 | acc=0.6464 | bsr=nan | agg=0.13s
round   3 | acc=0.7020 | bsr=nan | agg=0.13s
round   4 | acc=0.7388 | bsr=nan | agg=0.13s
round   5 | acc=0.7305 | bsr=nan | agg=0.13s
round   6 | acc=0.7567 | bsr=nan | agg=0.13s
round   7 | acc=0.7755 | bsr=nan | agg=0.12s
round   8 | acc=0.7779 | bsr=nan | agg=0.12s
round   9 | acc=0.7788 | bsr=nan | agg=0.12s
round  10 | acc=0.7923 | bsr=nan | agg=0.13s
round  11 | acc=0.8019 | bsr=nan | agg=0.13s
round  12 | acc=0.8005 | bsr=nan | agg=0.12s
round  13 | acc=0.8043 | bsr=nan | agg=0.12s
round  14 | acc=0.8161 | bsr=nan | agg=0.13s
round  15 | acc=0.8190 | bsr=nan | agg=0.12s
round  16 | acc=0.8161 | bsr=nan | agg=0.12s
round  17 | acc=0.8273 | bsr=nan | agg=0.12s
round  18 | acc=0.8256 | bsr=nan | agg=0.12s
round  19 | acc=0.8353 | bsr=nan | agg=0.12s
round  20 | acc=0.8344 | bsr=nan | agg=0.12s
round  21 | acc=0.8368 | bsr=nan | agg=0.12s
round  22 | acc=0.8384 | bsr=nan | agg=0.12s
round  23 | acc=0.8464 | bsr=nan | agg=0.13s
round  24 | acc=0.8471 | bsr=nan | agg=0.13s
round  25 | acc=0.8526 | bsr=nan | agg=0.13s
round  26 | acc=0.8508 | bsr=nan | agg=0.12s
round  27 | acc=0.8497 | bsr=nan | agg=0.13s
round  28 | acc=0.8553 | bsr=nan | agg=0.13s
round  29 | acc=0.8547 | bsr=nan | agg=0.13s
round  30 | acc=0.8562 | bsr=nan | agg=0.12s
round  31 | acc=0.8545 | bsr=nan | agg=0.13s
round  32 | acc=0.8550 | bsr=nan | agg=0.13s
round  33 | acc=0.8617 | bsr=nan | agg=0.13s
round  34 | acc=0.8598 | bsr=nan | agg=0.13s
round  35 | acc=0.8595 | bsr=nan | agg=0.13s
round  36 | acc=0.8649 | bsr=nan | agg=0.13s
round  37 | acc=0.8635 | bsr=nan | agg=0.13s
round  38 | acc=0.8669 | bsr=nan | agg=0.13s
round  39 | acc=0.8680 | bsr=nan | agg=0.13s
round  40 | acc=0.8667 | bsr=nan | agg=0.14s
round  41 | acc=0.8677 | bsr=nan | agg=0.14s
round  42 | acc=0.8723 | bsr=nan | agg=0.13s
round  43 | acc=0.8718 | bsr=nan | agg=0.13s
round  44 | acc=0.8715 | bsr=nan | agg=0.13s
round  45 | acc=0.8732 | bsr=nan | agg=0.13s
round  46 | acc=0.8764 | bsr=nan | agg=0.13s
round  47 | acc=0.8761 | bsr=nan | agg=0.13s
round  48 | acc=0.8758 | bsr=nan | agg=0.13s
round  49 | acc=0.8746 | bsr=nan | agg=0.13s
round  50 | acc=0.8769 | bsr=nan | agg=0.13s
round  51 | acc=0.8766 | bsr=nan | agg=0.13s
round  52 | acc=0.8802 | bsr=nan | agg=0.13s
round  53 | acc=0.8813 | bsr=nan | agg=0.13s
round  54 | acc=0.8792 | bsr=nan | agg=0.13s
round  55 | acc=0.8799 | bsr=nan | agg=0.13s
round  56 | acc=0.8786 | bsr=nan | agg=0.13s
round  57 | acc=0.8831 | bsr=nan | agg=0.13s
round  58 | acc=0.8817 | bsr=nan | agg=0.13s
round  59 | acc=0.8840 | bsr=nan | agg=0.13s
round  60 | acc=0.8842 | bsr=nan | agg=0.13s
