round   1 | acc=0.3977 | bsr=nan | agg=0.19s
round   2 | acc=0.5793 | bsr=nan | agg=0.19s
round   3 | acc=0.6498 | bsr=nan | agg=0.18s
round   4 | acc=0.6992 | bsr=nan | agg=0.18s
round   5 | acc=0.7178 | bsr=nan | agg=0.19s
round   6 | acc=0.7309 | bsr=nan | agg=0.18s
round   7 | acc=0.7621 | bsr=nan | agg=0.18s
round   8 | acc=0.7555 | bsr=nan | agg=0.17s
round   9 | acc=0.7643 | bsr=nan | agg=0.17s
round  10 | acc=0.7816 | bsr=nan | agg=0.18s
round  11 | acc=0.7856 | bsr=nan | agg=0.18s
round  12 | acc=0.7850 | bsr=nan | agg=0.17s
round  13 | acc=0.7905 | bsr=nan | agg=0.17s
round  14 | acc=0.7941 | bsr=nan | agg=0.18s
round  15 | acc=0.8026 | bsr=nan | agg=0.17s
round  16 | acc=0.7992 | bsr=nan | agg=0.18s
round  17 | acc=0.8112 | bsr=nan | agg=0.17s
round  18 | acc=0.8113 | bsr=nan | agg=0.18s
round  19 | acc=0.8203 | bsr=nan | agg=0.18s
round  20 | acc=0.8177 | bsr=nan | agg=0.18s
round  21 | acc=0.8239 | bsr=nan | agg=0.18s
round  22 | acc=0.8256 | bsr=nan | agg=0.19s
round  23 | acc=0.8338 | bsr=nan | agg=0.18s
round  24 | acc=0.8301 | bsr=nan | agg=0.20s
round  25 | acc=0.8368 | bsr=nan | agg=0.18s
round  26 | acc=0.8384 | bsr=nan | agg=0.18s
round  27 | acc=0.8377 | bsr=nan | agg=0.19s
round  28 | acc=0.8444 | bsr=nan | agg=0.19s
round  29 | acc=0.8414 | bsr=nan | agg=0.18s
round  30 | acc=0.8447 | bsr=nan | agg=0.19s
round  31 | acc=0.8452 | bsr=nan | agg=0.19s
round  32 | acc=0.8437 | bsr=nan | agg=0.18s
round  33 | acc=0.8500 | bsr=nan | agg=0.18s
round  34 | acc=0.8527 | bsr=nan | agg=0.18s
round  35 | acc=0.8516 | bsr=nan | agg=0.19s
round  36 | acc=0.8577 | bsr=nan | agg=0.18s
round  37 | acc=0.8508 | bsr=nan | agg=0.18s
round  38 | acc=0.8574 | bsr=nan | agg=0.18s
round  39 | acc=0.8587 | bsr=nan | agg=0.19s
round  40 | acc=0.8574 | bsr=nan | agg=0.19s
round  41 | acc=0.8595 | bsr=nan | agg=0.18s
round  42 | acc=0.8635 | bsr=nan | agg=0.18s
round  43 | acc=0.8619 | bsr=nan | agg=0.19s
round  44 | acc=0.8633 | bsr=nan | agg=0.18s
round  45 | acc=0.8646 | bsr=nan | agg=0.18s
round  46 | acc=0.8662 | bsr=nan | agg=0.18s
round  47 | acc=0.8640 | bsr=nan | agg=0.20s
round  48 | acc=0.8666 | bsr=nan | agg=0.19s
round  49 | acc=0.8650 | bsr=nan | agg=0.19s
round  50 | acc=0.8650 | bsr=nan | agg=0.18s
round  51 | acc=0.8693 | bsr=nan | agg=0.18s
round  52 | acc=0.8723 | bsr=nan | agg=0.18s
round  53 | acc=0.8733 | bsr=nan | agg=0.19s
round  54 | acc=0.8707 | bsr=nan | agg=0.18s
round  55 | acc=0.8705 | bsr=nan | agg=0.19s
round  56 | acc=0.8727 | bsr=nan | agg=0.18s
round  57 | acc=0.8749 | bsr=nan | agg=0.18s
round  58 | acc=0.8725 | bsr=nan | agg=0.19s
round  59 | acc=0.8789 | bsr=nan | agg=0.19s
round  60 | acc=0.8778 | bsr=nan | agg=0.18s
