round   1 | acc=0.0612 | bsr=nan | agg=0.45s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.1163 | bsr=nan | agg=0.43s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.3134 | bsr=nan | agg=0.45s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4898 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.5950 | bsr=nan | agg=0.45s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.6535 | bsr=nan | agg=0.50s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.6694 | bsr=nan | agg=0.43s | det_auroc=0.938 | tpr@5=0.00
round   8 | acc=0.6825 | bsr=nan | agg=0.41s | det_auroc=0.938 | tpr@5=0.00
round   9 | acc=0.6812 | bsr=nan | agg=0.41s | det_auroc=0.938 | tpr@5=0.00
round  10 | acc=0.6727 | bsr=nan | agg=0.40s | det_auroc=0.938 | tpr@5=0.00
round  11 | acc=0.6871 | bsr=nan | agg=0.49s | det_auroc=0.875 | tpr@5=0.00
round  12 | acc=0.6930 | bsr=nan | agg=0.42s | det_auroc=0.875 | tpr@5=0.00
round  13 | acc=0.7070 | bsr=nan | agg=0.44s | det_auroc=0.812 | tpr@5=0.00
round  14 | acc=0.7113 | bsr=nan | agg=0.45s | det_auroc=0.688 | tpr@5=0.00
round  15 | acc=0.7172 | bsr=nan | agg=0.44s | det_auroc=0.688 | tpr@5=0.00
round  16 | acc=0.7256 | bsr=nan | agg=0.44s | det_auroc=0.688 | tpr@5=0.00
round  17 | acc=0.7368 | bsr=nan | agg=0.42s | det_auroc=0.688 | tpr@5=0.00
round  18 | acc=0.7397 | bsr=nan | agg=0.41s | det_auroc=0.562 | tpr@5=0.00
round  19 | acc=0.7429 | bsr=nan | agg=0.38s | det_auroc=0.625 | tpr@5=0.00
round  20 | acc=0.7457 | bsr=nan | agg=0.47s | det_auroc=0.562 | tpr@5=0.00
round  21 | acc=0.7474 | bsr=nan | agg=0.41s | det_auroc=0.375 | tpr@5=0.00
round  22 | acc=0.7491 | bsr=nan | agg=0.51s | det_auroc=0.562 | tpr@5=0.00
round  23 | acc=0.7507 | bsr=nan | agg=0.49s | det_auroc=0.375 | tpr@5=0.00
round  24 | acc=0.7527 | bsr=nan | agg=0.46s | det_auroc=0.375 | tpr@5=0.00
round  25 | acc=0.7610 | bsr=nan | agg=0.49s | det_auroc=0.375 | tpr@5=0.00
round  26 | acc=0.7650 | bsr=nan | agg=0.41s | det_auroc=0.500 | tpr@5=0.00
round  27 | acc=0.7662 | bsr=nan | agg=0.46s | det_auroc=0.312 | tpr@5=0.00
round  28 | acc=0.7666 | bsr=nan | agg=0.44s | det_auroc=0.312 | tpr@5=0.00
round  29 | acc=0.7682 | bsr=nan | agg=0.45s | det_auroc=0.312 | tpr@5=0.00
round  30 | acc=0.7745 | bsr=nan | agg=0.46s | det_auroc=0.312 | tpr@5=0.00
round  31 | acc=0.7759 | bsr=nan | agg=0.42s | det_auroc=0.125 | tpr@5=0.00
round  32 | acc=0.7784 | bsr=nan | agg=0.47s | det_auroc=0.250 | tpr@5=0.00
round  33 | acc=0.7800 | bsr=nan | agg=0.50s | det_auroc=0.312 | tpr@5=0.00
round  34 | acc=0.7807 | bsr=nan | agg=0.42s | det_auroc=0.250 | tpr@5=0.00
round  35 | acc=0.7804 | bsr=nan | agg=0.41s | det_auroc=0.312 | tpr@5=0.00
round  36 | acc=0.7828 | bsr=nan | agg=0.44s | det_auroc=0.312 | tpr@5=0.00
round  37 | acc=0.7835 | bsr=nan | agg=0.44s | det_auroc=0.125 | tpr@5=0.00
round  38 | acc=0.7860 | bsr=nan | agg=0.45s | det_auroc=0.250 | tpr@5=0.00
round  39 | acc=0.7882 | bsr=nan | agg=0.40s | det_auroc=0.250 | tpr@5=0.00
round  40 | acc=0.7890 | bsr=nan | agg=0.53s | det_auroc=0.062 | tpr@5=0.00
round  41 | acc=0.7911 | bsr=nan | agg=0.50s | det_auroc=0.062 | tpr@5=0.00
round  42 | acc=0.7932 | bsr=nan | agg=0.40s | det_auroc=0.188 | tpr@5=0.00
round  43 | acc=0.7945 | bsr=nan | agg=0.41s | det_auroc=0.125 | tpr@5=0.00
round  44 | acc=0.7950 | bsr=nan | agg=0.43s | det_auroc=0.250 | tpr@5=0.00
round  45 | acc=0.7987 | bsr=nan | agg=0.44s | det_auroc=0.000 | tpr@5=0.00
