round   1 | acc=0.0683 | bsr=nan | agg=0.06s | det_auroc=0.938 | tpr@5=0.00
round   2 | acc=0.1296 | bsr=nan | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.2731 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4299 | bsr=nan | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.5832 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.6594 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.6739 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6869 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6881 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6947 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7031 | bsr=nan | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.7026 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7174 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7127 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7240 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7276 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.7362 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  18 | acc=0.7384 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7430 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.7443 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7492 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.7509 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  23 | acc=0.7488 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7514 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7536 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  26 | acc=0.7539 | bsr=nan | agg=0.05s | det_auroc=0.969 | tpr@5=0.00
round  27 | acc=0.7584 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  28 | acc=0.7616 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  29 | acc=0.7616 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  30 | acc=0.7638 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  31 | acc=0.7626 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  32 | acc=0.7689 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  33 | acc=0.7713 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  34 | acc=0.7727 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  35 | acc=0.7757 | bsr=nan | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.7765 | bsr=nan | agg=0.05s | det_auroc=0.875 | tpr@5=0.00
round  37 | acc=0.7736 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.7751 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  39 | acc=0.7668 | bsr=nan | agg=0.04s | det_auroc=0.844 | tpr@5=0.00
round  40 | acc=0.7774 | bsr=nan | agg=0.05s | det_auroc=0.812 | tpr@5=0.00
round  41 | acc=0.7765 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  42 | acc=0.7802 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  43 | acc=0.7839 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  44 | acc=0.7873 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  45 | acc=0.7852 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  46 | acc=0.7841 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  47 | acc=0.7871 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  48 | acc=0.7802 | bsr=nan | agg=0.04s | det_auroc=0.781 | tpr@5=0.00
round  49 | acc=0.7907 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  50 | acc=0.7904 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  51 | acc=0.7862 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  52 | acc=0.7961 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  53 | acc=0.7976 | bsr=nan | agg=0.04s | det_auroc=0.844 | tpr@5=0.00
round  54 | acc=0.7965 | bsr=nan | agg=0.05s | det_auroc=0.938 | tpr@5=0.00
round  55 | acc=0.7976 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  56 | acc=0.8002 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  57 | acc=0.8009 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  58 | acc=0.8023 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  59 | acc=0.8007 | bsr=nan | agg=0.04s | det_auroc=0.844 | tpr@5=0.00
round  60 | acc=0.7969 | bsr=nan | agg=0.04s | det_auroc=0.812 | tpr@5=0.00
