device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=min_max
round   1 | acc=0.0544 | bsr=nan | agg=0.48s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.0735 | bsr=nan | agg=0.48s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.1008 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.2051 | bsr=nan | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.3915 | bsr=nan | agg=0.45s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.5440 | bsr=nan | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.5888 | bsr=nan | agg=0.44s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6123 | bsr=nan | agg=0.44s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6337 | bsr=nan | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6409 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6544 | bsr=nan | agg=0.44s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6577 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.6577 | bsr=nan | agg=0.41s | det_auroc=0.938 | tpr@5=0.00
round  14 | acc=0.6644 | bsr=nan | agg=0.52s | det_auroc=0.938 | tpr@5=0.00
round  15 | acc=0.6657 | bsr=nan | agg=0.45s | det_auroc=0.938 | tpr@5=0.00
round  16 | acc=0.6762 | bsr=nan | agg=0.42s | det_auroc=0.938 | tpr@5=0.00
round  17 | acc=0.6837 | bsr=nan | agg=0.45s | det_auroc=0.875 | tpr@5=0.00
round  18 | acc=0.6860 | bsr=nan | agg=0.42s | det_auroc=0.812 | tpr@5=0.00
round  19 | acc=0.6947 | bsr=nan | agg=0.43s | det_auroc=0.750 | tpr@5=0.00
round  20 | acc=0.6971 | bsr=nan | agg=0.42s | det_auroc=0.625 | tpr@5=0.00
round  21 | acc=0.7030 | bsr=nan | agg=0.40s | det_auroc=0.625 | tpr@5=0.00
round  22 | acc=0.7071 | bsr=nan | agg=0.42s | det_auroc=0.562 | tpr@5=0.00
round  23 | acc=0.7090 | bsr=nan | agg=0.45s | det_auroc=0.562 | tpr@5=0.00
round  24 | acc=0.7124 | bsr=nan | agg=0.43s | det_auroc=0.500 | tpr@5=0.00
round  25 | acc=0.7200 | bsr=nan | agg=0.42s | det_auroc=0.250 | tpr@5=0.00
round  26 | acc=0.7242 | bsr=nan | agg=0.41s | det_auroc=0.562 | tpr@5=0.00
round  27 | acc=0.7258 | bsr=nan | agg=0.41s | det_auroc=0.438 | tpr@5=0.00
round  28 | acc=0.7278 | bsr=nan | agg=0.41s | det_auroc=0.312 | tpr@5=0.00
round  29 | acc=0.7305 | bsr=nan | agg=0.41s | det_auroc=0.562 | tpr@5=0.00
round  30 | acc=0.7338 | bsr=nan | agg=0.44s | det_auroc=0.312 | tpr@5=0.00
round  31 | acc=0.7360 | bsr=nan | agg=0.44s | det_auroc=0.562 | tpr@5=0.00
round  32 | acc=0.7368 | bsr=nan | agg=0.41s | det_auroc=0.562 | tpr@5=0.00
round  33 | acc=0.7398 | bsr=nan | agg=0.42s | det_auroc=0.562 | tpr@5=0.00
round  34 | acc=0.7410 | bsr=nan | agg=0.46s | det_auroc=0.562 | tpr@5=0.00
round  35 | acc=0.7416 | bsr=nan | agg=0.43s | det_auroc=0.438 | tpr@5=0.00
round  36 | acc=0.7424 | bsr=nan | agg=0.50s | det_auroc=0.625 | tpr@5=0.00
round  37 | acc=0.7427 | bsr=nan | agg=0.43s | det_auroc=0.312 | tpr@5=0.00
round  38 | acc=0.7433 | bsr=nan | agg=0.47s | det_auroc=0.688 | tpr@5=0.00
round  39 | acc=0.7424 | bsr=nan | agg=0.42s | det_auroc=0.625 | tpr@5=0.00
round  40 | acc=0.7430 | bsr=nan | agg=0.41s | det_auroc=0.375 | tpr@5=0.00
round  41 | acc=0.7444 | bsr=nan | agg=0.42s | det_auroc=0.562 | tpr@5=0.00
round  42 | acc=0.7446 | bsr=nan | agg=0.42s | det_auroc=0.438 | tpr@5=0.00
round  43 | acc=0.7453 | bsr=nan | agg=0.40s | det_auroc=0.625 | tpr@5=0.00
round  44 | acc=0.7460 | bsr=nan | agg=0.48s | det_auroc=0.500 | tpr@5=0.00
round  45 | acc=0.7475 | bsr=nan | agg=0.42s | det_auroc=0.625 | tpr@5=0.00
round  46 | acc=0.7488 | bsr=nan | agg=0.43s | det_auroc=0.375 | tpr@5=0.00
round  47 | acc=0.7486 | bsr=nan | agg=0.42s | det_auroc=0.812 | tpr@5=0.00
round  48 | acc=0.7496 | bsr=nan | agg=0.40s | det_auroc=0.562 | tpr@5=0.00
round  49 | acc=0.7494 | bsr=nan | agg=0.40s | det_auroc=0.375 | tpr@5=0.00
round  50 | acc=0.7517 | bsr=nan | agg=0.51s | det_auroc=0.812 | tpr@5=0.00
round  51 | acc=0.7537 | bsr=nan | agg=0.46s | det_auroc=0.500 | tpr@5=0.00
round  52 | acc=0.7549 | bsr=nan | agg=0.43s | det_auroc=0.688 | tpr@5=0.00
round  53 | acc=0.7567 | bsr=nan | agg=0.40s | det_auroc=0.688 | tpr@5=0.00
round  54 | acc=0.7584 | bsr=nan | agg=0.41s | det_auroc=0.562 | tpr@5=0.00
round  55 | acc=0.7594 | bsr=nan | agg=0.41s | det_auroc=0.250 | tpr@5=0.00
round  56 | acc=0.7607 | bsr=nan | agg=0.41s | det_auroc=0.812 | tpr@5=0.00
round  57 | acc=0.7604 | bsr=nan | agg=0.42s | det_auroc=0.875 | tpr@5=0.00
round  58 | acc=0.7615 | bsr=nan | agg=0.42s | det_auroc=0.750 | tpr@5=0.00
