device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=min_max
round   1 | acc=0.0703 | bsr=nan | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.1189 | bsr=nan | agg=0.06s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.2707 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4410 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.6031 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.6617 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.6778 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6842 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6885 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6953 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7028 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.7069 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7202 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7172 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7256 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7282 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.7378 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  18 | acc=0.7415 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7461 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.7463 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7511 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.7505 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  23 | acc=0.7506 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7529 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7537 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  26 | acc=0.7539 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  27 | acc=0.7587 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  28 | acc=0.7598 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  29 | acc=0.7632 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  30 | acc=0.7644 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  31 | acc=0.7639 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  32 | acc=0.7697 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  33 | acc=0.7720 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  34 | acc=0.7741 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  35 | acc=0.7757 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  36 | acc=0.7772 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  37 | acc=0.7749 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.7772 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  39 | acc=0.7682 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  40 | acc=0.7776 | bsr=nan | agg=0.04s | det_auroc=0.844 | tpr@5=0.00
round  41 | acc=0.7783 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  42 | acc=0.7794 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  43 | acc=0.7842 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  44 | acc=0.7873 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  45 | acc=0.7859 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  46 | acc=0.7838 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  47 | acc=0.7856 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  48 | acc=0.7778 | bsr=nan | agg=0.04s | det_auroc=0.781 | tpr@5=0.00
round  49 | acc=0.7901 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
round  50 | acc=0.7899 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  51 | acc=0.7855 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  52 | acc=0.7958 | bsr=nan | agg=0.04s | det_auroc=0.875 | tpr@5=0.00
